Worthies	Worthies	n2-j	Worthies	worthy	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
IN	IN	p-acp	IN	in	0
this	this	d	this	this	0
extreame	extreame	j-jn	extreme	extreme	0
age	age	n1	age	age	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
this	this	d	this	this	0
last	last	ord	last	last	0
is	is	vbz	is	be	0
mostly	mostly	j	mostly	mostly	0
upon	upon	p-acp	upon	upon	0
extreames	extreames	n2-jn	extremes	extreme	0
)	)	)	)	)	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
write	write	vvi	write	write	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
Title	Title	n1	Title	title	0
of	of	pp-f	of	of	0
dedication	dedication	n1	dedication	dedication	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
it	it	pn31	it	it	0
)	)	)	)	)	0
J	J	pns11	J	i	0
should	should	vmd	should	shall	0
seeme	seeme	vvi	seem	seem	0
Cynically	Cynically	av-j	Cynically	cynical	0
to	to	pc-acp	to	to	0
neglect	neglect	vvi	neglect	neglect	0
.	.	.	.	.	1
Nmios	Nmios	np2	Nmios	nmio	0
in	in	p-acp	in	in	0
Hesiod	Hesiod	np1	Hesiod	Hesiod	0
.	.	.	.	.	1
If	If	cs	If	if	0
J	J	pns11	J	i	0
should	should	vmd	should	shall	0
inlarge	inlarge	vvi	enlarge	enlarge	0
the	the	dt	the	the	0
Phylacte	Phylacte	np1	Phylacte	Phylacte	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
,	,	,	,	,	0
or	or	cc	or	or	0
Panegyrick	Panegyrick	n1	Panegyric	panegyric	0
of	of	pp-f	of	of	0
usuall	usuall	j	usual	usual	0
prefa	prefa	n1	prefa	prefa	0
∣	∣	sy	∣	∣	0
cing	cing	j	cing	cing	0
,	,	,	,	,	0
J	J	pns11	J	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
Pharisaicall	Pharisaicall	j	Pharisaical	pharisaical	0
,	,	,	,	,	0
or	or	cc	or	or	0
Parasitiscall	Parasitiscall	vvi	Parasitiscall	parasitiscall	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
relate	relate	vvi	relate	relate	0
what	what	r-crq	what	what	0
relations	relations	n2	relations	relation	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
between	between	p-acp	between	between	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
this	this	d	this	this	0
Embryon	Embryon	np1	Embryon	Embryon	0
of	of	pp-f	of	of	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
quicken	quicken	vvi	quicken	quicken	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
growne	growne	vvn	grown	grow	0
,	,	,	,	,	0
J	J	pns11	J	i	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
deemed	deemed	vvn	deemed	deem	0
here	here	av	here	here	0
impor	impor	n1	impor	impor	0
∣	∣	sy	∣	∣	0
tune	tune	n1	tune	tune	0
,	,	,	,	,	0
&	&	cc	&	and	0
unseasonable	unseasonable	j	unseasonable	unseasonable	0
if	if	cs	if	if	0
not	not	xx	not	not	0
impertinēt	impertinēt	j	impertinent	impertinent	0
.	.	.	.	.	1
Or	Or	cc	Or	or	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
take	take	vvi	take	take	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
implore	implore	vvi	implore	implore	0
your	your	po22	your	your	0
forward	forward	j	forward	forward	0
spirits	spirits	n2	spirits	spirit	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
or	or	cc	or	or	0
State	State	n1	State	state	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
but	but	cc-acp	but	but	0
anticipate	anticipate	vvi	anticipate	anticipate	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
J	J	pns11	J	i	0
shall	shall	vmb	shall	shall	0
onely	onely	av-j	only	only	0
spend	spend	vvi	spend	spend	0
so	so	av	so	so	0
much	much	d	much	much	0
time	time	n1	time	time	0
,	,	,	,	,	0
paper	paper	n1	paper	paper	0
and	and	cc	and	and	0
words	words	n2	words	word	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
assure	assure	vvi	assure	assure	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
best	best	js	best	best	0
intentions	intentions	n2	intentions	intention	0
,	,	,	,	,	0
and	and	cc	and	and	0
affections	affections	n2	affections	affection	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
my	my	po11	my	my	0
prayers	prayers	n2	prayers	prayer	0
yours	yours	png22	yours	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
utmost	utmost	j	utmost	utmost	0
abilities	abilities	n2	abilities	ability	0
,	,	,	,	,	0
and	and	cc	and	and	0
endavours	endavours	n2	endavours	endavour	0
J	J	pns11	J	i	0
may	may	vmb	may	may	0
doe	doe	vdi	do	do	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
also	also	av	also	also	0
yours	yours	png22	yours	you	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
is	is	vbz	is	be	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
that	that	cst	that	that	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
beleeve	beleeve	vvi	believe	believe	0
this	this	d	this	this	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
truth	truth	n1	truth	truth	0
