HOwe	HOwe	uh-crq	How	how	0
lothe	lothe	j	loath	loath	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
ben	ben	vbn	been	be	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
of	of	pp-f	of	of	0
long	long	j	long	long	0
tyme	tyme	n1	time	time	0
earnest	earnest	n1	earnest	earnest	0
∣	∣	sy	∣	∣	0
lye	lye	zz	lye	lye	0
requyred	requyred	vvd	required	require	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
suf	suf	n1	suf	suf	0
∣	∣	sy	∣	∣	0
fer	fer	p-acp	fer	for	0
these	these	d	these	these	0
tryfles	tryfles	n2	trifles	trifle	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
to	to	pc-acp	to	to	0
cōe	cōe	vvi	come	come	0
to	to	pc-acp	to	to	0
light	light	vvi	light	light	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
vnknowen	vnknowen	j	unknown	unknown	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
nombre	nombre	n1	number	number	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
famyliar	famyliar	j-jn	famyliar	famyliar	0
acquain	acquain	n1	acquain	acquain	0
∣	∣	sy	∣	∣	0
taunce	taunce	n1	taunce	taunce	0
.	.	.	.	.	1
Who	Who	q-crq	Who	who	0
both	both	d	both	both	0
dayly	dayly	j	daily	daily	0
&	&	cc	&	and	0
hourely	hourely	av-j	hourly	hourly	0
moued	moued	vvd	moved	move	0
me	me	pno11	me	i	0
therunto	therunto	av	thereunto	thereunto	0
,	,	,	,	,	0
and	and	cc	and	and	0
lytell	lytell	j	little	little	0
of	of	pp-f	of	of	0
long	long	j	long	long	0
tyme	tyme	n1	time	time	0
preuayled	preuayled	vvd	prevailed	prevail	0
therin	therin	av	therein	therein	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
both	both	d	both	both	0
consydered	consydered	vvn	considered	considere	0
and	and	cc	and	and	0
wayed	wayed	vvd	weighed	weigh	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
the	the	dt	the	the	0
grosenes	grosenes	n1	grossness	grossness	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Style	Style	n1	Style	style	0
:	:	:	:	:	0
whiche	whiche	r-crq	which	which	0
thus	thus	av	thus	thus	0
cōmytted	cōmytted	vvn	committed	commit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ga	ga	fw-es	ga	ga	0
∣	∣	sy	∣	∣	0
synge	synge	vvb	sing	sing	0
shewe	shewe	n1	show	show	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
eye	eye	n1	eye	eye	0
shuld	shuld	vmd	should	shall	0
forth	forth	av	forth	forth	0
with	with	p-acp	with	with	0
