Right	Right	av-jn	Right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
COrnelius	COrnelius	np1	COrnelius	COrnelius	0
,	,	,	,	,	0
Centurion	Centurion	n1	Centurion	centurion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ita	Ita	fw-la	Ita	ita	0
∣	∣	sy	∣	∣	0
lian	lian	n1	lian	lian	0
Band	Band	n1	Band	band	0
is	is	vbz	is	be	0
thus	thus	av	thus	thus	0
commended	commended	vvn	commended	commend	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
devout	devout	j	devout	devout	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	pi	one	one	0
that	that	cst	that	that	0
fea	fea	n1	fea	fea	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
report	report	vvi	report	report	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hnour	hnour	n1	hnour	hnour	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
move	move	vvi	move	move	0
others	others	n2-jn	others	other	0
to	to	p-acp	to	to	0
make	make	vvi	make	make	0
imitation	imitation	n1	imitation	imitation	0
;	;	;	;	;	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
begun	begun	vvn	begun	begin	0
,	,	,	,	,	0
and	and	cc	and	and	0
hitherto	hitherto	av	hitherto	hitherto	0
carred	carred	vvn	carred	car	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
Martiall	Martiall	j	Martial	martial	0
affairs	affairs	n2	affairs	affair	0
religously	religously	av-j	religously	religous	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
having	having	vhg	having	have	0
put	put	vvn	put	put	0
the	the	dt	the	the	0
City	City	n1	City	city	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
posture	posture	n1	posture	posture	0
of	of	pp-f	of	of	0
defence	defence	n1	defence	defence	0
;	;	;	;	;	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
execution	execution	n1	execution	execution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mi	Mi	fw-mi	Mi	mi	0
∣	∣	sy	∣	∣	0
litia	litia	fw-la	litia	litia	0
;	;	;	;	;	0
you	you	pn22	you	you	0
joyntly	joyntly	av-j	jointly	joint	0
sought	sought	vvd	sought	seek	0
God	God	np1	God	God	0
