THou	THou	pns21	THou	thou	0
sowest	sowest	vv2	sowest	sow	0
all	all	d	all	all	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
reapest	reapest	vv2	reapest	reap	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
thou	thou	pns21	thou	thou	0
windest	windest	vv2	windest	wind	0
up	up	p-acp	up	up	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
;	;	;	;	;	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
the	the	dt	the	the	0
Center	Center	n1	Centre	centre	0
and	and	cc	and	and	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
rency	rency	n1	rency	rency	0
of	of	pp-f	of	of	0
quickning	quickning	j-vvg	quickening	quicken	0
life	life	n1	life	life	0
:	:	:	:	:	0
All	All	d	All	all	0
Creatures	Creatures	n2	Creatures	creature	0
move	move	vvi	move	move	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
life	life	n1	life	life	0
.	.	.	.	.	1
That	That	cst	That	that	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
flesh	flesh	n1	flesh	flesh	0
by	by	p-acp	by	by	0
procreation	procreation	n1	procreation	procreation	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
that	that	d	that	that	0
saving	saving	j-vvg	saving	save	0
life	life	n1	life	life	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
the	the	dt	the	the	0
quintessence	quintessence	n1	quintessence	quintessence	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Soul.	Soul.	n1	Soul.	soul	1
The	The	dt	The	the	0
Soul	Soul	n1	Soul	soul	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
tural	tural	j	tural	tural	0
condition	condition	n1	condition	condition	0
is	is	vbz	is	be	0
vayla	vayla	fw-fr	vayla	vayla	0
,	,	,	,	,	0
and	and	cc	and	and	0
changeable	changeable	j	changeable	changeable	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
instinct	instinct	n1	instinct	instinct	0
of	of	pp-f	of	of	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
ture	ture	av	ture	ture	0
included	included	vvd	included	include	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
;	;	;	;	;	0
varra	varra	uh	varra	varra	0
,	,	,	,	,	0
changeable	changeable	j	changeable	changeable	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
;	;	;	;	;	0
fayla	fayla	fw-fr	fayla	fayla	0
,	,	,	,	,	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
,	,	,	,	,	0
unless	unless	cs	unless	unless	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
redeemed	redeemed	vvn	redeemed	redeem	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
inclusive	inclusive	j	inclusive	inclusive	0
power	power	n1	power	power	0
spiritual	spiritual	j	spiritual	spiritual	0
:	:	:	:	:	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
way	way	n1	way	way	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
imputation	imputation	n1	imputation	imputation	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
:	:	:	:	:	0
Reeda	Reeda	np1	Reeda	Reeda	0
Alda	Alda	np1	Alda	Alda	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
every	every	d	every	every	0
season	season	n1	season	season	0
Helpative	Helpative	j-jn	Helpative	helpative	0
Soona	Soona	np1	Soona	Soona	0
,	,	,	,	,	0
Plyant	Plyant	j	Pliant	pliant	0
Dative	Dative	n1	Dative	dative	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
dividual	dividual	j-jn	dividual	dividual	0
dividing	dividing	vvg	dividing	divide	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
Marrow	Marrow	n1	Marrow	marrow	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Bones	Bones	n2	Bones	bone	0
;	;	;	;	;	0
Circumference	Circumference	n1	Circumference	circumference	0
,	,	,	,	,	0
Deus	Deus	fw-la	Deus	deus	0
All-fulness	All-fulness	n1	All-fulness	all-fulness	0
,	,	,	,	,	0
Unus	Unus	np1	Unus	Unus	0
varius	varius	fw-la	varius	varius	0
,	,	,	,	,	0
Allmagnus	Allmagnus	fw-la	Allmagnus	allmagnus	0
,	,	,	,	,	0
God	God	np1	God	God	0
the	the	dt	the	the	0
full	full	j	full	full	0
beauty	beauty	n1	beauty	beauty	0
and	and	cc	and	and	0
life	life	n1	life	life	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
all	all	d	all	all	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
computed	computed	vvn	computed	compute	0
,	,	,	,	,	0
comprized	comprized	vvd	comprised	comprise	0
,	,	,	,	,	0
and	and	cc	and	and	0
comprehended	comprehended	vvn	comprehended	comprehend	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
;	;	;	;	;	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
All	All	d	All	all	0
meritus	meritus	fw-la	meritus	meritus	0
and	and	cc	and	and	0
translatirus	translatirus	fw-la	translatirus	translatirus	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
refine	refine	vvi	refine	refine	0
all	all	d	all	all	0
things	things	n2	things	thing	0
:	:	:	:	:	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
final	final	j	final	final	0
and	and	cc	and	and	0
fountain	fountain	n1	fountain	fountain	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
the	the	dt	the	the	0
life	life	n1	life	life	0
and	and	cc	and	and	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Creatures	Creatures	n2	Creatures	creature	0
:	:	:	:	:	0
every	every	d	every	every	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
moveth	moveth	vvz	moves	move	0
liveth	liveth	vvz	lives	live	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
.	.	.	.	.	1
All	All	av-d	All	all	0
solestial	solestial	j	solestial	solestial	0
flesh	flesh	n1	flesh	flesh	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
flower	flower	n1	flower	flower	0
or	or	cc	or	or	0
grass	grass	n1	grass	grass	0
that	that	cst	that	that	0
withereth	withereth	vvz	withereth	wither	0
away	away	av	away	away	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
more	more	dc	more	more	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
natural	natural	j	natural	natural	0
perfection	perfection	n1	perfection	perfection	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
shall	shall	vmb	shall	shall	0
live	live	vvi	live	live	0
but	but	p-acp	but	but	0
life	life	n1	life	life	0
,	,	,	,	,	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
dy	dy	vvi	die	die	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
princi	princi	fw-la	princi	princi	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
called	called	vvd	called	call	0
that	that	d	that	that	0
immortality	immortality	n1	immortality	immortality	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
spiritual	spiritual	j	spiritual	spiritual	0
reviving	reviving	vvg	reviving	revive	0
power	power	n1	power	power	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
return	return	vvi	return	return	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
;	;	;	;	;	0
although	although	cs	although	although	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
shall	shall	vmb	shall	shall	0
return	return	vvi	return	return	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
gave	gave	vvd	gave	give	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
Soul	Soul	n1	Soul	soul	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creation	Creation	n1	Creation	creation	0
naturally	naturally	av-j	naturally	natural	0
in	in	p-acp	in	in	0
us	us	pno12	us	we	0
,	,	,	,	,	0
prohibited	prohibited	vvn	prohibited	prohibit	0
and	and	cc	and	and	0
presented	presented	vvn	presented	present	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
life	life	n1	life	life	0
so	so	av	so	so	0
preserved	preserved	vvn	preserved	preserve	0
.	.	.	.	.	1
The	The	dt	The	the	0
Spirit	Spirit	n1	Spirit	spirit	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
inclusive	inclusive	j	inclusive	inclusive	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
union	union	n1	union	union	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
immortal	immortal	j	immortal	immortal	0
marriage	marriage	n1	marriage	marriage	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
congruity	congruity	n1	congruity	congruity	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
:	:	:	:	:	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
high	high	j	high	high	0
mystery	mystery	n1	mystery	mystery	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Virgin	Virgin	n1	Virgin	virgin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
dwelleth	dwelleth	vvz	dwells	dwell	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
dieth	dieth	vvz	dieth	die	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
maketh	maketh	vvz	makes	make	0
a	a	dt	a	a	0
dissolution	dissolution	n1	dissolution	dissolution	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
flesh	flesh	n1	flesh	flesh	0
and	and	cc	and	and	0
soul	soul	n1	soul	soul	0
.	.	.	.	.	1
The	The	dt	The	the	0
