Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
Honoured	Honoured	j-vvn	Honoured	honour	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
I	I	pns11	I	i	0
print	print	vvi	print	print	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
print	print	vvi	print	print	0
it	it	pn31	it	it	0
more	more	av-dc	more	more	0
largely	largely	av-j	largely	large	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
preach't	preach't	vvd	preached	preach	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
obe	obe	n1	obe	obe	0
∣	∣	sy	∣	∣	0
dience	dience	n1	dience	dience	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Order	Order	n1	Order	order	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
having	having	vhg	having	have	0
resolved	resolved	vvn	resolved	resolve	0
a	a	dt	a	a	0
former	former	j	former	former	0
scruple	scruple	n1	scruple	scruple	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
)	)	)	)	)	0
will	will	vmb	will	will	0
warrant	warrant	vvi	warrant	warrant	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
so	so	av	so	so	0
doing	doing	vdg	doing	do	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
making	making	vvg	making	make	0
any	any	d	any	any	0
further	further	av-jc	further	further	0
Apologie	Apologie	n1	Apology	apology	0
;	;	;	;	;	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Readers	Readers	n2	Readers	reader	0
advantage	advantage	n1	advantage	advantage	0
also	also	av	also	also	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
That	That	cst	That	that	0
my	my	po11	my	my	0
preaching	preaching	vvg	preaching	preach	0
then	then	av	then	then	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
my	my	po11	my	my	0
speech	speech	n1	speech	speech	0
now	now	av	now	now	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
enticing	enticing	j-vvg	enticing	entice	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
wisdom	wisdom	n1	wisdom	wisdom	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
