ETERNALL	ETERNALL	j	ETERNAL	eternal	0
and	and	cc	and	and	0
incomprehensible	incomprehensible	j	incomprehensible	incomprehensible	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
hast	hast	vh2	hast	have	0
giuen	giuen	vvn	given	give	0
to	to	p-acp	to	to	0
thine	thine	po21	thine	thy	0
only	only	j	only	only	0
begotten	begotten	vvn	begotten	beget	0
Sonne	Sonne	n1	Son	son	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
dominion	dominion	n1	dominion	dominion	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
people	people	n1	people	people	0
,	,	,	,	,	0
Nations	Nations	n2	Nations	nation	0
and	and	cc	and	and	0
languages	languages	n2	languages	language	0
should	should	vmd	should	shall	0
serue	serue	vvi	serve	serve	0
and	and	cc	and	and	0
obey	obey	vvi	obey	obey	0
him	him	pno31	him	he	0
;	;	;	;	;	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
hauing	hauing	vhg	having	have	0
first	first	ord	first	first	0
sent	sent	vvn	sent	send	0
this	this	d	this	this	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
reiected	reiected	vvd	rejected	reject	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
since	since	c-acp	since	since	0
to	to	p-acp	to	to	0
diuers	diuers	j	diverse	diverse	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
fallen	fallen	vvn	fallen	fall	0
a	a	dt	a	a	0
way	way	n1	way	way	0
frō	frō	p-acp	from	from	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
follo	follo	vvi	follow	follow	0
wed	wed	vvi	wed	wed	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
,	,	,	,	,	0
hast	hast	n1	haste	haste	0
of	of	pp-f	of	of	0
they	they	pns32	they	they	0
great	great	j	great	great	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
vouchsafed	vouchsafed	vvn	vouchsafed	vouchsafe	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
thy	thy	po21	thy	thy	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
now	now	av	now	now	0
these	these	d	these	these	0
many	many	d	many	many	0
yeeres	yeeres	n2	years	year	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Iland	Iland	n1	Island	island	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
we	we	pns12	we	we	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
humilitie	humilitie	n1	humility	humility	0
and	and	cc	and	and	0
thankefulnesse	thankefulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
subiected	subiected	vvn	subjected	subject	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Corner	Corner	n1	Corner	corner	0
stone	stone	n1	stone	stone	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
in	in	p-acp	in	in	0
sundrie	sundrie	j	sundry	sundry	0
points	points	n2	points	point	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
Builders	Builders	n2	Builders	builder	0
refused	refused	vvn	refused	refuse	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
brought	brought	vvn	brought	bring	0
in	in	p-acp	in	in	0
new	new	j	new	new	0
and	and	cc	and	and	0
contrarie	contrarie	j-jn	contrary	contrary	0
doctrines	doctrines	n2	doctrines	doctrine	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
they	they	pns32	they	they	0
Grace	Grace	vvb	Grace	grace	0
and	and	cc	and	and	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
;	;	;	;	;	0
and	and	cc	and	and	0
many	many	d	many	many	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
followed	followed	vvn	followed	follow	0
their	their	po32	their	their	0
pernicious	pernicious	j	pernicious	pernicious	0
wayes	wayes	n2	ways	way	0
.	.	.	.	.	1
We	We	pns12	We	we	0
haue	haue	vhb	have	have	0
sinned	sinned	vvn	sinned	sin	0
and	and	cc	and	and	0
done	done	vdi	done	do	0
wickedly	wickedly	av-j	wickedly	wicked	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
belled	belled	vvn	belled	bell	0
by	by	p-acp	by	by	0
departing	departing	vvg	departing	depart	0
from	from	p-acp	from	from	0
thy	thy	po21	thy	thy	0
