CAlling	CAlling	vvg	CAlling	call	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brāce	brāce	n1	brance	brance	0
(	(	(	(	(	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
Sir	Sir	n1	Sir	sir	0
)	)	)	)	)	0
the	the	dt	the	the	0
streight	streight	j	straight	strait	0
accoūt	accoūt	n1	account	account	0
that	that	cst	that	that	0
our	our	po12	our	our	0
Sauior	Sauior	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
shal	shal	vmb	shall	shall	0
take	take	vvi	take	take	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
seruants	seruants	n2	servants	servant	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
his	his	po31	his	his	0
ta	ta	uh	ta	ta	0
∣	∣	sy	∣	∣	0
lents	lents	n2	lents	lent	0
,	,	,	,	,	0
and	and	cc	and	and	0
seing	seing	vvg	sing	sing	0
the	the	dt	the	the	0
reward	reward	n1	reward	reward	0
that	that	cst	that	that	0
the	the	dt	the	the	0
good	good	j	good	good	0
and	and	cc	and	and	0
profita	profita	fw-la	profita	profita	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
seruant	seruant	n1	servant	servant	0
shall	shall	vmb	shall	shall	0
haue	haue	vhi	have	have	0
for	for	p-acp	for	for	0
wel	wel	av	well	well	0
bestowing	bestowing	vvg	bestowing	bestow	0
&	&	cc	&	and	0
imploi	imploi	fw-fr	imploi	imploi	0
∣	∣	sy	∣	∣	0
eng	eng	vvb	eng	eng	0
the	the	pno32	thee	they	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
also	also	av	also	also	0
set	set	vvn	set	set	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
before	before	p-acp	before	before	0
mine	mine	po11	mine	my	0
eies	eies	n2	eyes	eye	0
,	,	,	,	,	0
the	the	dt	the	the	0
punishment	punishment	n1	punishment	punishment	0
prepared	prepared	vvn	prepared	prepare	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
and	and	cc	and	and	0
vnprofita	vnprofita	fw-la	vnprofita	vnprofita	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
seruant	seruant	n1	servant	servant	0
,	,	,	,	,	0
I	I	pns11	I	i	0
(	(	(	(	(	0
waieng	waieng	vvg	waieng	waieng	0
the	the	dt	the	the	0
reward	reward	n1	reward	reward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
one	one	crd	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
punishment	punishment	n1	punishment	punishment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
)	)	)	)	)	0
thoght	thoght	vvd	thought	think	0
it	it	pn31	it	it	0
