Curteous	Curteous	j	Courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Ensuing	Ensuing	j-vvg	Ensuing	ensue	0
Testimonies	Testimonies	n2	Testimonies	testimony	0
are	are	vbr	are	be	0
ten	ten	crd	ten	ten	0
∣	∣	sy	∣	∣	0
derly	derly	j	derly	derly	0
recommended	recommended	vvn	recommended	recommend	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
seri	seri	fw-la	seri	seri	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
Perusual	Perusual	j	Perusual	perusual	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
earnest	earnest	n1	earnest	earnest	0
desire	desire	vvb	desire	desire	0
thou	thou	pns21	thou	thou	0
may'st	may'st	vm2	mayest	may	0
Read	Read	vvi	Read	read	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
Meekness	Meekness	n1	Meekness	meekness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Fear	Fear	n1	Fear	fear	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
a	a	dt	a	a	0
Parent	Parent	n1	Parent	parent	0
,	,	,	,	,	0
wait	wait	vvb	wait	wait	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
and	and	cc	and	and	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Gift	Gift	n1	Gift	gift	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
that	that	d	that	that	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
truly	truly	av-j	truly	true	0
profitable	profitable	j	profitable	profitable	0
to	to	p-acp	to	to	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
rect	rect	vvb	rect	rect	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
endue	endue	vvi	endue	endue	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
Understanding	Understanding	n1	Understanding	understanding	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
Zeal	Zeal	n1	Zeal	zeal	0
to	to	pc-acp	to	to	0
Train	Train	vvi	Train	train	0
up	up	a-acp	up	up	0
thy	thy	po21	thy	thy	0
Child	Child	n1	Child	child	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fear	Fear	n1	Fear	fear	0
