PRetily	PRetily	av-j	Prettily	pretty	0
was	was	vbds	was	be	0
it	it	pn31	it	it	0
aunsweared	aunsweared	vvn	answered	answer	0
of	of	pp-f	of	of	0
Praxiteles	Praxiteles	np1	Praxiteles	Praxiteles	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
who	who	r-crq	who	who	0
beeyng	beeyng	vbg	being	be	0
demaunded	demaunded	vvn	demanded	demand	0
whych	whych	r-crq	which	which	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
were	were	vbdr	were	be	0
most	most	av-ds	most	most	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
estee	estee	n1	estee	estee	0
∣	∣	sy	∣	∣	0
med	med	j	med	med	0
the	the	dt	the	the	0
Paynter	Paynter	n1	Painter	painter	0
or	or	cc	or	or	0
the	the	dt	the	the	0
writer	writer	n1	writer	writer	0
of	of	pp-f	of	of	0
Hystories	Hystories	n2	Histories	history	0
:	:	:	:	:	0
whether	whether	cs	whither	whether	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
two	two	crd	two	two	0
would	would	vmd	would	will	0
you	you	pn22	you	you	0
choose	choose	vvb	choose	choose	0
(	(	(	(	(	0
quoth	quoth	vvd	quoth	quoth	0
he	he	pns31	he	he	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
dumbe	dumbe	j	dumb	dumb	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
signe	signe	n1	sign	sign	0
aptly	aptly	av-j	aptly	apt	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
tell	tell	vvb	tell	tell	0
your	your	po22	your	your	0
tale	tale	n1	tale	tale	0
fitly	fitly	av-j	fitly	fit	0
?	?	?	?	?	1
So	So	av	So	so	0
that	that	cst	that	that	0
hymselfe	hymselfe	px31	himself	himself	0
beyng	beyng	vbg	being	be	0
a	a	dt	a	a	0
Paynter	Paynter	n1	Painter	painter	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sci	sci	fw-la	sci	sci	0
∣	∣	sy	∣	∣	0
ence	ence	av	ence	ence	0
so	so	av	so	so	0
greatly	greatly	av-j	greatly	great	0
regarded	regarded	vvn	regarded	regard	0
as	as	c-acp	as	as	0
then	then	cs	then	than	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
beyng	beyng	vbg	being	be	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
iudge	iudge	n1	judge	judge	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
notable	notable	j	notable	notable	0
sciences	sciences	n2	sciences	science	0
,	,	,	,	,	0
he	he	pns31	he	he	0
thought	thought	vvd	thought	think	0
meeter	meeter	jc	meeter	meet	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
rogate	rogate	j	rogate	rogate	0
something	something	pi	something	something	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
arte	arte	n1	art	art	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
defame	defame	vvi	defame	defame	0
a	a	dt	a	a	0
better	better	jc	better	better	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
then	then	av	then	then	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
people	people	n1	people	people	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
enamoured	enamoured	vvn	enamoured	enamour	0
wyth	wyth	p-acp	with	with	0
the	the	dt	the	the	0
Arte	Arte	n1	Art	art	0
of	of	pp-f	of	of	0
Paynting	Paynting	vvg	Painting	paint	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
skyll	skyll	n1	skill	skill	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
draught	draught	n1	draught	draught	0
of	of	pp-f	of	of	0
shadowes	shadowes	n2	shadows	shadow	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
apt	apt	j	apt	apt	0
framing	framing	vvg	framing	frame	0
of	of	pp-f	of	of	0
pictures	pictures	n2	pictures	picture	0
,	,	,	,	,	0
was	was	vbds	was	be	0
deemed	deemed	vvn	deemed	deem	0
the	the	dt	the	the	0
best	best	js	best	best	0
quality	quality	n1	quality	quality	0
that	that	cst	that	that	0
could	could	vmd	could	can	0
rest	rest	vvi	rest	rest	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
:	:	:	:	:	0
touchyng	touchyng	n-vvg	touching	touch	0
whiche	whiche	r-crq	which	which	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
well	well	av	well	well	0
say	say	vvi	say	say	0
as	as	a-acp	as	as	0
dyd	dyd	vdd	did	do	0
Parrhasius	Parrhasius	np1	Parrhasius	Parrhasius	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
paynting	paynting	vvg	painting	paint	0
one	one	pi	one	one	0
that	that	cst	that	that	0
ranne	ranne	vvd	ran	run	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
race	race	n1	raze	race	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
hym	hym	pno31	him	he	0
sweate	sweate	vvi	sweat	sweat	0
,	,	,	,	,	0
added	added	vvd	added	add	0
this	this	d	this	this	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
note	note	n1	note	note	0
,	,	,	,	,	0
No	No	av-dx	No	no	0
farther	farther	av-jc	farther	far	0
then	then	cs	then	than	0
coulours	coulours	n2	colours	colour	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
Praxiteles	Praxiteles	np1	Praxiteles	Praxiteles	0
