Srs.	Srs.	np1	Srs.	Srs.	0
THe	THe	dt	THe	the	0
Dedication	Dedication	n1	Dedication	dedication	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ensueing	ensueing	j-vvg	ensuing	ensue	0
Modell	Modell	n1	Model	model	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Citty	Citty	n1	City	city	0
doth	doth	vdz	does	do	0
most	most	ds	most	most	0
properly	properly	av-j	properly	proper	0
belong	belong	vvi	belong	belong	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Heritage	Heritage	n1	Heritage	heritage	0
and	and	cc	and	and	0
Servants	Servants	n2	Servants	servant	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
old	old	j	old	old	0
Administration	Administration	n1	Administration	administration	0
,	,	,	,	,	0
The	The	dt	The	the	0
Sons	Sons	n2	Sons	son	0
of	of	pp-f	of	of	0
Aron	Aron	np1	Aron	Aron	0
had	had	vhd	had	have	0
Thirteene	Thirteene	crd	Thirteene	thirteen	0
Cittyes	Cittyes	n2	Cities	city	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Levites	Levites	np2	Levites	Levite	0
eight	eight	crd	eight	eight	0
and	and	cc	and	and	0
Fourty	Fourty	crd	Fourty	forty	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
New	New	j	New	new	0
and	and	cc	and	and	0
better	better	j	better	better	0
Administration	Administration	n1	Administration	administration	0
the	the	dt	the	the	0
Servants	Servants	n2	Servants	servant	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
one	one	crd	one	one	0
Citty	Citty	n1	City	city	0
to	to	pc-acp	to	to	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
amongst	amongst	p-acp	among	among	0
all	all	d	all	all	0
the	the	dt	the	the	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
.	.	.	.	.	1
Methinks	Methinks	vvz	Methinks	methinks	0
I	I	pns11	I	i	0
heare	heare	vvb	hear	hear	0
you	you	pn22	you	you	0
Speaking	Speaking	vvg	Speaking	speak	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Sons	Sons	n2	Sons	son	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
to	to	p-acp	to	to	0
Elisha	Elisha	np1	Elisha	Elisha	0
vizt	vizt	vvd	vizt	vizt	0
:	:	:	:	:	0
Loe	Loe	uh	Lo	lo	0
the	the	dt	the	the	0
Place	Place	n1	Place	place	0
where	where	c-crq	where	where	0
wee	wee	pns12	we	we	0
dwell	dwell	vvb	dwell	dwell	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
strait	strait	j	strait	strait	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
,	,	,	,	,	0
Let	Let	vvb	Let	let	0
us	us	pno12	us	we	0
goe	goe	vvi	go	go	0
unto	unto	p-acp	unto	unto	0
Jordan	Jordan	n1	Jordan	jordan	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
thence	thence	av	thence	thence	0
every	every	d	every	every	0
one	one	pi	one	one	0
a	a	dt	a	a	0
beame	beame	n1	beam	beam	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lett	Lett	vvb	Let	let	0
us	us	pno12	us	we	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
Place	Place	n1	Place	place	0
there	there	a-acp	there	there	0
where	where	c-crq	where	where	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
dwell	dwell	vvi	dwell	dwell	0
.	.	.	.	.	1
Tis	Tis	pn31|vbz	This	it|be	0
certaine	certaine	j	certain	certain	0
your	your	po22	your	your	0
Place	Place	n1	Place	place	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
Strait	Strait	j	Strait	strait	0
,	,	,	,	,	0
and	and	cc	and	and	0
though	though	cs	though	though	0
Some	Some	d	Some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
roome	roome	n1	room	room	0
too	too	av	too	too	0
much	much	av-d	much	much	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
others	others	n2-jn	others	other	0
(	(	(	(	(	0
unhappy	unhappy	j-u	unhappy	happy	0
unequallity	unequallity	n1	unequality	unequality	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
noe	noe	dx	no	no	0
Place	Place	n1	Place	place	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
.	.	.	.	.	1
I	I	pns11	I	i	0
could	could	vmd	could	can	0
Present	Present	vvi	Present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Catalogue	Catalogue	n1	Catalogue	catalogue	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Evills	Evills	n2-jn	Evils	evil	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
suffered	suffered	vvn	suffered	suffer	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
many	many	d	many	many	0
evills	evills	n2-jn	evils	evil	0
▪	▪	▪	▪	▪	0
the	the	dt	the	the	0
world	world	n1	world	world	0
hath	hath	vhz	hath	have	0
sufferd	sufferd	vvn	suffered	suffer	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
Prima	Prima	fw-la	Prima	prima	0
abiêrunt	abiêrunt	fw-la	abiêrunt	abiêrunt	0
,	,	,	,	,	0
&	&	cc	&	and	0
Ecce	Ecce	fw-la	Ecce	ecce	0
nova	nova	fw-la	nova	nova	0
facio	facio	fw-la	facio	facere	0
omnia	omnia	fw-la	omnia	omnia	0
,	,	,	,	,	0
Old	Old	j	Old	old	0
Things	Things	n2	Things	thing	0
are	are	vbr	are	be	0
passed	passed	vvn	passed	pass	0
away	away	av	away	away	0
,	,	,	,	,	0
and	and	cc	and	and	0
loe	loe	uh	lo	lo	0
I	I	pns11	I	i	0
make	make	vvb	make	make	0
all	all	d	all	all	0
things	things	n2	things	thing	0
New	New	j	New	new	0
,	,	,	,	,	0
Saith	Saith	vvz	Says	say	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Revel	Revel	vvb	Revel	revel	0
:	:	:	:	:	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
omit	omit	vvi	omit	omit	0
mentioning	mentioning	vvg	mentioning	mention	0
the	the	dt	the	the	0
forma	forma	fw-la	forma	forma	0
Evills	Evills	n2-jn	Evils	evil	0
and	and	cc	and	and	0
proceed	proceed	vvb	proceed	proceed	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
remedying	remedying	n-vvg	remedying	remedy	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
doe	doe	vdb	do	do	0
here	here	av	here	here	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
modell	modell	n1	model	model	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
New	New	j	New	new	0
OEconomie	OEconomie	np1	OEconomie	OEconomie	0
,	,	,	,	,	0
and	and	cc	and	and	0
tis	tis	pn31|vbz	this	it|be	0
this	this	d	this	this	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
appointed	appointed	vvn	appointed	appoint	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
Citty	Citty	n1	City	city	0
in	in	p-acp	in	in	0
each	each	d	each	each	0
Nation	Nation	n1	Nation	nation	0
and	and	cc	and	and	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
to	to	pc-acp	to	to	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
shalle	shalle	vmb	shall	shall	0
liue	liue	vvi	live	live	0
peaceably	peaceably	av-j	peaceably	peaceable	0
and	and	cc	and	and	0
quietly	quietly	av-jn	quietly	quiet	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
holy	holy	j	holy	holy	0
Functions	Functions	n2	Functions	function	0
