EVEN	EVEN	j	EVEN	even	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
commendable	commendable	j	commendable	commendable	0
and	and	cc	and	and	0
diligent	diligent	j	diligent	diligent	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
comfort	comfort	n1	comfort	comfort	0
and	and	cc	and	and	0
confir	confir	n1	confir	confir	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
faith	faith	n1	faith	faith	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
calculate,1	calculate,1	n1	calculate,1	calculate,1	0
Pet.	Pet.	np1	Pet.	Pet.	1
1.	1.	crd	1.	1.	0
v.	v.	n1	v.	v.	0
10	10	crd	10	10	0
and	and	cc	and	and	0
11.	11.	crd	11.	11.	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
direction	direction	n1	direction	direction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
search	search	vvi	search	search	0
and	and	cc	and	and	0
enquire	enquire	vvi	inquire	inquire	0
out	out	av	out	out	0
the	the	dt	the	the	0
very	very	j	very	very	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
incarnation	incarnation	n1	incarnation	incarnation	0
,	,	,	,	,	0
his	his	po31	his	his	0
death	death	n1	death	death	0
,	,	,	,	,	0
his	his	po31	his	his	0
glorification	glorification	n1	glorification	glorification	0
.	.	.	.	.	1
So	So	av	So	so	0
in	in	p-acp	in	in	0
sem	sem	zz	sem	sem	0
∣	∣	sy	∣	∣	0
bable	bable	n1	babble	babble	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
it	it	pn31	it	it	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
concerneth	concerneth	vvz	concerns	concern	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
ends	ends	n2	ends	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	q-crq	who	who	0
haue	haue	vhb	have	have	0
both	both	d	both	both	0
promises	promises	n2	promises	promise	0
and	and	cc	and	and	0
signes	signes	n2	signs	sign	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
second	second	ord	second	second	0
appearance	appearance	n1	appearance	appearance	0
at	at	p-acp	at	at	0
hand	hand	n1	hand	hand	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
perfit	perfit	j	perfect	perfect	0
redempti	redempti	fw-la	redempti	redempti	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
and	and	cc	and	and	0
full	full	j	full	full	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
due	due	j-jn	due	due	0
notice	notice	n1	notice	notice	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serch	serch	vvi	search	search	0
into	into	p-acp	into	into	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
obserue	obserue	vvi	observe	observe	0
the	the	dt	the	the	0
accomplishment	accomplishment	n1	accomplishment	accomplishment	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
proper	proper	j	proper	proper	0
times	times	n2	times	time	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
rule	rule	n1	rule	rule	0
of	of	pp-f	of	of	0
direction	direction	n1	direction	direction	0
,	,	,	,	,	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
humaine	humaine	j	human	human	0
collections	collections	n2	collections	collection	0
,	,	,	,	,	0
fained	fained	j-vvn	feigned	feign	0
prophecies	prophecies	n2	prophecies	prophecy	0
and	and	cc	and	and	0
reuelations	reuelations	n2	revelations	revelation	0
,	,	,	,	,	0
Astrologicall	Astrologicall	j	Astrological	astrological	0
conictures	conictures	n2	conictures	conicture	0
,	,	,	,	,	0
Arithmetical	Arithmetical	j	Arithmetical	arithmetical	0
computations	computations	n2	computations	computation	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
are	are	vbr	are	be	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
vncertain	vncertain	j	uncertain	uncertain	0
,	,	,	,	,	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
ceitfull	ceitfull	j	ceitfull	ceitfull	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
euent	euent	n1	event	event	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
ages	ages	n2	ages	age	0
doth	doth	vdz	does	do	0
demonstrate	demonstrate	vvi	demonstrate	demonstrate	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
bee	bee	vbi	be	be	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
written	written	j-vvn	written	write	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
albeit	albeit	cs	albeit	albeit	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ueiled	ueiled	vvn	veiled	veil	0
the	the	dt	the	the	0
daie	daie	n1	day	day	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
yeare	yeare	n1	year	year	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
definite	definite	j	definite	definite	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
second	second	ord	second	second	0
comming	comming	n-vvg	coming	come	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
left	left	vvn	left	leave	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
many	many	d	many	many	0
generall	generall	n1	general	general	0
yet	yet	av	yet	yet	0
vndoubted	vndoubted	j	undoubted	undoubted	0
signes	signes	n2	signs	sign	0
and	and	cc	and	and	0
forerunners	forerunners	n2	forerunners	forerunner	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
wholy	wholy	av-jn	wholly	whole	0
expired	expired	vvn	expired	expire	0
,	,	,	,	,	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
present	present	j	present	present	0
motion	motion	n1	motion	motion	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
gresse	gresse	n1	gresse	gresse	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
yet	yet	av	yet	yet	0
wholy	wholy	av-jn	wholly	whole	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
signes	signes	n2	signs	sign	0
and	and	cc	and	and	0
predicti	predicti	fw-la	predicti	predicti	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
serch	serch	vvb	search	search	0
them	them	pno32	them	they	0
out	out	av	out	out	0
,	,	,	,	,	0
weye	weye	vvi	weye	weigh	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
described	described	vvn	described	describe	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
scriptures	scriptures	n2	scriptures	scripture	0
)	)	)	)	)	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
bee	bee	vbi	be	be	0
contai	contai	fw-gr	contai	contai	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
and	and	cc	and	and	0
preserued	preserued	vvn	preserved	preserve	0
from	from	p-acp	from	from	0
Atheisme	Atheisme	n1	Atheism	atheism	0
and	and	cc	and	and	0
vnbeleefe	vnbeleefe	n1	unbelief	unbelief	0
,	,	,	,	,	0
the	the	dt	the	the	0
common	common	j	common	common	0
sinne	sinne	n1	sin	sin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
bee	bee	vbi	be	be	0
kept	kept	vvn	kept	keep	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
ras	ras	zz	ras	ras	0
,	,	,	,	,	0
foolish	foolish	j	foolish	foolish	0
and	and	cc	and	and	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
grounded	grounded	vvn	grounded	ground	0
urisities	urisities	n2	urisities	urisity	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
bee	bee	vbi	be	be	0
effectually	effectually	av-j	effectually	effectual	0
and	and	cc	and	and	0
continually	continually	av-j	continually	continual	0
stired	stired	vvn	stirred	stir	0
vp	vp	a-acp	up	up	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
in	in	p-acp	in	in	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
Hope	Hope	vvb	Hope	hope	0
and	and	cc	and	and	0
Repentance	Repentance	n1	Repentance	repentance	0
against	against	p-acp	against	against	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
comming	comming	n-vvg	coming	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
shal	shal	vmb	shall	shall	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
trialls	trialls	n2	trials	trial	0
and	and	cc	and	and	0
temp	temp	vvi	temp	tempt	0
∣	∣	sy	∣	∣	0
tations	tations	n2	tations	tation	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
might	might	vmd	might	may	0
comfort	comfort	vvi	comfort	comfort	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
our	our	po12	our	our	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
demption	demption	n1	demption	demption	0
is	is	vbz	is	be	0
so	so	av	so	so	0
nigh	nigh	av-j	nigh	nigh	0
at	at	p-acp	at	at	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
This	This	d	This	this	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
notable	notable	j	notable	notable	0
vse	vse	n1	use	use	0
and	and	cc	and	and	0
profit	profit	n1	profit	profit	0
,	,	,	,	,	0
(	(	(	(	(	0
especially	especially	av-j	especially	especial	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Godly	Godly	j	Godly	godly	0
and	and	cc	and	and	0
sober	sober	j	sober	sober	0
minded	minded	j-vvn	minded	mind	0
,	,	,	,	,	0
)	)	)	)	)	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
it	it	pn31	it	it	0
and	and	cc	and	and	0
vpon	vpon	p-acp	upon	upon	0
good	good	j	good	good	0
considerations	considerations	n2	considerations	consideration	0
to	to	pc-acp	to	to	0
recommend	recommend	vvi	recommend	recommend	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
worships	worships	ng1	worships	worship	0
patronage	patronage	n1	patronage	patronage	0
.	.	.	.	.	1
First	First	ord	First	first	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
iudgement	iudgement	n1	judgement	judgement	0
and	and	cc	and	and	0
experienc	experienc	n1	experienc	experienc	0
are	are	vbr	are	be	0
very	very	av	very	very	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
iudge	iudge	vvi	judge	judge	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
your	your	po22	your	your	0
vertuous	vertuous	j	virtuous	virtuous	0
affec	affec	fw-la	affec	affec	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
religious	religious	j	religious	religious	0
disposition	disposition	n1	disposition	disposition	0
will	will	vmb	will	will	0
(	(	(	(	(	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
)	)	)	)	)	0
finde	finde	vvb	find	find	0
comfort	comfort	n1	comfort	comfort	0
and	and	cc	and	and	0
contentment	contentment	n1	contentment	contentment	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
your	your	po22	your	your	0
fauonr	fauonr	n1	fauonr	fauonr	0
,	,	,	,	,	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
thoritie	thoritie	n1	thoritie	thoritie	0
beeing	beeing	vbg	being	be	0
tempered	tempered	vvn	tempered	temper	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
humanitie	humanitie	n1	humanity	humanity	0
and	and	cc	and	and	0
humili	humili	fw-la	humili	humili	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
,	,	,	,	,	0
not	not	xx	not	not	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
be	be	vbb	be	be	0
wanting	wanting	vvg	wanting	want	0
.	.	.	.	.	1
Lastly	Lastly	ord	Lastly	last	0
(	(	(	(	(	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tedious	tedious	j	tedious	tedious	0
)	)	)	)	)	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
meanes	meanes	n2	means	mean	0
so	so	av	so	so	0
well	well	av	well	well	0
testifie	testifie	vvi	testify	testify	0
my	my	po11	my	my	0
thankefull	thankefull	j	thankful	thankful	0
dutie	dutie	n1	duty	duty	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
late	late	j	late	late	0
and	and	cc	and	and	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
kindenesse	kindenesse	n1	kindness	kindness	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
word	word	n1	word	word	0
and	and	cc	and	and	0
deed	deed	n1	deed	deed	0
,	,	,	,	,	0
testified	testified	vvn	testified	testify	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
humbl	humbl	j	humbl	humbl	0
entreating	entreating	vvg	entreating	entreat	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
and	and	cc	and	and	0
requesting	requesting	vvg	requesting	request	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
short	short	j	short	short	0
obseruations	obseruations	n2	observations	observation	0
,	,	,	,	,	0
I	I	pns11	I	i	0
here	here	av	here	here	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leaue	leaue	n1	leave	leave	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
blesse	blesse	vvb	bless	bless	0
,	,	,	,	,	0
preserue	preserue	vvb	preserve	preserve	0
and	and	cc	and	and	0
prosper	prosper	vvb	prosper	prosper	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
likewise	likewise	av	likewise	likewise	0
the	the	dt	the	the	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
La	La	fw-fr	La	la	0
