Fathers	Fathers	ng1	Father's	father	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
:	:	:	:	:	0
THe	THe	dt	THe	the	0
goodnesse	goodnesse	n1	goodness	goodness	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
manifested	manifested	vvn	manifested	manifest	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
to	to	p-acp	to	to	0
England	England	np1	England	England	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
causing	causing	vvg	causing	cause	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Gospel	Gospel	n1	Gospel	gospel	0
to	to	pc-acp	to	to	0
rise	rise	vvi	rise	rise	0
early	early	av-j	early	early	0
up	up	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
such	such	d	such	such	0
entertainment	entertainment	n1	entertainment	entertainment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Supreame	Supreame	j	Supreme	supreme	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Nation	Nation	n1	Nation	nation	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
received	received	vvd	received	receive	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
countenance	countenance	n1	countenance	countenance	0
of	of	pp-f	of	of	0
publick	publick	j	public	public	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
having	having	vhg	having	have	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Christian	Christian	np1	Christian	Christian	0
King	King	n1	King	king	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
was	was	vbds	was	be	0
)	)	)	)	)	0
is	is	vbz	is	be	0
knowne	knowne	vvn	known	know	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Christian	Christian	njp	Christian	christian	0
world	world	n1	world	world	0
;	;	;	;	;	0
his	his	po31	his	his	0
goodnesse	goodnesse	n1	goodness	goodness	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
latter	latter	d	latter	latter	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
he	he	pns31	he	he	0
tooke	tooke	vvd	took	take	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
necks	necks	n2	necks	neck	0
the	the	dt	the	the	0
Anti-christian	Anti-christian	j	Antichristian	antichristian	0
yoke	yoke	n1	yoke	yoke	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
also	also	av	also	also	0
won	won	vvn	wone	win	0
∣	∣	sy	∣	∣	0
derfull	derfull	j	derfull	derfull	0
,	,	,	,	,	0
honouring	honouring	vvg	honouring	honour	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Gospel	Gospel	n1	Gospel	gospel	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
Holinesse	Holinesse	n1	Holiness	holiness	0
,	,	,	,	,	0
Learning	Learning	n1	Learning	learning	0
.	.	.	.	.	1
Ministeriall	Ministeriall	j	Ministerial	ministerial	0
abilities	abilities	n2	abilities	ability	0
,	,	,	,	,	0
and	and	cc	and	and	0
successe	successe	n1	success	success	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
conver	conver	n1	conver	conver	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
many	many	d	many	many	0
,	,	,	,	,	0
and	and	cc	and	and	0
setting	setting	vvg	setting	set	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
godlinesse	godlinesse	n1	godliness	godliness	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
honoured	honoured	vvn	honoured	honour	0
any	any	d	any	any	0
Nation	Nation	n1	Nation	nation	0
more	more	av-dc	more	more	0
;	;	;	;	;	0
nay	nay	uh	nay	nay	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
