Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
;	;	;	;	;	0
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
memorable	memorable	j	memorable	memorable	0
saying	saying	n-vvg	saying	say	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
ancient	ancient	j	ancient	ancient	0
Heathen	Heathen	j-jn	Heathen	heathen	0
;	;	;	;	;	0
He	He	pns31	He	he	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
bravest	bravest	js	bravest	brave	0
man	man	n1	man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
knowes	knowes	vvz	knows	know	0
best	best	av-js	best	best	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
injured	injured	vvn	injured	injure	0
.	.	.	.	.	1
Menan	Menan	np1	Menan	Menan	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
..	..	..	..	..	1
The	The	dt	The	the	0
lightest	lightest	js	lightest	light	0
working	working	vvg	working	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
towards	towards	p-acp	towards	towards	0
a	a	dt	a	a	0
revenge	revenge	n1	revenge	revenge	0
,	,	,	,	,	0
though	though	cs	though	though	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sharpest	sharpest	js	sharpest	sharp	0
provo	provo	fw-la	provo	provo	0
∣	∣	sy	∣	∣	0
cation	cation	n1	cation	cation	0
,	,	,	,	,	0
being	being	vbg	being	be	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
suffereth	suffereth	vvz	suffers	suffer	0
not	not	xx	not	not	0
a	a	dt	a	a	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
mean	mean	j	mean	mean	0
time	time	n1	time	time	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
crown	crown	n1	crown	crown	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Divine	Divine	j-jn	Divine	divine	0
parallell	parallell	n1	parallel	parallel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
such	such	d	such	such	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
least	least	av-ds	least	least	0
injured	injured	vvn	injured	injure	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
best	best	av-js	best	best	0
know	know	vvb	know	know	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
;	;	;	;	;	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
least	least	ds	least	least	0
damage	damage	n1	damage	damage	0
or	or	cc	or	or	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
