FRom	FRom	p-acp	FRom	from	0
that	that	cst	that	that	0
dreadful	dreadful	j	dreadful	dreadful	0
fire	fire	n1	fire	fire	0
that	that	cst	that	that	0
consumed	consumed	vvd	consumed	consume	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
Sep	Sep	np1	Sep	Sep	0
∣	∣	sy	∣	∣	0
tember	tember	n1	tember	tember	0
last	last	vvi	last	last	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
take	take	vvi	take	take	0
occa	occa	fw-it	occa	occa	0
∣	∣	sy	∣	∣	0
sion	sion	fw-la	sion	sion	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
great	great	j	great	great	0
∣	∣	sy	∣	∣	0
est	est	fw-fr	est	est	0
chances	chances	n2	chances	chance	0
,	,	,	,	,	0
alterations	alterations	n2	alterations	alteration	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
notable	notable	j	notable	notable	0
changes	changes	n2	changes	change	0
have	have	vhb	have	have	0
commonly	commonly	av-j	commonly	common	0
hapned	hapned	vvn	happened	happen	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
month	month	n1	month	month	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
;	;	;	;	;	0
Bodi	Bodi	n1	Body	body	0
∣	∣	sy	∣	∣	0
nus	nus	av	nus	nus	0
hath	hath	vhz	hath	have	0
collected	collected	vvn	collected	collect	0
many	many	d	many	many	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
markable	markable	j	markable	markable	0
instances	instances	n2	instances	instance	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
Bodin	Bodin	np1	Bodin	Bodin	0
.	.	.	.	.	0
de	de	fw-fr	de	de	0
Rep	Rep	np1	Rep	Rep	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
4	4	crd	4	4	0
Great	Great	j	Great	great	0
earth-quakes	earth-quakes	n2	earthquakes	earthquake	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
great	great	j	great	great	0
Cities	Cities	n2	Cities	city	0
and	and	cc	and	and	0
whole	whole	j-jn	whole	whole	0
Countries	Countries	n2	Countries	country	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
destroyed	destroyed	vvn	destroyed	destroy	0
,	,	,	,	,	0
have	have	vhb	have	have	0
