One	One	crd	One	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
consell	consell	n1	consell	counsel	0
of	of	pp-f	of	of	0
State	State	n1	State	state	0
.	.	.	.	.	1
Captaine	Captaine	n1	Captain	captain	0
general	general	n1	general	general	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Army	Army	n1	Army	army	0
,	,	,	,	,	0
vvhiche	vvhiche	r-crq	which	which	0
intered	intered	vvn	interred	inter	0
in	in	p-acp	in	in	0
Germanie	Germanie	np1	Germanie	Germany	0
:	:	:	:	:	0
Master	Master	vvb	Master	master	0
de	de	dt	the	the	0
Campe	Campe	n1	Camp	camp	0
General	General	n1	General	general	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
theis	theis	d	these	these	0
States	States	n2	States	state	0
and	and	cc	and	and	0
Captaine	Captaine	n1	Captain	captain	0
General	General	j	General	general	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
Ar	Ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
my	my	po11	my	my	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
Moste	Moste	ds	Most	most	0
Renowmed	Renowmed	j-vvn	Renowned	renown	0
,	,	,	,	,	0
Glorious	Glorious	j	Glorious	glorious	0
and	and	cc	and	and	0
Victorious	Victorious	j	Victorious	victorious	0
PRINCE	PRINCE	n1	PRINCE	prince	0
,	,	,	,	,	0
MAny	MAny	d	MAny	many	0
vvere	vvere	vbdr	were	be	0
the	the	dt	the	the	0
reasons	reasons	n2	reasons	reason	0
and	and	cc	and	and	0
motiues	motiues	n2	motives	motive	0
vvhich	vvhich	r-crq	which	which	0
moued	moued	vvd	moved	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
In	In	n1	In	inn	0
∣	∣	sy	∣	∣	0
glish	glish	j	glish	glish	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
the	the	dt	the	the	0
illustrious	illustrious	j	illustrious	illustrious	0
seege	seege	n1	siege	siege	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvorthy	vvorthy	j-jn	worthy	worthy	0
regayning	regayning	n-vvg	regaining	regain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
tovvne	tovvne	n1	town	town	0
of	of	pp-f	of	of	0
Bre	Bre	vvn	Bre	breed	0
∣	∣	sy	∣	∣	0
da	da	uh	dam	da	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
so	so	av	so	so	0
prosperous	prosperous	j	prosperous	prosperous	0
,	,	,	,	,	0
and	and	cc	and	and	0
potent	potent	j	potent	potent	0
arme	arme	n1	arm	arm	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
thy	thy	po21	thy	thy	0
Excel	Excel	vvi	Excel	excel	0
∣	∣	sy	∣	∣	0
lencie	lencie	n1	lencie	lencie	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
diuulge	diuulge	vvi	divulge	divulge	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
vvorld	vvorld	n1	world	world	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
vvas	vvas	vbds	was	be	0
able	able	j	able	able	0
)	)	)	)	)	0
the	the	dt	the	the	0
inuincible	inuincible	j	invincible	invincible	0
povver	povver	n1	power	power	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Great	Great	j	Great	great	0
and	and	cc	and	and	0
Migh	Migh	av-j	Migh	mighty	0
∣	∣	sy	∣	∣	0
tie	tie	zz	tie	tie	0
Monarche	Monarche	n1	Monarch	monarch	0
,	,	,	,	,	0
the	the	dt	the	the	0
Catholique	Catholique	jp	Catholic	catholique	0
Kinge	Kinge	n1	King	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
.	.	.	.	.	1
Second	Second	np1	Second	Second	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
spread	spread	vvi	spread	spread	0
abroade	abroade	av	abroad	abroad	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
proclaime	proclaime	vvi	proclaim	proclaim	0
,	,	,	,	,	0
the	the	dt	the	the	0
fame	fame	n1	fame	fame	0
and	and	cc	and	and	0
pie	pie	n1	pie	pie	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Pearle	Pearle	n1	Pearl	pearl	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vvorld	vvorld	n1	world	world	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Excellent	Excellent	j	Excellent	excellent	0
Isabella	Isabella	np1	Isabella	Isabel	0
Clara	Clara	np1	Clara	Clara	0
Eugenia	Eugenia	np1	Eugenia	Eugenia	0
,	,	,	,	,	0
Infanta	Infanta	n1	Infanta	infanta	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
such	such	d	such	such	0
and	and	cc	and	and	0
so	so	av	so	so	0
vvorthyà	vvorthyà	fw-fr	vvorthyà	vvorthyà	0
Princesse	Princesse	n1	Princess	princess	0
,	,	,	,	,	0
vvhose	vvhose	rg-crq	whose	who	0
very	very	j	very	very	0
ēnimies	ēnimies	n2	enemies	enemy	0
approue	approue	vvb	approve	approve	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
iust	iust	j	just	just	0
,	,	,	,	,	0
deser	deser	n1	desert	desert	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
and	and	cc	and	and	0
undeniable	undeniable	j	undeniable	undeniable	0
praises	praises	n2	praises	praise	0
,	,	,	,	,	0
being	being	vbg	being	be	0
such	such	d	such	such	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hardly	hardly	av	hardly	hardly	0
any	any	d	any	any	0
mortall	mortall	j-jn	mortal	mortal	0
pen	pen	n1	pen	pen	0
canset	canset	n1	canset	canset	0
,	,	,	,	,	0
them	them	pno32	them	they	0
forth	forth	av	forth	forth	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
deserue	deserue	vvb	deserve	deserve	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
that	that	cst	that	that	0
both	both	d	both	both	0
friendes	friendes	n2	friends	friend	0
and	and	cc	and	and	0
foes	foes	n2	foes	foe	0
might	might	vmd	might	may	0
vnderstand	vnderstand	vvi	understand	understand	0
,	,	,	,	,	0
the	the	dt	the	the	0
