PReaching	PReaching	vvg	PReaching	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
Printing	Printing	vvg	Printing	print	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
are	are	vbr	are	be	0
excellent	excellent	j	excellent	excellent	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
beget	beget	vvi	beget	beget	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
encrease	encrease	vvi	increase	increase	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
.	.	.	.	.	1
The	The	dt	The	the	0
one	one	crd	one	one	0
(	(	(	(	(	0
like	like	vvb	like	like	0
a	a	dt	a	a	0
shower	shower	n1	shower	shower	0
of	of	pp-f	of	of	0
raine	raine	n1	rain	rain	0
)	)	)	)	)	0
waters	waters	n2	waters	water	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
present	present	j	present	present	0
;	;	;	;	;	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
(	(	(	(	(	0
like	like	j	like	like	0
Snow	Snow	n1	Snow	snow	0
)	)	)	)	)	0
lyes	lyes	vvz	lies	lie	0
longer	longer	av-jc	longer	long	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
speake	speake	vvi	speak	speak	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
cannot	cannot	vmbx	cannot	can	0
:	:	:	:	:	0
Hauing	Hauing	vhg	Having	have	0
therefore	therefore	av	therefore	therefore	0
preached	preached	vvn	preached	preach	0
diuers	diuers	j	diverse	diverse	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
this	this	d	this	this	0
one	one	crd	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testi	testi	n1	testi	testi	0
∣	∣	sy	∣	∣	0
mony	mony	n1	money	money	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
seruice	seruice	n1	service	service	0
and	and	cc	and	and	0
dutie	dutie	n1	duty	duty	0
.	.	.	.	.	1
My	My	po11	My	my	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
doe	doe	vdi	do	do	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
.	.	.	.	.	1
The	The	dt	The	the	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
handled	handled	vvn	handled	handle	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
:	:	:	:	:	0
And	And	cc	And	and	0
,	,	,	,	,	0
many	many	d	many	many	0
more	more	dc	more	more	0
zealous	zealous	j	zealous	zealous	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
raise	raise	vvi	raise	raise	0
vp	vp	a-acp	up	up	0
dai	dai	n1	day	day	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
more	more	dc	more	more	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
argument	argument	n1	argument	argument	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
beside	beside	p-acp	beside	beside	0
the	the	dt	the	the	0
methode	methode	n1	method	method	0
and	and	cc	and	and	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
handling	handling	vvg	handling	handle	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
also	also	av	also	also	0
attribute	attribute	vvi	attribute	attribute	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
exciting	exciting	j	exciting	exciting	0
and	and	cc	and	and	0
assisting	assisting	vvg	assisting	assist	0
nie	nie	av-j	nigh	nigh	0
)	)	)	)	)	0
I	I	pns11	I	i	0
challenge	challenge	vvb	challenge	challenge	0
nothing	nothing	pix	nothing	nothing	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
faults	faults	n2	faults	fault	0
,	,	,	,	,	0
Mala	Mala	fw-la	Mala	mala	0
mea	mea	fw-la	mea	mea	0
sunt	sunt	fw-la	sunt	sunt	0
purè	purè	fw-la	purè	purè	0
mala	mala	fw-la	mala	mala	0
,	,	,	,	,	0
August	August	np1	August	August	0
.	.	.	.	.	1
&	&	cc	&	and	0
mea	mea	zz	mea	mea	0
;	;	;	;	;	0
Bona	Bona	fw-la	Bona	bona	0
mea	mea	fw-la	mea	mea	0
nec	nec	fw-la	nec	nec	0
purè	purè	fw-la	purè	purè	0
bona	bona	fw-la	bona	bona	0
,	,	,	,	,	0
nec	nec	fw-la	nec	nec	0
mea	mea	fw-la	mea	mea	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
may	may	vmb	may	may	0
claime	claime	vvi	claim	claim	0
a	a	dt	a	a	0
speciall	speciall	j	special	special	0
interest	interest	n1	interest	interest	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
lines	lines	n2	lines	line	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
