ALthough	ALthough	cs	ALthough	although	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
somewhat	somewhat	av	somewhat	somewhat	0
bold	bold	j	bold	bold	0
,	,	,	,	,	0
and	and	cc	and	and	0
rude	rude	j	rude	rude	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
intermeddle	intermeddle	vvi	intermeddle	intermeddle	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
wyth	wyth	p-acp	with	with	0
that	that	d	that	that	0
kynde	kynde	n1	kind	kind	0
of	of	pp-f	of	of	0
excercyse	excercyse	n1	excercise	excercise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
enterpryse	enterpryse	n1	enterprise	enterprise	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
it	it	pn31	it	it	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
aunswered	aunswered	vvd	answered	answer	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
excuse	excuse	vvi	excuse	excuse	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
frayltye	frayltye	n1	frailty	frailty	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
such	such	d	such	such	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
,	,	,	,	,	0
duety	duety	n1	duty	duty	0
inforceth	inforceth	vvz	enforceth	enforce	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
necessitye	necessitye	n1	necessity	necessity	0
so	so	av	so	so	0
vrgeth	vrgeth	vvz	urges	urge	0
me	me	pno11	me	i	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
consydering	consydering	vvg	considering	considere	0
the	the	dt	the	the	0
vnstedfast	vnstedfast	j	unsteadfast	unsteadfast	0
stabili	stabili	fw-la	stabili	stabili	0
∣	∣	sy	∣	∣	0
tye	tye	n1	tie	tie	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
vsed	vsed	vvn	used	use	0
among	among	p-acp	among	among	0
those	those	d	those	those	0
men	men	n2	men	man	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
maysters	maysters	n2	masters	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
yonglinges	yonglinges	n2	younglings	youngling	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
seruauntes	seruauntes	n2	servants	servant	0
,	,	,	,	,	0
or	or	cc	or	or	0
Ap	Ap	fw-mi	Ap	ap	0
∣	∣	sy	∣	∣	0
prentyses	prentyses	n2	prentices	prentice	0
,	,	,	,	,	0
(	(	(	(	(	0
vse	vse	vvb	use	use	0
the	the	dt	the	the	0
tearme	tearme	n1	term	term	0
of	of	pp-f	of	of	0
spéech	spéech	n1	speech	speech	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
you	you	pn22	you	you	0
)	)	)	)	)	0
I	I	pns11	I	i	0
thoughte	thoughte	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
gather	gather	vvi	gather	gather	0
this	this	d	this	this	0
my	my	po11	my	my	0
symple	symple	j	simple	simple	0
Harueste	Harueste	n1	Harvest	harvest	0
into	into	p-acp	into	into	0
Barne	Barne	n1	Bairn	bairn	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
