Dear	Dear	j-jn	Dear	dear	0
and	and	cc	and	and	0
much	much	d	much	much	0
Honoured	Honoured	j-vvn	Honoured	honour	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
THis	THis	d	THis	this	0
small	small	j	small	small	0
Manuall	Manuall	np1	Manuall	Manuall	0
had	had	vhd	had	have	0
necessitated	necessitated	vvn	necessitated	necessitate	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
Apology	Apology	n1	Apology	apology	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
excuse	excuse	vvi	excuse	excuse	0
my	my	po11	my	my	0
precipitance	precipitance	n1	precipitance	precipitance	0
in	in	p-acp	in	in	0
adven	adven	n1	advent	advent	0
∣	∣	sy	∣	∣	0
turing	turing	vvg	turing	ture	0
in	in	p-acp	in	in	0
publick	publick	j	public	public	0
,	,	,	,	,	0
especi	especi	fw-la	especi	especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
so	so	av	so	so	0
many	many	d	many	many	0
Learned	Learned	j	Learned	learned	0
and	and	cc	and	and	0
Able	Able	j	Able	able	0
Pens	Pens	n2	Pens	pen	0
hath	hath	vhz	hath	have	0
visited	visited	vvn	visited	visit	0
;	;	;	;	;	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
my	my	po11	my	my	0
passionate	passionate	j	passionate	passionate	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
by	by	p-acp	by	by	0
Supplications	Supplications	n2	Supplications	supplication	0
and	and	cc	and	and	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
Me	Me	pno11	Me	i	0
∣	∣	sy	∣	∣	0
ditations	ditations	n2	ditations	ditation	0
,	,	,	,	,	0
enforced	enforced	vvn	inforced	enforce	0
this	this	d	this	this	0
presumption	presumption	n1	presumption	presumption	0
.	.	.	.	.	1
It	It	pn31	It	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
tedious	tedious	j	tedious	tedious	0
controversie	controversie	n1	controversy	controversy	0
and	and	cc	and	and	0
long	long	j	long	long	0
dispute	dispute	n1	dispute	dispute	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Thank	Thank	vvb	Thank	thank	0
∣	∣	sy	∣	∣	0
fulnesse	fulnesse	n1	fullness	fullness	0
to	to	p-acp	to	to	0
present	present	j	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
the	the	dt	the	the	0
vote	vote	n1	vote	vote	0
carried	carried	vvd	carried	carry	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Landskip	Landskip	n1	Landskip	landscape	0
of	of	pp-f	of	of	0
Eter	Eter	n1	Eater	eater	0
∣	∣	sy	∣	∣	0
nity	nity	n1	nity	nity	0
.	.	.	.	.	1
Indeed	Indeed	np1	Indeed	Indeed	0
,	,	,	,	,	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
,	,	,	,	,	0
this	this	d	this	this	0
small	small	j	small	small	0
Treatise	Treatise	n1	Treatise	treatise	0
cals	cals	vvz	calls	call	0
for	for	p-acp	for	for	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
Apologies	Apologies	n2	Apologies	apology	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
lines	lines	n2	lines	line	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
usualnesse	usualnesse	n1	usualness	usualness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
wonted	wonted	j	wonted	wont	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
Apologeticall	Apologeticall	j	Apologetical	apologetical	0
plea	plea	n1	plea	plea	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Painter	Painter	n1	Painter	painter	0
who	who	r-crq	who	who	0
pictured	pictured	vvn	pictured	picture	0
Alexander	Alexander	np1	Alexander	Alexander	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
finger	finger	n1	finger	finger	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
defective	defective	j	defective	defective	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
candidnesse	candidnesse	n1	candidness	candidness	0
cloud	cloud	n1	cloud	cloud	0
,	,	,	,	,	0
and	and	cc	and	and	0
conceale	conceale	vvi	conceal	conceal	0
all	all	d	all	all	0
the	the	dt	the	the	0
imperfecti	imperfecti	n1	imperfecti	imperfecti	0
∣	∣	sy	∣	∣	0
