Dear	Dear	j-jn	Dear	dear	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
TWas	TWas	pn31	It	it	0
Jacob	Jacob	np1	Jacob	Jacob	0
that	that	cst	that	that	0
said	said	vvd	said	say	0
to	to	p-acp	to	to	0
Pha	Pha	uh	Pha	pha	0
∣	∣	sy	∣	∣	0
raoh	raoh	uh	raoh	raoh	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
33.5	33.5	crd	33.5	33.5	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
Children	Children	n2	Children	child	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
graciously	graciously	av-j	graciously	gracious	0
given	given	vvn	given	give	0
thy	thy	po21	thy	thy	0
Servant	Servant	n1	Servant	servant	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Ye	Ye	pn22	You	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
indulged	indulged	vvn	indulged	indulge	0
the	the	dt	the	the	0
Grace	Grace	n1	Grace	grace	0
of	of	pp-f	of	of	0
God!	God!	np1	God!	God!	0
Grace	Grace	n1	Grace	grace	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Pearl	Pearl	n1	Pearl	pearl	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
worth	worth	j	worth	worth	0
and	and	cc	and	and	0
weight	weight	n1	weight	weight	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Universe	Universe	n1	Universe	universe	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
weigh	weigh	vvi	weigh	weigh	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
Topaz	Topaz	n1	Topaz	topaz	0
of	of	pp-f	of	of	0
Ethiopia	Ethiopia	np1	Ethiopia	Ethiopia	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
Pebble	Pebble	n1	Pebble	pebble	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Pearl	Pearl	n1	Pearl	pearl	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
Grace	Grace	n1	Grace	grace	0
that	that	cst	that	that	0
entitles	entitles	vvz	entitles	entitle	0
and	and	cc	and	and	0
entails	entails	vvz	entails	entail	0
Glory	Glory	n1	Glory	glory	0
;	;	;	;	;	0
Grace	Grace	n1	Grace	grace	0
is	is	vbz	is	be	0
Glory	Glory	n1	Glory	glory	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bud	bud	n1	bud	bud	0
,	,	,	,	,	0
Glory	Glory	n1	Glory	glory	0
is	is	vbz	is	be	0
Grace	Grace	n1	Grace	grace	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
flower	flower	n1	flower	flower	0
;	;	;	;	;	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Glory	Glory	n1	Glory	glory	0
differ	differ	vvb	differ	differ	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
kind	kind	n1	kind	kind	0
,	,	,	,	,	0
Non	Non	fw-fr	Non	non	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
