Deare	Deare	n1	Dear	deer	0
Hearts	Hearts	n2	Hearts	heart	0
,	,	,	,	,	0
THis	THis	d	THis	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
appeared	appeared	vvn	appeared	appear	0
a	a	dt	a	a	0
fool	fool	n1	fool	fool	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
(	(	(	(	(	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
though	though	cs	though	though	0
very	very	av	very	very	0
often	often	av	often	often	0
other	other	j-jn	other	other	0
wayes	wayes	n2	ways	way	0
)	)	)	)	)	0
ye	ye	pn22	you	you	0
suffer	suffer	vvb	suffer	suffer	0
fools	fools	n2	fools	fool	0
gladly	gladly	av-j	gladly	glad	0
.	.	.	.	.	1
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
thought	thought	vvn	thought	think	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
held	held	vvn	held	hold	0
my	my	po11	my	my	0
tongue	tongue	n1	tongue	tongue	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
silence	silence	n1	silence	silence	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
safe	safe	j	safe	safe	0
then	then	cs	then	than	0
speech	speech	n1	speech	speech	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
enemies	enemies	n2	enemies	enemy	0
be	be	vbb	be	be	0
auditors	auditors	n2	auditors	auditor	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
go	go	vvi	go	go	0
about	about	a-acp	about	about	0
by	by	p-acp	by	by	0
rhetoricall	rhetoricall	j	rhetorical	rhetorical	0
phrases	phrases	n2	phrases	phrase	0
to	to	pc-acp	to	to	0
beg	beg	vvi	beg	beg	0
thy	thy	po21	thy	thy	0
good	good	j	good	good	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Dialogue	Dialogue	n1	Dialogue	dialogue	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
Writings	Writings	n2-vvg	Writings	write	0
are	are	vbr	are	be	0
so	so	av	so	so	0
dressed	dressed	vvn	dressed	dress	0
,	,	,	,	,	0
the	the	dt	the	the	0
lesse	lesse	av-dc	less	less	0
they	they	pns32	they	they	0
sauour	sauour	vvb	savour	savour	0
of	of	pp-f	of	of	0
true	true	j	true	true	0
meaning	meaning	n1	meaning	meaning	0
.	.	.	.	.	1
All	All	av-d	All	all	0
that	that	d	that	that	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
read	read	vvb	read	read	0
,	,	,	,	,	0
consider	consider	vvb	consider	consider	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
moderately	moderately	av-j	moderately	moderate	0
)	)	)	)	)	0
judge	judge	n1	judge	judge	0
;	;	;	;	;	0
and	and	cc	and	and	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
too	too	av	too	too	0
prolix	prolix	j	prolix	prolix	0
,	,	,	,	,	0
abridge	abridge	vvb	abridge	abridge	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
thoughts	thoughts	n2	thoughts	thought	0
;	;	;	;	;	0
and	and	cc	and	and	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
too	too	av	too	too	0
short	short	j	short	short	0
,	,	,	,	,	0
inlarge	inlarge	vvb	enlarge	enlarge	0
it	it	pn31	it	it	0
