TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
RIGHT	RIGHT	n-jn	RIGHT	right	0
HONOrable	HONOrable	j	Honourable	honourable	0
William	William	np1	William	William	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Pembroke	Pembroke	np1	Pembroke	Pembroke	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Herbert	Herbert	np1	Herbert	Herbert	0
of	of	pp-f	of	of	0
Cardiffe	Cardiffe	np1	Cardiffe	Cardiffe	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Par	Par	np1	Par	Par	0
and	and	cc	and	and	0
Rosse	Rosse	np1	Rosse	Rosse	0
of	of	pp-f	of	of	0
Kendall	Kendall	np1	Kendall	Kendal	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Marmion	Marmion	np1	Marmion	Marmion	0
and	and	cc	and	and	0
St.	St.	n1	St.	saint	1
Quintin	Quintin	np1	Quintin	Quintin	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
War	War	n1	War	war	0
∣	∣	sy	∣	∣	0
den	den	n1	den	den	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Stanneries	Stanneries	n2	Stanneries	stannery	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Deuon	Deuon	np1	Deuon	Devon	0
and	and	cc	and	and	0
Cornewall	Cornewall	np1	Cornewall	Cornwall	0
,	,	,	,	,	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
Towne	Towne	n1	Town	town	0
and	and	cc	and	and	0
Castle	Castle	n1	Castle	castle	0
of	of	pp-f	of	of	0
Portsmouth	Portsmouth	np1	Portsmouth	Portsmouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Portsey	Portsey	np1	Portsey	Portsey	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Southampton	Southampton	np1	Southampton	Southampton	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Wilts	Wilts	np1	Wilts	Wilts	0
and	and	cc	and	and	0
Somerset	Somerset	np1	Somerset	Somerset	0
,	,	,	,	,	0
Chancellor	Chancellor	n1	Chancellor	chancellor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Vniuersity	Vniuersity	n1	University	university	0
of	of	pp-f	of	of	0
Oxford	Oxford	np1	Oxford	Oxford	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Chamberlaine	Chamberlaine	n1	Chamberlain	chamberlain	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Houshold	Houshold	n1	Household	household	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Priuic	Priuic	fw-la	Priuic	priuic	0
Councell	Councell	n1	Council	council	0
.	.	.	.	.	1
