FOrsomuch	FOrsomuch	av	FOrsomuch	forsomuch	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
highe	highe	j	high	high	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
both	both	d	both	both	0
this	this	d	this	this	0
our	our	po12	our	our	0
diuine	diuine	j-jn	divine	divine	0
Prophet	Prophet	n1	Prophet	prophet	0
S.	S.	np1	S.	S.	0
IOHN	IOHN	np1	IOHN	John	0
,	,	,	,	,	0
intreating	intreating	vvg	entreating	entreat	0
here	here	av	here	here	0
most	most	av-ds	most	most	0
speci	speci	fw-fr	speci	speci	0
∣	∣	sy	∣	∣	0
allie	allie	n1	ally	ally	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
destruction	destruction	n1	destruction	destruction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Antichri	Antichri	np1	Antichri	Antichri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
seate	seate	n1	seat	seat	0
,	,	,	,	,	0
citie	citie	n1	city	city	0
and	and	cc	and	and	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
rect	rect	vvi	rect	rect	0
the	the	dt	the	the	0
execution	execution	n1	execution	execution	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
great	great	j	great	great	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Iustice	Iustice	n1	Justice	justice	0
and	and	cc	and	and	0
iust	iust	j	just	just	0
iudgement	iudgement	n1	judgement	judgement	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Kings	Kings	n2	Kings	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Prophets	Prophets	n2	Prophets	prophet	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
ages	ages	n2	ages	age	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
,	,	,	,	,	0
directed	directed	vvn	directed	direct	0
al	al	d	all	all	0
their	their	po32	their	their	0
admonitions	admonitions	n2	admonitions	admonition	0
generally	generally	av-j	generally	general	0
to	to	p-acp	to	to	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
princes	princes	n2	princes	prince	0
and	and	cc	and	and	0
gouernors	gouernors	n2	governors	governor	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Heads-men	Heads-men	n2	Heads-men	heads-man	0
)	)	)	)	)	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
holy	holy	j	holy	holy	0
admonitions	admonitions	n2	admonitions	admonition	0
forewarned	forewarned	vvn	forewarned	forewarn	0
,	,	,	,	,	0
might	might	vmd	might	may	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
thereto	thereto	av	thereto	thereto	0
)	)	)	)	)	0
holde	holde	vvb	hold	hold	0
all	all	d	all	all	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
commoun	commoun	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
order	order	n1	order	order	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
certaine	certaine	j	certain	certain	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
heade	heade	n1	head	head	0
being	being	vbg	being	be	0
well	well	av	well	well	0
affected	affected	vvn	affected	affect	0
,	,	,	,	,	0
will	will	vmb	will	will	0
of	of	pp-f	of	of	0
necessitie	necessitie	n1	necessity	necessity	0
ministrat	ministrat	n1	ministrate	ministrate	0
health	health	n1	health	health	0
and	and	cc	and	and	0
wholsome	wholsome	j	wholesome	wholesome	0
humors	humors	n2	humours	humour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
likewise	likewise	av	likewise	likewise	0
the	the	dt	the	the	0
dutie	dutie	n1	duty	duty	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
seruants	seruants	n2	servants	servant	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
interpreters	interpreters	n2	interpreters	interpreter	0
of	of	pp-f	of	of	0
Prophecies	Prophecies	n2	Prophecies	prophecy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
(	(	(	(	(	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cording	cording	vvg	cording	cord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
incourage	incourage	vvi	encourage	encourage	0
and	and	cc	and	and	0
inanimate	inanimate	j	inanimate	inanimate	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
against	against	p-acp	against	against	0
that	that	cst	that	that	0
greate	greate	j	great	great	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
reuenge	reuenge	n1	revenge	revenge	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
exhort	exhort	vvi	exhort	exhort	0
them	them	pno32	them	they	0
generally	generally	av-j	generally	general	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
moue	moue	vvb	move	move	0
all	all	d	all	all	0
such	such	d	such	such	0
impediments	impediments	n2	impediments	impediment	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
cuntries	cuntries	n2	countries	country	0
and	and	cc	and	and	0
