Honoured	Honoured	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
these	these	d	these	these	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Translation	Translation	n1	Translation	translation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
Worthy	Worthy	j	Worthy	worthy	0
and	and	cc	and	and	0
Learned	Learned	j	Learned	learned	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
Dr.	Dr.	n1	Dr.	dr.	0
Tho.	Tho.	np1	Tho.	Tho.	1
Willis	Willis	np1	Willis	Willis	0
his	his	po31	his	his	0
Works	Works	vvz	Works	work	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Latine	Latine	jp	Latin	latin	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
Mother	Mother	n1	Mother	mother	0
Tongue	Tongue	n1	Tongue	tongue	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
nefit	nefit	n1	nefit	nefit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Country-men	Country-men	n2	Countrymen	countryman	0
:	:	:	:	:	0
and	and	cc	and	and	0
knowing	knowing	vvg	knowing	know	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ways	ways	n2	ways	way	0
been	been	vbn	been	be	0
a	a	av	a	a	0
general	general	j	general	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
generous	generous	j	generous	generous	0
Patriot	Patriot	n1	Patriot	patriot	0
,	,	,	,	,	0
a	a	dt	a	a	0
lover	lover	n1	lover	lover	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
Industry	Industry	n1	Industry	industry	0
and	and	cc	and	and	0
Inge	Inge	np1	Inge	Inge	0
∣	∣	sy	∣	∣	0
nuity	nuity	n1	nuity	nuity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
question	question	vvb	question	question	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
kindly	kindly	av-j	kindly	kind	0
receive	receive	vvi	receive	receive	0
this	this	d	this	this	0
my	my	po11	my	my	0
Dedication	Dedication	n1	Dedication	dedication	0
;	;	;	;	;	0
though	though	cs	though	though	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
many	many	d	many	many	0
admirable	admirable	j	admirable	admirable	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Book	Book	n1	Book	book	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
and	and	cc	and	and	0
benefit	benefit	n1	benefit	benefit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
this	this	d	this	this	0
my	my	po11	my	my	0
laborious	laborious	j	laborious	laborious	0
task	task	n1	task	task	0
may	may	vmb	may	may	0
bring	bring	vvi	bring	bring	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
innate	innate	j	innate	innate	0
Goodness	Goodness	n1	Goodness	goodness	0
,	,	,	,	,	0
having	having	vhg	having	have	0
already	already	av	already	already	0
had	had	vhd	had	have	0
some	some	d	some	some	0
particular	particular	j	particular	particular	0
experience	experience	n1	experience	experience	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
no	no	dx	no	no	0
ways	ways	n2	ways	way	0
fear	fear	vvb	fear	fear	0
an	an	dt	and	a	0
unkind	unkind	j	unkind	unkind	0
reception	reception	n1	reception	reception	0
:	:	:	:	:	0
And	And	cc	And	and	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
launch	launch	vvi	launch	launch	0
not	not	xx	not	not	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Praises	Praises	n2	Praises	praise	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
late	late	j	late	late	0
custom	custom	n1	custom	custom	0
of	of	pp-f	of	of	0
Dedicators	Dedicators	n2	Dedicators	dedicator	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
my	my	po11	my	my	0
plain	plain	j	plain	plain	0
Epistle	Epistle	n1	Epistle	epistle	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
kindly	kindly	av-j	kindly	kind	0
accepted	accepted	vvn	accepted	accept	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
dest	dest	fw-la	dest	dest	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
love	love	vvi	love	love	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
all	all	d	all	all	0
your	your	po22	your	your	0
good	good	j	good	good	0
Acti	Acti	fw-la	Acti	acti	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
,	,	,	,	,	0
Virtues	Virtues	n2	Virtues	virtue	0
and	and	cc	and	and	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
Rhetorically	Rhetorically	av-j	Rhetorically	rhetorical	0
painted	painted	vvn	painted	paint	0
and	and	cc	and	and	0
laid	laid	vvd	laid	lay	0
open	open	j	open	open	0
before	before	p-acp	before	before	0
your	your	po22	your	your	0
Eyes	Eyes	n2	Eyes	eye	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Worth	Worth	n1	Worth	worth	0
is	is	vbz	is	be	0
too	too	av	too	too	0
well	well	av	well	well	0
known	known	vvn	known	know	0
,	,	,	,	,	0
this	this	d	this	this	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
any	any	d	any	any	0
addition	addition	n1	addition	addition	0
;	;	;	;	;	0
so	so	av	so	so	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
thereof	thereof	av	thereof	thereof	0
being	being	vbg	being	be	0
needless	needless	j	needless	needless	0
,	,	,	,	,	0
will	will	vmb	will	will	0
rather	rather	av-c	rather	rather	0
cause	cause	vvi	cause	cause	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
blush	blush	vvi	blush	blush	0
,	,	,	,	,	0
than	than	cs	than	than	0
be	be	vbb	be	be	0
any	any	d	any	any	0
ways	ways	n2	ways	way	0
pleas'd	pleas'd	vvn	pleased	please	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
forbear	forbear	vvi	forbear	forbear	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
notice	notice	n1	notice	notice	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
whole	whole	j-jn	whole	whole	0
Life	Life	n1	Life	life	0
has	has	vhz	has	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
true	true	j	true	true	0
pattern	pattern	n1	pattern	pattern	0
of	of	pp-f	of	of	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
and	and	cc	and	and	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
troublesome	troublesome	j	troublesome	troublesome	0
and	and	cc	and	and	0
distracted	distracted	j-vvn	distracted	distract	0
times	times	n2	times	time	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
worthily	worthily	av-j	worthily	worthy	0
related	related	vvn	related	relate	0
and	and	cc	and	and	0
mentioned	mentioned	vvn	mentioned	mention	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
praise-worthy	praise-worthy	j	praiseworthy	praiseworthy	0
Example	Example	n1	Example	example	0
for	for	p-acp	for	for	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
imitate	imitate	vvi	imitate	imitate	0
and	and	cc	and	and	0
follow	follow	vvi	follow	follow	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
both	both	d	both	both	0
a	a	dt	a	a	0
true	true	j	true	true	0
lover	lover	n1	lover	lover	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
your	your	po22	your	your	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
eminently	eminently	av-j	eminently	eminent	0
shew'd	shew'd	vvn	showed	show	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
Actions	Actions	n2	Actions	action	0
,	,	,	,	,	0
and	and	cc	and	and	0
manifested	manifested	vvn	manifested	manifest	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
several	several	j	several	several	0
publick	publick	j	public	public	0
Employs	Employs	vvz	Employs	employ	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalf	behalf	n1	behalf	behalf	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
try	try	vvi	try	try	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Renowned	Renowned	j-vvn	Renowned	renown	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
Member	Member	n1	Member	member	0
.	.	.	.	.	1
And	And	cc	And	and	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
your	your	po22	your	your	0
stedfastness	stedfastness	n1	steadfastness	steadfastness	0
in	in	p-acp	in	in	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
your	your	po22	your	your	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
your	your	po22	your	your	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
uprightness	uprightness	n1	uprightness	uprightness	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Dealings	Dealings	n2-vvg	Dealings	deal	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
showered	showered	vvn	showered	shower	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
all	all	d	all	all	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
external	external	j	external	external	0
Blessings	Blessings	n2	Blessings	blessing	0
,	,	,	,	,	0
giv	giv	fw-la	giv	giv	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
fair	fair	j	fair	fair	0
Estate	Estate	n1	Estate	estate	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
