SALOMON	SALOMON	np1	SALOMON	Salomon	0
sayth	sayth	vvz	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
things	things	n2	things	thing	0
.	.	.	.	.	1
The	The	dt	The	the	0
wisdome	wisdome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
his	his	po31	his	his	0
time	time	n1	time	time	0
,	,	,	,	,	0
&	&	cc	&	and	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
such	such	d	such	such	0
acti	acti	fw-la	acti	acti	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
vndertakes	vndertakes	vvz	undertakes	undertake	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
choyce	choyce	n1	choice	choice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
,	,	,	,	,	0
&	&	cc	&	and	0
most	most	av-ds	most	most	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
modious	modious	j	modious	modious	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
effect	effect	vvi	effect	effect	0
and	and	cc	and	and	0
bring	bring	vvi	bring	bring	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
worldly	worldly	j	worldly	worldly	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
agreeable	agreeable	j	agreeable	agreeable	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
we	we	pns12	we	we	0
account	account	vvb	account	account	0
the	the	dt	the	the	0
Morning	Morning	n1	Morning	morning	0
the	the	dt	the	the	0
best	best	js	best	best	0
&	&	cc	&	and	0
most	most	av-ds	most	most	0
conuenient	conuenient	j	convenient	convenient	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
day	day	n1	day	day	0
besides	besides	a-acp	beside	beside	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
reason	reason	n1	reason	reason	0
&	&	cc	&	and	0
experience	experience	n1	experience	experience	0
do	do	vdb	do	do	0
