DO	DO	vdb	DO	do	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fol	fol	zz	fol	fol	0
∣	∣	sy	∣	∣	0
lowers	lowers	vvb	lowers	lower	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
Ephes.	Ephes.	np1	Ephes.	Ephes.	1
5.	5.	crd	5.	5.	0
1.	1.	crd	1.	1.	1
Matth.	Matth.	np1	Matth.	Matth.	0
16.	16.	crd	16.	16.	0
24.	24.	crd	24.	24.	1
Heb.	Heb.	np1	Heb.	Heb.	0
6.	6.	crd	6.	6.	0
12.	12.	crd	12.	12.	0
and	and	cc	and	and	0
not	not	xx	not	not	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
,	,	,	,	,	0
Exod.	Exod.	np1	Exod.	Exod.	0
23.	23.	crd	23.	23.	0
2.	2.	crd	2.	2.	0
not	not	xx	not	not	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	0
12.	12.	crd	12.	12.	0
2.	2.	crd	2.	2.	1
And	And	cc	And	and	0
dare	dare	vvb	dare	dare	0
you	you	pn22	you	you	0
yet	yet	av	yet	yet	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
up	up	a-acp	up	up	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
patterns	patterns	n2	patterns	pattern	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
their	their	po32	their	their	0
examples	examples	n2	examples	example	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
esteemed	esteemed	vvn	esteemed	esteem	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
?	?	?	?	?	1
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
shame	shame	n1	shame	shame	0
,	,	,	,	,	0
Is	Is	vbz	Is	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
a	a	dt	a	a	0
Holy	Holy	j	Holy	holy	0
Christ	Christ	np1	Christ	Christ	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
Pattern	Pattern	n1	Pattern	pattern	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Holy	Holy	j	Holy	holy	0
Word	Word	n1	Word	word	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
Rule	Rule	n1	Rule	rule	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
Professors	Professors	n2	Professors	professor	0
of	of	pp-f	of	of	0
Religi	Religi	np1	Religi	Religi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
must	must	zz	must	must	0
needs	needs	av	needs	needs	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
irreli	irreli	j	irreli	irreli	0
∣	∣	sy	∣	∣	0
gious	gious	j	gious	gious	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
taking	taking	vvg	taking	take	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ample	ample	j	ample	ample	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
no	no	dx	no	no	0
example	example	n1	example	example	0
from	from	p-acp	from	from	0
Christ	Christ	np1	Christ	Christ	0
?	?	?	?	?	1
Now	Now	av	Now	now	0
therefore	therefore	av	therefore	therefore	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
utterly	utterly	av-j	utterly	utter	0
a	a	dt	a	a	0
fault	fault	n1	fault	fault	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
form	form	vvb	from	form	0
so	so	av	so	so	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
