Christian	Christian	njp	Christian	christian	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
so	so	av	so	so	0
walk	walk	vvb	walk	walk	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
be	be	vbb	be	be	0
an	an	dt	and	a	0
Ingagement	Ingagement	n1	Engagement	engagement	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
spirits	spirits	n2	spirits	spirit	0
to	to	pc-acp	to	to	0
love	love	vvi	love	love	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
walk	walk	vvi	walk	walk	0
as	as	p-acp	as	as	0
chil	chil	fw-la	chil	chil	0
∣	∣	sy	∣	∣	0
dren	dren	n1	dren	dren	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
light	light	n1	light	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
darkness	darkness	n1	darkness	darkness	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
light	light	n1	light	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
pure	pure	j	pure	pure	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
free	free	j	free	free	0
gift	gift	n1	gift	gift	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
that	that	cst	that	that	0
shew	shew	n1	show	show	0
∣	∣	sy	∣	∣	0
eth	eth	zz	eth	eth	0
darkness	darkness	n1	darkness	darkness	0
,	,	,	,	,	0
and	and	cc	and	and	0
Infidelity	Infidelity	n1	Infidelity	infidelity	0
,	,	,	,	,	0
lead	lead	vvb	led	lead	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
guide	guide	vvb	guide	guide	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Priests	Priests	n2	Priests	priest	0
about	about	p-acp	about	about	0
your	your	po22	your	your	0
Beverley	Beverley	np1	Beverley	Beverley	0
faith	faith	n1	faith	faith	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
,	,	,	,	,	0
shewing	shewing	vvg	showing	show	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
mightily	mightily	av-j	mightily	mighty	0
dishonor	dishonor	vvi	dishonour	dishonour	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
that	that	cst	that	that	0
say	say	vvb	say	say	0
they	they	pns32	they	they	0
witness	witness	vvb	witness	witness	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Light	Light	n1	Light	light	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
which	which	r-crq	which	which	0
sheweth	sheweth	vvz	shows	show	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
darkness	darkness	n1	darkness	darkness	0
,	,	,	,	,	0
sheweth	sheweth	vvz	shows	show	0
not	not	xx	not	not	0
