1.	1.	crd	1.	1.	1
SIR	SIR	n1	SIR	sir	0
some	some	d	some	some	0
while	while	n1	while	while	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
you	you	pn22	you	you	0
wrote	wrote	vvd	wrote	write	0
a	a	dt	a	a	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Visibility	Visibility	n1	Visibility	visibility	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
calling	calling	vvg	calling	call	0
it	it	pn31	it	it	0
via	via	fw-la	via	via	0
tu	tu	fw-la	tu	tu	0
∣	∣	sy	∣	∣	0
ta	ta	uh	ta	ta	0
,	,	,	,	,	0
a	a	dt	a	a	0
safe	safe	j	safe	safe	0
way	way	n1	way	way	0
;	;	;	;	;	0
prouoked	prouoked	vvn	provoked	provoke	0
therevnto	therevnto	av	thereunto	thereunto	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
say	say	vvb	say	say	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
challenge	challenge	n1	challenge	challenge	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Iesuit	Iesuit	np1	Iesuit	Jesuit	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
long	long	j	long	long	0
pause	pause	n1	pause	pause	0
,	,	,	,	,	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
∣	∣	sy	∣	∣	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
answeare	answeare	n1	answer	answer	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
bee	bee	vbb	be	be	0
not	not	xx	not	not	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
also	also	av	also	also	0
say	say	vvi	say	say	0
)	)	)	)	)	0
your	your	po22	your	your	0
profession	profession	n1	profession	profession	0
;	;	;	;	;	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
;	;	;	;	;	0
and	and	cc	and	and	0
maintaine	maintaine	vvb	maintain	maintain	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
credit	credit	n1	credit	credit	0
.	.	.	.	.	1
And	And	cc	And	and	0
all	all	d	all	all	0
this	this	d	this	this	0
you	you	pn22	you	you	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
tend	tend	vvb	tend	tend	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
authors	authors	n2	authors	author	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
true	true	j	true	true	0
Sir	Sir	n1	Sir	sir	0
Humphrey	Humphrey	np1	Humphrey	Humphrey	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
Iesuit	Iesuit	np1	Iesuit	Jesuit	0
made	made	vvd	made	make	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
challenge	challenge	n1	challenge	challenge	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	a-acp	before	fore	0
,	,	,	,	,	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
still	still	av	still	still	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Protestants	Protestants	n2	Protestants	protestant	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
where	where	c-crq	where	where	0
their	their	po32	their	their	0
Church	Church	n1	Church	church	0
was	was	vbds	was	be	0
before	before	p-acp	before	before	0
Luther	Luther	np1	Luther	Luther	0
;	;	;	;	;	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
haue	haue	vhb	have	have	0
putt	putt	vvn	put	put	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
much	much	d	much	much	0
study	study	n1	study	study	0
and	and	cc	and	and	0
paine	paine	n1	pain	pain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
her	her	pno31	her	she	0
out	out	av	out	out	0
.	.	.	.	.	1
And	And	cc	And	and	0
some	some	d	some	some	0
finding	finding	vvg	finding	find	0
the	the	dt	the	the	0
taske	taske	n1	task	task	0
soe	soe	av	so	so	0
hard	hard	av-j	hard	hard	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
faine	faine	j	feign	fain	0
to	to	pc-acp	to	to	0
turne	turne	vvi	turn	turn	0
about	about	a-acp	about	about	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
tell	tell	vvb	tell	tell	0
vs	vs	pno12	us	we	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
