SINCE	SINCE	p-acp	SINCE	since	0
the	the	dt	the	the	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
following	following	vvg	following	follow	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
J	J	pns11	J	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
ear	ear	n1	ear	ear	0
∣	∣	sy	∣	∣	0
nestly	nestly	av-j	nestly	nest	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
requested	requested	vvn	requested	request	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
Print	Print	n1	Print	print	0
:	:	:	:	:	0
consi	consi	fw-fr	consi	consi	0
∣	∣	sy	∣	∣	0
dering	dering	j	dering	dering	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
that	that	cst	that	that	0
therin	therin	av	therein	therein	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
set	set	vvn	set	set	0
before	before	p-acp	before	before	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Honora	Honora	np1	Honora	Honora	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
person	person	n1	person	person	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
whose	whose	rg-crq	whose	who	0
buriall	buriall	n1	burial	burial	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
preached	preached	vvn	preached	preach	0
,	,	,	,	,	0
such	such	d	such	such	0
an	an	dt	and	a	0
example	example	n1	example	example	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
liuing	liuing	n-vvg	living	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
dying	dying	vvg	dying	die	0
well	well	av	well	well	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
now	now	av	now	now	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
means	means	n2	means	mean	0
made	made	vvd	made	make	0
further	further	av-jc	further	further	0
known	known	vvn	known	know	0
,	,	,	,	,	0
maie	maie	vmb	may	may	0
through	through	p-acp	through	through	0
Gods	Gods	ng1	Gods	god	0
goodnes	goodnes	n1	goodness	goodness	0
,	,	,	,	,	0
provoke	provoke	vvb	provoke	provoke	0
many	many	d	many	many	0
the	the	dt	the	the	0
better	better	jc	better	better	0
to	to	pc-acp	to	to	0
imi	imi	fw-la	imi	imi	0
∣	∣	sy	∣	∣	0
tate	tate	n1	tate	tate	0
the	the	cs	the	than	0
same	same	d	same	same	0
:	:	:	:	:	0
and	and	cc	and	and	0
weighing	weighing	vvg	weighing	weigh	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
his	his	po31	his	his	0
death	death	n1	death	death	0
was	was	vbds	was	be	0
precious	precious	j	precious	precious	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eies	eies	n2	eyes	eye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
,	,	,	,	,	0
so	so	av	so	so	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
,	,	,	,	,	0
my	my	po11	my	my	0
duety	duety	n1	duty	duty	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
anie	anie	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
lyeth	lyeth	vvz	lies	lie	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
further	further	jc	further	further	0
the	the	dt	the	the	0
