Ever-Honoured	Ever-Honoured	j	Ever-Honoured	ever-honoured	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
and	and	cc	and	and	0
Dear	Dear	j-jn	Dear	dear	0
Sister	Sister	n1	Sister	sister	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
THE	THE	dt	THE	the	0
following	following	j-vvg	following	follow	0
Sheets	Sheets	n2	Sheets	sheet	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Dear	Dear	j-jn	Dear	dear	0
Brother	Brother	n1	Brother	brother	0
(	(	(	(	(	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
Glory	Glory	n1	Glory	glory	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
own	own	d	own	own	0
Hand	Hand	n1	Hand	hand	0
,	,	,	,	,	0
being	being	vbg	being	be	0
dedicated	dedicated	vvn	dedicated	dedicate	0
by	by	p-acp	by	by	0
himself	himself	px31	himself	himself	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
accordingly	accordingly	av-vvg	accordingly	accord	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
satisfacti	satisfacti	fw-la	satisfacti	satisfacti	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
humbly	humbly	av-j	humbly	humble	0
present	present	j	present	present	0
then	then	av	then	then	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
tho	tho	cs	though	though	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
rougher	rougher	jc	rougher	rough	0
Draughts	Draughts	n2	Draughts	draught	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
intended	intended	vvn	intended	intend	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Brother	Brother	n1	Brother	brother	0
,	,	,	,	,	0
(	(	(	(	(	0
he	he	pns31	he	he	0
having	having	vhg	having	have	0
begun	begun	vvn	begun	begin	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
some	some	d	some	some	0
progress	progress	n1	progress	progress	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
transcribing	transcribing	vvg	transcribing	transcribe	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
himself	himself	px31	himself	himself	0
)	)	)	)	)	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
a	a	dt	a	a	0
Dress	Dress	n1	Dress	dress	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
confident	confident	j	confident	confident	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
less	less	av-dc	less	less	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
ceptable	ceptable	j	ceptable	ceptable	0
and	and	cc	and	and	0
welcome	welcome	j-jn	welcome	welcome	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
coming	coming	vvg	coming	come	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
Hand	Hand	n1	Hand	hand	0
that	that	cst	that	that	0
wrote	wrote	vvd	wrote	write	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
whose	whose	rg-crq	whose	who	0
perusal	perusal	n1	perusal	perusal	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
especially	especially	av-j	especially	especial	0
intended	intended	vvn	intended	intend	0
.	.	.	.	.	1
The	The	dt	The	the	0
Advice	Advice	n1	Advice	advice	0
which	which	r-crq	which	which	0
my	my	po11	my	my	0
Brother	Brother	n1	Brother	brother	0
has	has	vhz	has	have	0
left	left	vvn	left	leave	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Close	Close	j	Close	close	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Life	Life	n1	Life	life	0
(	(	(	(	(	0
Dear	Dear	j-jn	Dear	dear	0
Sister	Sister	n1	Sister	sister	0
)	)	)	)	)	0
had	had	vhd	had	have	0
he	he	pns31	he	he	0
lived	lived	vvn	lived	live	0
to	to	pc-acp	to	to	0
perfect	perfect	vvi	perfect	perfect	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
begun	begun	vvn	begun	begin	0
,	,	,	,	,	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
lieve	lieve	av-j	lieve	lief	0
,	,	,	,	,	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
particular	particular	j	particular	particular	0
suted	suted	vvn	suited	suit	0
by	by	p-acp	by	by	0
himself	himself	px31	himself	himself	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
it	it	pn31	it	it	0
now	now	av	now	now	0
differs	differs	vvz	differs	differ	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Circumstances	Circumstances	n2	Circumstances	circumstance	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
my	my	po11	my	my	0
Brother	Brother	n1	Brother	brother	0
not	not	xx	not	not	0
reaching	reaching	vvg	reaching	reach	0
so	so	av	so	so	0
far	far	av-j	far	far	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
own	own	d	own	own	0
Pen	Pen	n1	Pen	pen	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
better	better	jc	better	better	0
to	to	p-acp	to	to	0
trans	trans	ng1	trans	trans	0
∣	∣	sy	∣	∣	0
cribe	cribe	n1	cribe	cribe	0
it	it	pn31	it	it	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
,	,	,	,	,	0
than	than	cs	than	than	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
material	material	j-jn	material	material	0
to	to	pc-acp	to	to	0
alter	alter	vvi	altar	alter	0
or	or	cc	or	or	0
vary	vary	vvi	vary	vary	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Original	Original	j-jn	Original	original	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
may	may	vmb	may	may	0
reach	reach	vvi	reach	reach	0
the	the	dt	the	the	0
Hands	Hands	n2	Hands	hand	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Relations	Relations	n2	Relations	relation	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
designed	designed	vvn	designed	design	0
;	;	;	;	;	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
use	use	n1	use	use	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
also	also	av	also	also	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
whose	whose	rg-crq	whose	who	0
Hands	Hands	n2	Hands	hand	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
by	by	p-acp	by	by	0
Providence	Providence	n1	Providence	providence	0
be	be	vbi	be	be	0
cast	cast	vvn	cast	cast	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
confident	confident	j	confident	confident	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
interested	interested	vvn	interested	interest	0
herein	herein	av	herein	herein	0
)	)	)	)	)	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swaded	swaded	vvd	swaded	swade	0
much	much	d	much	much	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
making	making	n-vvg	making	make	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
thus	thus	av	thus	thus	0
publick	publick	j	public	public	0
.	.	.	.	.	1
And	And	cc	And	and	0
upon	upon	p-acp	upon	upon	0
that	that	cst	that	that	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
count	count	n1	count	count	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
omitted	omitted	vvn	omitted	omit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Poems	Poems	n2	Poems	poem	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
few	few	d	few	few	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Letters	Letters	n2	Letters	letter	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
was	was	vbds	was	be	0
less	less	dc	less	less	0
of	of	pp-f	of	of	0
publick	publick	j	public	public	0
Use	Use	n1	Use	use	0
or	or	cc	or	or	0
Concernment	Concernment	n1	Concernment	concernment	0
