To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
JAMES	JAMES	np1	JAMES	James	0
Marquesse	Marquesse	n1	Marquess	marquess	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
,	,	,	,	,	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
and	and	cc	and	and	0
Ossory	Ossory	np1	Ossory	Ossory	0
,	,	,	,	,	0
Vicount	Vicount	n1	Viscount	viscount	0
Thurles	Thurles	vvz	Thurles	thurle	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Arcloe	Arcloe	np1	Arcloe	Arcloe	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regali	Regali	np1	Regali	Regali	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Tipera	Tipera	np1	Tipera	Tipera	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
,	,	,	,	,	0
Chancellour	Chancellour	n1	Chancellor	chancellor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ʋniversity	Ʋniversity	n1	Ʋniversity	ʋniversity	0
of	of	pp-f	of	of	0
Dublin	Dublin	np1	Dublin	Dublin	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lievtenant	Lievtenant	n1	Lieutenant	lieutenant	0
Generall	Generall	n1	General	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
Generall	Generall	n1	General	general	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Councell	Councell	n1	Council	council	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Household	Household	n1	Household	household	0
,	,	,	,	,	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Bed-cham	Bed-cham	n1	Bed-cham	bed-cham	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
