OF	OF	pp-f	OF	of	0
this	this	d	this	this	0
DIALOGVE	DIALOGVE	n1	DIALOGVE	dialogve	0
,	,	,	,	,	0
(	(	(	(	(	0
MADAME	MADAME	n1	MADAME	madam	0
)	)	)	)	)	0
writ	writ	vvd	writ	write	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
,	,	,	,	,	0
now	now	av	now	now	0
,	,	,	,	,	0
thirteene	thirteene	crd	thirteene	thirteen	0
Yeares	Yeares	n2	Years	year	0
a-goe	a-goe	j	ago	ago	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
was	was	vbds	was	be	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
intended	intended	vvd	intended	intend	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
few	few	d	few	few	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
nuscripts	nuscripts	n2	nuscripts	nuscript	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
satisfying	satisfying	vvg	satisfying	satisfy	0
some	some	d	some	some	0
Godlie	Godlie	j	Godly	godly	0
Myndes	Myndes	n2	Minds	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
obviating	obviating	j-vvg	obviating	obviate	0
the	the	dt	the	the	0
insolencie	insolencie	n1	insolency	insolency	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
and	and	cc	and	and	0
ydle	ydle	j	idle	idle	0
Humours	Humours	n2	Humours	humour	0
;	;	;	;	;	0
foolishlie	foolishlie	av-j	foolishly	foolish	0
glorying	glorying	vvg	glorying	glory	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
,	,	,	,	,	0
even	even	av	even	even	0
so	so	av	so	so	0
,	,	,	,	,	0
was	was	vbds	was	be	0
it	it	pn31	it	it	0
bolde	bolde	j	bold	bold	0
,	,	,	,	,	0
then	then	av	then	then	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
betake	betake	vvi	betake	betake	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sha	sha	vmb	sha	shall	0
∣	∣	sy	∣	∣	0
dow	dow	n1	dow	dough	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
NAME	NAME	n1	NAME	name	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
never	never	av-x	never	never	0
had	had	vhd	had	have	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
Cowrage	Cowrage	n1	Courage	courage	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Kisse	Kisse	vvb	Kiss	kiss	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Hands	Hands	n2	Hands	hand	0
:	:	:	:	:	0
and	and	cc	and	and	0
,	,	,	,	,	0
perhaps	perhaps	av	perhaps	perhaps	0
,	,	,	,	,	0
had	had	vhd	had	have	0
lyen	lyen	vvn	lyen	lie	0
buried	buried	vvn	buried	bury	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
its	its	po31	its	its	0
Shamefastnesse	Shamefastnesse	n1	Shamefastness	shamefastness	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
if	if	cs	if	if	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
renewed	renewed	j-vvn	renewed	renew	0
impudent	impudent	j	impudent	impudent	0
Importunitie	Importunitie	n1	Importunity	importunity	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
instant	instant	j-jn	instant	instant	0
desyre	desyre	n1	desire	desire	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
well-affected	well-affected	j	well-affected	well-affected	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
now	now	av	now	now	0
come	come	vvn	come	come	0
out	out	av	out	out	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
publicke	publicke	j	public	public	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
case	case	n1	case	case	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
eyther	eyther	av-d	either	either	0
neglect	neglect	vvi	neglect	neglect	0
,	,	,	,	,	0
or	or	cc	or	or	0
disclayme	disclayme	vvb	disclaim	disclaim	0
,	,	,	,	,	0
so	so	av	so	so	0
Noble	Noble	j	Noble	noble	0
(	(	(	(	(	0
an	an	dt	and	a	0
Ones	Ones	pi2	Ones	one	0
acclaymed	acclaymed	vvn	acclaimed	acclaim	0
)	)	)	)	)	0
Patrocinie	Patrocinie	n1	Patrociny	patrociny	0
;	;	;	;	;	0
al-be-it	al-be-it	j	albeit	albeit	0
there-by	there-by	j	thereby	thereby	0
could	could	vmd	could	can	0
bee	bee	vbi	be	be	0
no	no	dx	no	no	0
imparement	imparement	n1	imparement	imparement	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
whose	whose	rg-crq	whose	who	0
great	great	j	great	great	0
worth	worth	n1	worth	worth	0
manie	manie	d	many	many	0
such	such	d	such	such	0
Dedications	Dedications	n2	Dedications	dedication	0
can	can	vmb	can	can	0
adde	adde	vvi	add	add	0
no	no	dx	no	no	0
lustre	lustre	n1	lustre	lustre	0
:	:	:	:	:	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
some	some	d	some	some	0
Disgrace	Disgrace	n1	Disgrace	disgrace	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Treatise	Treatise	n1	Treatise	treatise	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
,	,	,	,	,	0
discredite	discredite	n1	discredit	discredit	0
,	,	,	,	,	0
al-so	al-so	j	also	also	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
