DEar	DEar	av-jn	DEar	dear	0
Brother	Brother	n1	Brother	brother	0
,	,	,	,	,	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
I	I	pns11	I	i	0
,	,	,	,	,	0
taking	taking	vvg	taking	take	0
notice	notice	n1	notice	notice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
design	design	n1	design	design	0
of	of	pp-f	of	of	0
Anti-Christ	Anti-Christ	np1	Anti-Christ	Antichrist	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
trou	trou	fw-fr	trou	trou	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
crease	crease	n1	crease	crease	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
honour	honour	n1	honour	honour	0
flourish	flourish	vvi	flourish	flourish	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
decay	decay	n1	decay	decay	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
worldly	worldly	j	worldly	worldly	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
wicked	wicked	j	wicked	wicked	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
as	as	p-acp	as	as	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
very	very	j	very	very	0
root	root	n1	root	root	0
of	of	pp-f	of	of	0
envy	envy	n1	envy	envy	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
his	his	po31	his	his	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
Anti-Christs	Anti-Christs	npg1	Anti-Christs	anti-christs	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
interest	interest	n1	interest	interest	0
being	being	vbg	being	be	0
concerned	concerned	vvn	concerned	concern	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
design	design	n1	design	design	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
moves	moves	vvz	moves	move	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
indeavour	indeavour	vvi	endeavour	endeavour	0
the	the	dt	the	the	0
ruin	ruin	n1	ruin	ruin	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
last	last	ord	last	last	0
days	days	n2	days	day	0
indeavou	indeavou	n1	indeavou	indeavou	0
∣	∣	sy	∣	∣	0
