PResuming	PResuming	vvg	PResuming	presume	0
all	all	d	all	all	0
Your	Your	po22	Your	your	0
Lordships	Lordships	n2	Lordship's	lordship	0
will	will	vmb	will	will	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
Not	Not	xx	Not	not	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Proxies	Proxies	n2	Proxies	proxy	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
Heer	Heer	np1	Heer	Heer	0
;	;	;	;	;	0
And	And	cc	And	and	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Turnes	Turnes	vvz	Turns	turn	0
,	,	,	,	,	0
say	say	vvb	say	say	0
(	(	(	(	(	0
Every-one	Every-one	j	Everyone	everyone	0
)	)	)	)	)	0
Content	Content	j	Content	content	0
,	,	,	,	,	0
To	To	p-acp	To	to	0
Every	Every	d	Every	every	0
Act	Act	n1	Act	act	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Vertues	Vertues	ng1	Virtues	virtue	0
PARLAMENT	PARLAMENT	n1	PARLAMENT	parliament	0
:	:	:	:	:	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
bring	bring	vvb	bring	bring	0
You	You	pn22	You	you	0
Every-one	Every-one	j	Everyone	everyone	0
A	A	dt	A	a	0
Briefe	Briefe	n1	Brief	brief	0
Of	Of	pp-f	Of	of	0
every	every	d	every	every	0
Bill	Bill	n1	Bill	bill	0
;	;	;	;	;	0
or	or	cc	or	or	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
the	the	dt	the	the	0
Chiefe	Chiefe	j-jn	Chief	chief	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
Duels	Duels	n2	Duels	duel	0
,	,	,	,	,	0
desperate	desperate	j	desperate	desperate	0
Combats	Combats	n2	Combats	combat	0
,	,	,	,	,	0
and	and	cc	and	and	0
R	R	sy	R	r	0
¦	¦	sy	¦	¦	0
sing	sing	vvb	sing	sing	0
Boyes	Boyes	n2	Boys	boy	0
.	.	.	.	.	1
