MEN	MEN	n2	MEN	man	0
are	are	vbr	are	be	0
wonte	wonte	j	wont	wont	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
either	either	av-d	either	either	0
of	of	pp-f	of	of	0
su	su	n1	sum	sum	0
∣	∣	sy	∣	∣	0
perstition	perstition	n1	perstition	perstition	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
attrybute	attrybute	n1	attrybute	attrybute	0
to	to	p-acp	to	to	0
muche	muche	d	much	much	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
sa	sa	uh	sa	sa	0
¦	¦	sy	¦	¦	0
cramentes	cramentes	n2	cramentes	cramente	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
lyght	lyght	vvi	light	light	0
¦	¦	sy	¦	¦	0
nes	nes	zz	nes	nes	0
and	and	cc	and	and	0
inconstancie	inconstancie	n1	inconstancy	inconstancy	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
attribute	attribute	vvi	attribute	attribute	0
to	to	p-acp	to	to	0
little	little	j	little	little	0
vntoo	vntoo	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Whyche	Whyche	r-crq	Which	which	0
thing	thing	n1	thing	thing	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
easly	easly	av-j	easily	easy	0
se	se	vvi	see	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
historyes	historyes	n2	histories	history	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
auncyent	auncyent	j	ancient	ancient	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
wayes	wayes	n2	ways	way	0
for	for	p-acp	for	for	0
an	an	dt	and	a	0
high	high	j	high	high	0
sacramente	sacramente	n1	sacrament	sacrament	0
,	,	,	,	,	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lordes	lordes	ng1	lords	lord	0
couenaunt	couenaunt	n1	covenant	covenant	0
,	,	,	,	,	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
plain	plain	j	plain	plain	0
wordes	wordes	n2	words	word	0
,	,	,	,	,	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
hostes	hostes	n2	hosts	host	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
boke	boke	n1	book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kinges	kinges	n2	kings	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
.vi.	.vi.	crd	vi	six	0
ii	ii	crd	ii	two	0
.	.	.	.	.	0
kin	kin	n1	kin	kin	0
.vi.	.vi.	crd	vi	six	0
cha	cha	pns11|vhb	cham	I|have	0
.	.	.	.	.	1
Cha.	Cha.	np1	Cha.	Cha.	0
the	the	dt	the	the	0
scripture	scripture	n1	scripture	scripture	0
doth	doth	vdz	does	do	0
testifye	testifye	vvi	testify	testify	0
and	and	cc	and	and	0
saye	saye	vvi	say	say	0
:	:	:	:	:	0
Dauid	Dauid	np1	Dauid	David	0
rising	rising	vvg	rising	rise	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
went	went	vvd	went	go	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
hys	hys	po31	his	his	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fetche	fetche	vvi	fetch	fetch	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
wherup	wherup	uh	wherup	wherup	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lorde	lorde	n1	lord	lord	0
god	god	n1	god	god	0
of	of	pp-f	of	of	0
hostes	hostes	n2	hosts	host	0
.	.	.	.	.	0
whiche	whiche	r-crq	which	which	0
sitteth	sitteth	vvz	sitteth	sit	0
vpon	vpon	p-acp	upon	upon	0
Cherubin	Cherubin	n1	Cherubin	cherubin	0
,	,	,	,	,	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
vpon	vpon	p-acp	upon	upon	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
after	after	c-acp	after	after	0
yt	yt	pn31	that	it	0
phrase	phrase	n1	phrase	phrase	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
He	He	pns31	He	he	0
∣	∣	sy	∣	∣	0
brues	brues	vvz	brues	brue	0
,	,	,	,	,	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
muche	muche	av-d	much	much	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
a	a	dt	a	a	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
geuen	geuen	vvn	given	give	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
Iehouah	Iehouah	np1	Iehouah	Iehouah	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
hostes	hostes	n2	hosts	host	0
syt	syt	vvb	fit	fit	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
vpon	vpon	p-acp	upon	upon	0
Cherubin	Cherubin	n1	Cherubin	cherubin	0
:	:	:	:	:	0
Thys	Thys	d	This	this	0
verely	verely	av-j	verily	very	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
mistery	mistery	n1	mystery	mystery	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
high	high	j	high	high	0
sacrament	sacrament	n1	sacrament	sacrament	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
dydde	dydde	vdd	did	do	0
attry	attry	n1	attry	attry	0
∣	∣	sy	∣	∣	0
bute	bute	n1	bute	bute	0
to	to	p-acp	to	to	0
muche	muche	d	much	much	0
vntoo	vntoo	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
ouer	ouer	a-acp	over	over	0
∣	∣	sy	∣	∣	0
throwen	throwen	vvn	thrown	throw	0
,	,	,	,	,	0
and	and	cc	and	and	0
subdued	subdued	vvn	subdued	subdue	0
wt	wt	p-acp	with	with	0
the	the	dt	the	the	0
warres	warres	n2	wars	war	0
of	of	pp-f	of	of	0
Philistyns	Philistyns	n2	Philistyns	philistyn	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
also	also	av	also	also	0
was	was	vbds	was	be	0
taken	taken	vvn	taken	take	0
and	and	cc	and	and	0
caried	caried	vvn	carried	carry	0
away	away	av	away	away	0
into	into	p-acp	into	into	0
captyuitie	captyuitie	n1	captyuitie	captyuitie	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
so	so	av	so	so	0
we	we	pns12	we	we	0
do	do	vdb	do	do	0
reade	reade	vvi	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Bible	Bible	n1	Bible	bible	0
,	,	,	,	,	0
that	that	cst	that	that	0
Isra	Isra	n1	Isra	isra	0
¦	¦	sy	¦	¦	0
el	el	fw-es	el	el	0
was	was	vbds	was	be	0
ouerthrowen	ouerthrowen	vvn	overthrown	overthrow	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Phily	Phily	av-j	Phily	phy	0
∣	∣	sy	∣	∣	0
stins	stins	fw-la	stins	stins	0
,	,	,	,	,	0
iiii	iiii	crd	iiii	four	0
.	.	.	.	.	1
M.	M.	n1	M.	m.	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
beyng	beyng	vbg	being	be	0
slayne	slayne	vvn	slain	slay	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
ye	ye	pn22	you	you	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
did	did	vdd	did	do	0
return	return	vvi	return	return	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Campe	Campe	n1	Camp	camp	0
,	,	,	,	,	0
the	the	dt	the	the	0
elders	elders	n2-jn	elders	elder	0
and	and	cc	and	and	0
seniours	seniours	n2-jn	seniors	senior	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
dyd	dyd	vdd	did	do	0
say	say	vvi	say	say	0
:	:	:	:	:	0
Why	Why	q-crq	Why	why	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
lord	lord	n1	lord	lord	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
uerthrowen	uerthrowen	vvn	uerthrowen	uerthrowen	0
vs	vs	pno12	us	we	0
this	this	d	this	this	0
day	day	n1	day	day	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Phi	Phi	np1	Phi	Phi	0
∣	∣	sy	∣	∣	0
listines	listines	n1	listines	listines	0
?	?	?	?	?	1
We	We	pns12	We	we	0
wyll	wyll	vmb	will	will	0
bringe	bringe	vvi	bring	bring	0
from	from	p-acp	from	from	0
Silo	Silo	np1	Silo	Silo	0
,	,	,	,	,	0
the	the	dt	the	the	0
i	i	sy	i	i	0
Sam.	Sam.	np1	Sam.	Sam	0
iiii	iiii	crd	iiii	four	0
.	.	.	.	.	0
cha	cha	pns11	cham	i	0
Arke	Arke	n1	Ark	ark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lordes	lordes	ng1	lords	lord	0
couenaunt	couenaunt	n1	covenant	covenant	0
,	,	,	,	,	0
yt	yt	pn31	that	it	0
it	it	pn31	it	it	0
