MAdame	MAdame	n1	MAdame	madam	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
worshipfull	worshipfull	j	worshipful	worshipful	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ster	ster	vvz	ster	star	0
Iohn	Iohn	np1	Iohn	John	0
Bailiffe	Bailiffe	n1	Bailiff	bailiff	0
,	,	,	,	,	0
thē	thē	pno32	them	they	0
Maior	Maior	fw-la	Maior	maior	0
of	of	pp-f	of	of	0
Marl-brough	Marl-brough	n1	Marlbrough	marlbrough	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
there	there	a-acp	there	there	0
preached	preached	vvn	preached	preach	0
these	these	d	these	these	0
two	two	crd	two	two	0
Sermons	Sermons	n2	Sermons	sermon	0
;	;	;	;	;	0
I	I	pns11	I	i	0
purposed	purposed	vvd	purposed	purpose	0
euen	euen	av-j	even	even	0
thē	thē	pno32	them	they	0
(	(	(	(	(	0
though	though	cs	though	though	0
thwarted	thwarted	vvn	thwarted	thwart	0
til	til	c-acp	till	till	0
now	now	av	now	now	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
occasions	occasions	n2	occasions	occasion	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
pai	pai	n1	pai	pai	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
much	much	d	much	much	0
greater	greater	jc	greater	great	0
summe	summe	n1	sum	sum	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
your	your	po22	your	your	0
benefites	benefites	n2	benefits	benefit	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
manie	manie	d	many	many	0
knowe	knowe	vvb	know	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
most	most	av-ds	most	most	0
willinglie	willinglie	av-j	willingly	willing	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
)	)	)	)	)	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
I	I	pns11	I	i	0
