RIGHTE	RIGHTE	av-jn	RIGHT	right	0
HONORABLE	HONORABLE	j	HONOURABLE	honourable	0
,	,	,	,	,	0
Havinge	Havinge	vhg	Having	have	0
tried	tried	vvn	tried	try	0
my	my	po11	my	my	0
fortune	fortune	n1	fortune	fortune	0
in	in	p-acp	in	in	0
foraigne	foraigne	j	foreign	foreign	0
nationes	nationes	fw-la	nationes	nationes	0
,	,	,	,	,	0
thies	thies	n2	thighs	thigh	0
thirty	thirty	crd	thirty	thirty	0
three	three	crd	three	three	0
yeares	yeares	n2	years	year	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
presente	presente	j	present	present	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
armes	armes	n2	arms	arm	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Catho	Catho	np1	Catho	Catho	0
∣	∣	sy	∣	∣	0
like	like	vvi	like	like	0
Majesties	Majesties	ng1	Majesties	majesty	0
service	service	n1	service	service	0
a	a	dt	a	a	0
monghste	monghste	n1	monghste	monghste	0
the	the	dt	the	the	0
Spaniard	Spaniard	np1	Spaniard	Spaniard	0
,	,	,	,	,	0
Italian	Italian	jp	Italian	italian	0
,	,	,	,	,	0
and	and	cc	and	and	0
Irish	Irish	jp	Irish	irish	0
,	,	,	,	,	0
meaninge	meaninge	vvg	meaning	mean	0
the	the	dt	the	the	0
firste	firste	ord	firste	first	0
foure	foure	crd	foure	four	0
yea	yea	uh	yea	yea	0
∣	∣	sy	∣	∣	0
res	res	fw-la	res	res	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Real	Real	j	Real	real	0
Army	Army	n1	Army	army	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ocean	ocean	n1	ocean	ocean	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
29.	29.	crd	29.	29.	0
yeares	yeares	n2	years	year	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vvarres	vvarres	n2	wars	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
brave	brave	j	brave	brave	0
exploi	exploi	fw-fr	exploi	exploi	0
∣	∣	sy	∣	∣	0
tes	tes	fw-fr	tes	tes	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lovve	lovve	j	low	low	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
Germany	Germany	np1	Germany	Germany	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Souldior	Souldior	n1	Soldier	soldier	0
,	,	,	,	,	0
Princioner	Princioner	n1	Princioner	princioner	0
,	,	,	,	,	0
Aventajado	Aventajado	np1	Aventajado	Aventajado	0
,	,	,	,	,	0
Alferis	Alferis	fw-la	Alferis	alferis	0
,	,	,	,	,	0
Ajudā	Ajudā	np1	Ajudā	Ajudā	0
∣	∣	sy	∣	∣	0
te	te	fw-fr	te	te	0
,	,	,	,	,	0
and	and	cc	and	and	0
Captaine	Captaine	n1	Captain	captain	0
.	.	.	.	.	1
Novve	Novve	av	Now	now	0
beinge	beinge	vbg	being	be	0
moved	moved	vvn	moved	move	0
by	by	p-acp	by	by	0
certai	certai	n1	certai	certai	0
∣	∣	sy	∣	∣	0
ne	ne	fw-fr	ne	ne	0
frendes	frendes	n2	friends	friend	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
