Dearest	Dearest	js-jn	Dearest	dear	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Esteemed	Esteemed	j-vvn	Esteemed	esteem	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
great	great	j	great	great	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	vvb	nou_r_	nou_r_	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
my	my	po11	my	my	0
New	New	j	New	new	0
Birth	Birth	n1	Birth	birth	0
from	from	p-acp	from	from	0
thy	thy	po21	thy	thy	0
Womb	Womb	n1	Womb	womb	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
suckled	suckled	vvd	suckled	suckle	0
up	up	a-acp	up	up	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Cradle	Cradle	n1	Cradle	cradle	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
Milk	Milk	n1	Milk	milk	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
syncere	syncere	j	sincere	sincere	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
ashamed	ashamed	j	ashamed	ashamed	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Christianity	Christianity	n1	Christianity	christianity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
esteem	esteem	vvb	esteem	esteem	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
greatest	greatest	js	greatest	great	0
glory	glory	n1	glory	glory	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
had	had	vhn	had	have	0
such	such	d	such	such	0
a	a	dt	a	a	0
Mo	Mo	zz	Mo	mo	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
esteem	esteem	vvb	esteem	esteem	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
Grace	Grace	n1	Grace	grace	0
given	given	vvn	given	give	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
stick	stick	vvi	stick	stick	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
adversity	adversity	n1	adversity	adversity	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
to	to	pc-acp	to	to	0
turn	turn	vvi	turn	turn	0
from	from	p-acp	from	from	0
following	following	vvg	following	follow	0
after	after	p-acp	after	after	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
thou	thou	pns21	thou	thou	0
wert	wert	vbd2r	wertenberg	be	0
turn'd	turn'd	vvn	turned	turn	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Naomy	Naomy	n1	Naomy	naomy	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
Marah	Marah	np1	Marah	Marah	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
thy	thy	po21	thy	thy	0
beauty	beauty	n1	beauty	beauty	0
and	and	cc	and	and	0
pleasantness	pleasantness	n1	pleasantness	pleasantness	0
was	was	vbds	was	be	0
chang	chang	vvi	change	change	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
into	into	p-acp	into	into	0
deformity	deformity	n1	deformity	deformity	0
and	and	cc	and	and	0
sorrow	sorrow	n1	sorrow	sorrow	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
O	O	uh	Oh	oh	0
I	I	pns11	I	i	0
esteem	esteem	vvb	esteem	esteem	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
greatest	greatest	js	greatest	great	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
that	that	cst	that	that	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
turning	turning	n-vvg	turning	turn	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Captivity	Captivity	n1	Captivity	captivity	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
recovering	recovering	n-vvg	recovering	recover	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
pristine	pristine	j	pristine	pristine	0
Beauty	Beauty	n1	Beauty	beauty	0
and	and	cc	and	and	0
Splendour	Splendour	n1	Splendour	splendour	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
not	not	xx	not	not	0
cockered	cockered	vvn	cockered	cocker	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
thy	thy	po21	thy	thy	0
Smiles	Smiles	n2	Smiles	smile	0
and	and	cc	and	and	0
Favours	Favours	n2	Favours	favour	0
(	(	(	(	(	0
Prosperity	Prosperity	np1	Prosperity	Prosperity	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
estates	estates	n2	estates	estate	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
dangerous	dangerous	j	dangerous	dangerous	0
Enemy	Enemy	n1	Enemy	enemy	0
unto	unto	p-acp	unto	unto	0
Piety	Piety	n1	Piety	piety	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
kept	kept	vvd	kept	keep	0
me	me	pno11	me	i	0
under	under	p-acp	under	under	0
with	with	p-acp	with	with	0
thy	thy	po21	thy	thy	0
Frowns	Frowns	vvz	Frowns	frown	0
and	and	cc	and	and	0
Cen	Cen	np1	Cen	Cen	0
∣	∣	sy	∣	∣	0
sures	sures	vvz	sures	sure	0
,	,	,	,	,	0
the	the	dt	the	the	0
Furnance	Furnance	n1	Furnance	furnance	0
of	of	pp-f	of	of	0
Affliction	Affliction	n1	Affliction	affliction	0
,	,	,	,	,	0
always	always	av	always	always	0
causing	causing	vvg	causing	cause	0
the	the	dt	the	the	0
Fire	Fire	n1	Fire	fire	0
of	of	pp-f	of	of	0
Piety	Piety	n1	Piety	piety	0
to	to	pc-acp	to	to	0
burn	burn	vvi	burn	burn	0
the	the	dt	the	the	0
brighter	brighter	jc	brighter	bright	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
the	the	dt	the	the	0
unkindness	unkindness	n1	unkindness	unkindness	0
of	of	pp-f	of	of	0
Friends	Friends	n2	Friends	friend	0
wound	wound	vvb	wound	wound	0
deep	deep	j-jn	deep	deep	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
than	than	zz	than	than	0
do	do	vdb	do	do	0
the	the	dt	the	the	0
Swords	Swords	n2	Swords	sword	0
of	of	pp-f	of	of	0
Enemies	Enemies	n2	Enemies	enemy	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
opposi	opposi	n1	opposi	opposi	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
Foe	Foe	n1	Foe	foe	0
could	could	vmd	could	can	0
,	,	,	,	,	0
so	so	av	so	so	0
no	no	dx	no	no	0
unkindness	unkindness	n1	unkindness	unkindness	0
of	of	pp-f	of	of	0
Friend	Friend	n1	Friend	friend	0
shall	shall	vmb	shall	shall	0
,	,	,	,	,	0
divorce	divorce	vvb	divorce	divorce	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
as	as	a-acp	as	as	0
unseparably	unseparably	av-j	unseparably	unseparable	0
devoted	devoted	vvn	devoted	devote	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Ruth	Ruth	n1	Ruth	ruth	0
was	was	vbds	was	be	0
unto	unto	p-acp	unto	unto	0
her	her	po31	her	her	0
Naomy	Naomy	n1	Naomy	naomy	0
;	;	;	;	;	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
do	do	vdb	do	do	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
more	more	n1	more	moor	0
also	also	av	also	also	0
,	,	,	,	,	0
if	if	cs	if	if	0
ought	ought	pi	ought	aught	0
but	but	p-acp	but	but	0
Death	Death	n1	Death	death	0
part	part	vvb	part	part	0
thee	thee	pno21	thee	thou	0
and	and	cc	and	and	0
me	me	pno11	me	i	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
immutably	immutably	av-j	immutably	immutable	0
,	,	,	,	,	1
