Men	Men	np1	Men	Men	0
,	,	,	,	,	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
and	and	cc	and	and	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Propound	Propound	vvi	Propound	propound	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
consideration	consideration	n1	consideration	consideration	0
this	this	d	this	this	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Discourse	Discourse	n1	Discourse	discourse	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
much-discussed	much-discussed	j	much-discussed	much-discussed	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Infant	Infant	n1	Infant	infant	0
Baptism	Baptism	n1	Baptism	baptism	0
,	,	,	,	,	0
not	not	xx	not	not	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
my	my	po11	my	my	0
self	self	n1	self	self	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
the	the	dt	the	the	0
point	point	n1	point	point	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
well	well	av	well	well	0
looked	looked	vvn	looked	look	0
into	into	p-acp	into	into	0
and	and	cc	and	and	0
further	further	av-j	further	further	0
scan	scan	vvi	scan	scan	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
therein	therein	av	therein	therein	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
more	more	av-dc	more	more	0
evi	evi	fw-la	evi	evi	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
Christs	Christs	npg1	Christs	Christ	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
owned	owned	vvd	owned	own	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
cleared	cleared	vvd	cleared	clear	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
his	his	png31	his	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
discove	discove	vvn	discove	discove	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
and	and	cc	and	and	0
thrown	thrown	vvn	thrown	throw	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
established	established	vvn	established	establish	0
in	in	p-acp	in	in	0
more	more	dc	more	more	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
quietness	quietness	n1	quietness	quietness	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
