Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
which	which	r-crq	which	which	0
sets	sets	vvz	sets	set	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
Diadem	Diadem	n1	Diadem	diadem	0
upon	upon	p-acp	upon	upon	0
great	great	j	great	great	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
and	and	cc	and	and	0
blood	blood	n1	blood	blood	0
Royall	Royall	j	Royal	royal	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Piety	Piety	n1	Piety	piety	0
and	and	cc	and	and	0
Charity	Charity	n1	Charity	charity	0
,	,	,	,	,	0
such	such	d	such	such	0
persons	persons	n2	persons	person	0
whose	whose	rg-crq	whose	who	0
hearts	hearts	n2	hearts	heart	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
seasoned	seasoned	vvn	seasoned	season	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
graces	graces	n2	graces	grace	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
hyer	hyer	jc	higher	high	0
bloud	bloud	n1	blood	blood	0
,	,	,	,	,	0
then	then	cs	then	than	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
born	born	vvn	born	bear	0
from	from	p-acp	from	from	0
Emperors	Emperors	n2	Emperor's	emperor	0
and	and	cc	and	and	0
great	great	j	great	great	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
born	born	vvn	born	bear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
born	born	vvn	born	bear	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
:	:	:	:	:	0
And	And	cc	And	and	0
Christ	Christ	np1	Christ	Christ	0
tells	tells	vvz	tells	tell	0
us	us	pno12	us	we	0
,	,	,	,	,	0
If	If	cs	If	if	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
born	born	vvn	born	bear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
that	that	cst	that	that	0
eternall	eternall	j	eternal	eternal	0
Royall	Royall	j	Royal	royal	0
seed	seed	n1	seed	seed	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
never	never	av-x	never	never	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
this	this	d	this	this	0
we	we	pns12	we	we	0
