Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
AMong	AMong	p-acp	AMong	among	0
all	all	d	all	all	0
the	the	dt	the	the	0
Creatures	Creatures	n2	Creatures	creature	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
(	(	(	(	(	0
Devils	Devils	n2	Devils	devil	0
only	only	av-j	only	only	0
excepted	excepted	vvn	excepted	except	0
)	)	)	)	)	0
Man	Man	n1	Man	man	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
apt	apt	j	apt	apt	0
and	and	cc	and	and	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
own	own	d	own	own	0
tormentor	tormentor	n1	tormentor	tormentor	0
;	;	;	;	;	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Scourges	Scourges	vvz	Scourges	scourge	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
lasheth	lasheth	vvz	lasheth	lash	0
and	and	cc	and	and	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
flicteth	flicteth	vvz	flicteth	flict	0
both	both	d	both	both	0
his	his	po31	his	his	0
Mind	Mind	n1	Mind	mind	0
and	and	cc	and	and	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
none	none	pix	none	none	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
so	so	av	so	so	0
cruel	cruel	j	cruel	cruel	0
and	and	cc	and	and	0
intolerable	intolerable	j	intolerable	intolerable	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
own	own	d	own	own	0
fears	fears	n2	fears	fear	0
.	.	.	.	.	1
The	The	dt	The	the	0
worse	worse	jc	worse	worse	0
the	the	dt	the	the	0
times	times	n2	times	time	0
are	are	vbr	are	be	0
like	like	j	like	like	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
need	need	vvb	need	need	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
hath	hath	vhz	hath	have	0
of	of	pp-f	of	of	0
succour	succour	n1	succour	succour	0
and	and	cc	and	and	0
encouragement	encouragement	n1	encouragement	encouragement	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
confirm	confirm	vvi	confirm	confirm	0
and	and	cc	and	and	0
forti	forti	fw-la	forti	forti	0
∣	∣	sy	∣	∣	0
fie	fie	uh	fie	fie	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
hard	hard	j	hard	hard	0
encounters	encounters	n2	encounters	encounter	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
worst	worst	js	worst	worst	0
prospect	prospect	n1	prospect	prospect	0
,	,	,	,	,	0
Fear	Fear	n1	Fear	fear	0
inflicts	inflicts	vvz	inflicts	inflict	0
the	the	dt	the	the	0
deepest	deepest	js-jn	deepest	deep	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
dangerous	dangerous	j	dangerous	dangerous	0
wounds	wounds	n2	wounds	wound	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
cutting	cutting	vvg	cutting	cut	0
the	the	dt	the	the	0
very	very	j	very	very	0
nerves	nerves	n2	nerves	nerve	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
passive	passive	j	passive	passive	0
fortitude	fortitude	n1	fortitude	fortitude	0
and	and	cc	and	and	0
bearing	bearing	vvg	bearing	bear	0
ability	ability	n1	ability	ability	0
.	.	.	.	.	1
The	The	dt	The	the	0
grief	grief	n1	grief	grief	0
we	we	pns12	we	we	0
suer	suer	j	sure	sure	0
from	from	p-acp	from	from	0
Evil	Evil	j-jn	Evil	evil	0
felt	felt	n1	felt	felt	0
,	,	,	,	,	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
light	light	j	light	light	0
and	and	cc	and	and	0
easie	easie	j	easy	easy	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
censed	censed	vvn	censed	cense	0
by	by	p-acp	by	by	0
Fear	Fear	n1	Fear	fear	0
;	;	;	;	;	0
Reason	Reason	n1	Reason	reason	0
would	would	vmd	would	will	0
do	do	vdi	do	do	0
much	much	av-d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
Religion	Religion	n1	Religion	religion	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
demulce	demulce	n1	demulce	demulce	0
and	and	cc	and	and	0
lenifie	lenifie	vvi	lenify	lenify	0
our	our	po12	our	our	0
sorrows	sorrows	n2	sorrows	sorrow	0
,	,	,	,	,	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
Fear	Fear	vvi	Fear	fear	0
betray	betray	vvi	betray	betray	0
the	the	dt	the	the	0
suc	suc	j	suc	suc	0
∣	∣	sy	∣	∣	0
cours	cours	n1	course	course	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
things	things	n2	things	thing	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
that	that	cst	that	that	0
this	this	d	this	this	0
prospecting	prospecting	vvg	prospecting	prospect	0
Creature	Creature	n1	Creature	creature	0
raiseth	raiseth	vvz	raiseth	raise	0
up	up	a-acp	up	up	0
