AS	AS	p-acp	AS	as	0
our	our	po12	our	our	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
more	more	dc	more	more	0
willingly	willingly	av-j	willingly	willing	0
go	go	vvi	go	go	0
to	to	p-acp	to	to	0
warfare	warfare	n1	warfare	warfare	0
/	/	/	/	/	0
and	and	cc	and	and	0
fyght	fyght	vvi	fight	fight	0
with	with	p-acp	with	with	0
greater	greater	jc	greater	great	0
cou	cou	vv2	cou	cou	0
∣	∣	sy	∣	∣	0
rage	rage	n1	rage	rage	0
agaynst	agaynst	p-acp	against	against	0
straungers	straungers	ng2	strangers	stranger	0
/	/	/	/	/	0
then	then	cs	then	than	0
agaynst	agaynst	p-acp	against	against	0
theyr	theyr	po32	their	their	0
countreymen	countreymen	n2	countrymen	countryman	0
:	:	:	:	:	0
so	so	av	so	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
thys	thys	d	this	this	0
spirituall	spirituall	j	spiritual	spiritual	0
warfare	warfare	n1	warfare	warfare	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
wyshed	wyshed	vvn	wished	wish	0
that	that	cst	that	that	0
thys	thys	d	this	this	0
contro	contro	n1	contro	contro	0
∣	∣	sy	∣	∣	0
uersy	uersy	n1	uersy	uersy	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Papystes	Papystes	njp2	Papists	papist	0
/	/	/	/	/	0
or	or	cc	or	or	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
(	(	(	(	(	0
if	if	cs	if	if	0
any	any	d	any	any	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
)	)	)	)	)	0
more	more	dc	more	more	0
pe	pe	fw-es	pe	pe	0
∣	∣	sy	∣	∣	0
stylent	stylent	j	stylent	stylent	0
and	and	cc	and	and	0
professed	professed	j-vvn	professed	profess	0
ennemyes	ennemyes	n2	enemies	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
church	church	n1	church	church	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
bene	bene	vbn	be	be	0
les	les	av-dc	less	less	0
griefe	griefe	n1	grief	grief	0
to	to	pc-acp	to	to	0
wryte	wryte	vvi	write	write	0
/	/	/	/	/	0
and	and	cc	and	and	0
more	more	dc	more	more	0
conuement	conuement	n1	conuement	conuement	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
very	very	j	very	very	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
ennemy	ennemy	n1	enemy	enemy	0
doth	doth	vdz	does	do	0
kyndle	kyndle	vvi	kindle	kindle	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
fyghting	fyghting	j-vvg	fighting	fight	0
/	/	/	/	/	0
and	and	cc	and	and	0
stirreth	stirreth	vvz	stirs	stir	0
vp	vp	a-acp	up	up	0
the	the	dt	the	the	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
preparing	preparing	vvg	preparing	prepare	0
the	the	dt	the	the	0
furniture	furniture	n1	furniture	furniture	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
warre	warre	n1	war	war	0
:	:	:	:	:	0
So	So	av	So	so	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
tell	tell	vvi	tell	tell	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
meth	meth	vvz	meth	m	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
/	/	/	/	/	0
that	that	cst	that	that	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
brother	brother	n1	brother	brother	0
staketh	staketh	vvz	staketh	stake	0
that	that	d	that	that	0
courage	courage	n1	courage	courage	0
/	/	/	/	/	0
and	and	cc	and	and	0
abateth	abateth	vvz	abateth	abate	0
that	that	d	that	that	0
carefulnes	carefulnes	n1	carefulness	carefulness	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
bestowed	bestowed	vvn	bestowed	bestow	0
in	in	p-acp	in	in	0
desence	desence	n1	desence	desence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
forsaken	forsaken	vvn	forsaken	forsake	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
mans	mans	ng1	men	man	0
cause	cause	n1	cause	cause	0
/	/	/	/	/	0
I	I	pns11	I	i	0
enforced	enforced	vvn	inforced	enforce	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
/	/	/	/	/	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
myght	myght	vmd	might	may	0
lay	lay	vvi	lay	lay	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
charge	charge	n1	charge	charge	0
/	/	/	/	/	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
certayne	certayne	j	certain	certain	0
conside	conside	n1-an	conside	conside	0
∣	∣	sy	∣	∣	0
rations	rations	j	rations	rations	0
so	so	av	so	so	0
ready	ready	j	ready	ready	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
bene	bene	vbn	be	be	0
to	to	pc-acp	to	to	0
publyshe	publyshe	vvi	publish	publish	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
/	/	/	/	/	0
he	he	pns31	he	he	0
myght	myght	vmd	might	may	0
more	more	av-dc	more	more	0
iustly	iustly	av-j	justly	just	0
condemne	condemne	vvi	condemn	condemn	0
me	me	pno11	me	i	0
/	/	/	/	/	0
if	if	cs	if	if	0
being	being	vbg	being	be	0
oppugned	oppugned	vvn	oppugned	oppugn	0
and	and	cc	and	and	0
slaundered	slaundered	vvn	slandered	slander	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
/	/	/	/	/	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
measure	measure	n1	measure	measure	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
dealte	dealte	vvd	dealt	deal	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
