To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	j-jn	Right	right	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Dr.	Dr.	n1	Dr.	dr.	0
Compton	Compton	np1	Compton	Compton	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
Dr.	Dr.	n1	Dr.	dr.	0
Barlow	Barlow	np1	Barlow	Barlow	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Lincoln	Lincoln	np1	Lincoln	Lincoln	0
,	,	,	,	,	0
Dr.	Dr.	n1	Dr.	dr.	0
Crofts	Crofts	np1	Crofts	Crofts	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Hereford	Hereford	np1	Hereford	Hereford	0
,	,	,	,	,	0
Dr.	Dr.	n1	Dr.	dr.	1
Rain	Rain	np1	Rain	Rain	0
∣	∣	sy	∣	∣	0
bow	bow	n1	bow	bow	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Carlisle	Carlisle	np1	Carlisle	Carlisle	0
,	,	,	,	,	0
Dr.	Dr.	n1	Dr.	dr.	0
Tho	Tho	zz	Tho	tho	0
∣	∣	sy	∣	∣	0
mas	mas	n1	mass	mass	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
St.	St.	n1	St.	saint	0
Davids	Davids	np1	Davids	Davids	0
,	,	,	,	,	0
Dr.	Dr.	n1	Dr.	dr.	1
Lloyd	Lloyd	np1	Lloyd	Lloyd	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Peterbo	Peterbo	np1	Peterbo	Peterbo	0
∣	∣	sy	∣	∣	0
rough	rough	j	rough	rough	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
more	more	dc	more	more	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Moderation	Moderation	n1	Moderation	moderation	0
,	,	,	,	,	0
and	and	cc	and	and	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Common	Common	j	Common	common	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
Concord	Concord	n1	Concord	concord	0
.	.	.	.	.	1
