Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
Mercy	Mercy	n1	Mercy	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
be	be	vbb	be	be	0
multiplied	multiplied	vvn	multiplied	multiply	0
.	.	.	.	.	1
Dear	Dear	j-jn	Dear	dear	0
hearts	hearts	n2	hearts	heart	0
;	;	;	;	;	0
MY	MY	po11	MY	my	0
design	design	n1	design	design	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
appearing	appearing	vvg	appearing	appear	0
once	once	a-acp	once	once	0
more	more	av-dc	more	more	0
in	in	p-acp	in	in	0
Print	Print	n1	Print	print	0
)	)	)	)	)	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
the	the	dt	the	the	0
captious	captious	j	captious	captious	0
Cri	Cri	np1	Cri	Cri	0
∣	∣	sy	∣	∣	0
tick	tick	n1	tick	tick	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
sullen	sullen	j	sullen	sullen	0
Cin	Cin	zz	Cin	cin	0
∣	∣	sy	∣	∣	0
nick	nick	n1	neck	nick	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
heighten	heighten	vvi	heighten	heighten	0
your	your	po22	your	your	0
fellowship	fellowship	n1	fellowship	fellowship	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
1	1	crd	1	1	0
John	John	np1	John	John	0
1.	1.	crd	1.	1.	0
3	3	crd	3	3	0
,	,	,	,	,	1
4.	4.	crd	4.	4.	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
