Worcester	Worcester	np1	Worcester	Worcester	0
,	,	,	,	,	0
Apr.	Apr.	np1	Apr.	Apr.	0
7.	7.	crd	7.	7.	0
1697.	1697.	crd	1697.	1697.	1
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Papers	Papers	n2	Papers	paper	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
me	me	pno11	me	i	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
carefully	carefully	av-j	carefully	careful	0
perused	perused	vvn	perused	peruse	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
Hopes	Hopes	ng1	Hope's	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Blessing	Blessing	n1	Blessing	blessing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
allay	allay	vvi	allay	allay	0
those	those	d	those	those	0
unreasonable	unreasonable	j	unreasonable	unreasonable	0
Heats	Heats	n2	Heats	heat	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
Noise	Noise	n1	Noise	noise	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Point	Point	n1	Point	point	0
of	of	pp-f	of	of	0
Justification	Justification	n1	Justification	justification	0
:	:	:	:	:	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
told	told	vvn	told	tell	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
all	all	d	all	all	0
agree	agree	vvi	agree	agree	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
of	of	pp-f	of	of	0
Christ's	Christ's	npg1	Christ's	Christ	0
Satisfaction	Satisfaction	n1	Satisfaction	satisfaction	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Covenant	Covenant	n1	Covenant	covenant	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
founded	founded	vvn	founded	found	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
we	we	pns12	we	we	0
find	find	vvb	find	find	0
by	by	p-acp	by	by	0
too	too	av	too	too	0
common	common	j	common	common	0
Experience	Experience	n1	Experience	experience	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
possible	possible	j	possible	possible	0
for	for	p-acp	for	for	0
Men	Men	n2	Men	man	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
own	own	d	own	own	0
Mistakes	Mistakes	n2	Mistakes	mistake	0
to	to	pc-acp	to	to	0
grow	grow	vvi	grow	grow	0
as	as	p-acp	as	as	0
warm	warm	j	warm	warm	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Mat	Mat	n1	Mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
disputing	disputing	vvg	disputing	dispute	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Jews	Jews	np2	Jews	Jew	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
St.	St.	n1	St.	saint	1
Paul	Paul	np1	Paul	Paul	0
did	did	vdd	did	do	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Romans	Romans	njp2	Roman	roman	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
such	such	d	such	such	0
Persons	Persons	n2	Persons	person	0
would	would	vmd	would	will	0
lay	lay	vvi	lay	lay	0
aside	aside	av	aside	aside	0
Prejudices	Prejudices	n2	Prejudices	prejudice	0
,	,	,	,	,	0
and	and	cc	and	and	0
Impartially	Impartially	av-j	Impartially	impartial	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Case	Case	n1	Case	case	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
far	far	av-j	far	far	0
better	better	vvi	better	better	0
understand	understand	vvi	understand	understand	0
this	this	d	this	this	0
Controversy	Controversy	n1	Controversy	controversy	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
so	so	av	so	so	0
hardly	hardly	av	hardly	hardly	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Brethren	Brethren	n2	Brothers	brethren	0
.	.	.	.	.	1
