Yours	Yours	png22	Yours	you	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
will	will	n1	will	will	0
,	,	,	,	,	0
again	again	av	again	again	0
your	your	po22	your	your	0
will	will	n1	will	will	0
;	;	;	;	;	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
time	time	n1	time	time	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
or	or	cc	or	or	0
sometimes	sometimes	av	sometime	sometime	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
pastimes	pastimes	n2	pastimes	pastime	0
.	.	.	.	.	1
IOHN	IOHN	np1	IOHN	John	0
TAYLOR	TAYLOR	np1	TAYLOR	Taylor	1
