BEinge	BEinge	vbg	Being	be	0
entred	entred	vvn	entered	enter	0
(	(	(	(	(	0
worshipfull	worshipfull	j	worshipful	worshipful	0
and	and	cc	and	and	0
my	my	po11	my	my	0
beeloued	beeloued	j-vvn	beeloued	beeloue	0
Cowsen	Cowsen	n1	Cowsen	cowsen	0
)	)	)	)	)	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
meditacion	meditacion	n1	meditation	meditation	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
rare	rare	j	rare	rare	0
gouernment	gouernment	n1	government	government	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
renowmed	renowmed	j-vvn	renowned	renown	0
Queene	Queene	n1	Queen	queen	0
Eliza	Eliza	np1	Eliza	Eliza	0
∣	∣	sy	∣	∣	0
beth	beth	zz	beth	beth	0
,	,	,	,	,	0
so	so	av	so	so	0
high	high	j	high	high	0
and	and	cc	and	and	0
so	so	av	so	so	0
aboundaunte	aboundaunte	vvb	aboundaunte	aboundaunte	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
admyration	admyration	n1	admiration	admiration	0
offered	offered	vvd	offered	offer	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
felt	felt	vvd	felt	feel	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sorte	sorte	n1	sort	sort	0
surprised	surprised	vvn	surprised	surprise	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
consi	consi	fw-la	consi	consi	0
∣	∣	sy	∣	∣	0
deration	deration	n1	deration	deration	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
solace	solace	n1	solace	solace	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
minde	minde	n1	mind	mind	0
)	)	)	)	)	0
I	I	pns11	I	i	0
yeelded	yeelded	vvd	yielded	yield	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
a	a	dt	a	a	0
ioyfull	ioyfull	j	joyful	joyful	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
downe	downe	a-acp	down	down	0
in	in	p-acp	in	in	0
wry	wry	j	wry	wry	0
∣	∣	sy	∣	∣	0
tynge	tynge	n1	ting	ting	0
some	some	d	some	some	0
suprfitiall	suprfitiall	j	suprfitiall	suprfitiall	0
discourse	discourse	n1	discourse	discourse	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
within	within	p-acp	within	within	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
soule	soule	n1	soul	soul	0
)	)	)	)	)	0
might	might	vmd	might	may	0
styre	styre	vvi	stir	stir	0
vp	vp	a-acp	up	up	0
and	and	cc	and	and	0
procure	procure	vvi	procure	procure	0
the	the	dt	the	the	0
prayses	prayses	n2	praises	praise	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
draw	draw	vvi	draw	draw	0
forwards	forwards	av-j	forward	forward	0
a	a	dt	a	a	0
dewe	dewe	n1	dew	dew	0
thankfulnes	thankfulnes	n1	thankfulness	thankfulness	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
maiesty	maiesty	n1	majesty	majesty	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
wonderfull	wonderfull	j	wonderful	wonderful	0
benefites	benefites	n2	benefits	benefit	0
that	that	cst	that	that	0
largely	largely	av-j	largely	large	0
(	(	(	(	(	0
thereby	thereby	av	thereby	thereby	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
accrewed	accrewed	vvn	accrued	accrue	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
euery	euery	d	every	every	0
particuler	particuler	j	particular	particular	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
Englishe	Englishe	jp	English	english	0
Nacion	Nacion	n1	Nation	nation	0
.	.	.	.	.	1
And	And	cc	And	and	0
loe	loe	uh	lo	lo	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
accomplished	accomplished	vvn	accomplished	accomplish	0
this	this	d	this	this	0
mocion	mocion	n1	motion	motion	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sorte	sorte	n1	sort	sort	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
it	it	pn31	it	it	0
