To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
Charles	Charles	np1	Charles	Charles	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Maclesfield	Maclesfield	np1	Maclesfield	Maclesfield	0
,	,	,	,	,	0
Vis	Vis	fw-fr	Vis	vis	0
∣	∣	sy	∣	∣	0
count	count	n1	count	count	0
and	and	cc	and	and	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Bran	Bran	n1	Bran	bran	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
President	President	n1	President	precedent	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prin	Prin	n1	Prin	prin	0
∣	∣	sy	∣	∣	0
cipality	cipality	n1	cipality	cipality	0
of	of	pp-f	of	of	0
Wales	Wales	n2	Wales	wale	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Gloucester	Gloucester	np1	Gloucester	Gloucester	0
,	,	,	,	,	0
Hereford	Hereford	np1	Hereford	Hereford	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mon	Mon	fw-fr	Mon	mon	0
∣	∣	sy	∣	∣	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
;	;	;	;	;	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Their	Their	po32	Their	their	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesties	jesties	ng1	jesties	jesties	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Pri	Pri	zz	Pri	pri	0
∣	∣	sy	∣	∣	0
vy	vy	zz	vy	vy	0
Council	Council	n1	Council	council	0
.	.	.	.	.	1
