HONOVRED	HONOVRED	j-vvn	HONOURED	honour	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
THose	THose	d	THose	those	0
many	many	d	many	many	0
,	,	,	,	,	0
great	great	j	great	great	0
,	,	,	,	,	0
dai	dai	n1	day	day	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
fauours	fauours	n2	favours	favour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
euer	euer	av	ever	ever	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Honourable	Honourable	j	Honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
&	&	cc	&	and	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Montgomeries	Montgomeries	npg1	Montgomeries	montgomeries	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
parts	parts	n2	parts	part	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
professe	professe	vvb	profess	profess	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
my	my	po11	my	my	0
chiefest	chiefest	js-jn	chiefest	chief	0
incouragement	incouragement	n1	encouragement	encouragement	0
of	of	pp-f	of	of	0
continuing	continuing	vvg	continuing	continue	0
like	like	av-j	like	like	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
both	both	av-d	both	both	0
at	at	p-acp	at	at	0
Ahabs	Ahabs	npg1	Ahabs	ahabs	0
gate	gate	n1	gate	gate	0
)	)	)	)	)	0
and	and	cc	and	and	0
the	the	dt	the	the	0
pious	pious	j	pious	pious	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
acti	acti	fw-la	acti	acti	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
;	;	;	;	;	0
such	such	d	such	such	0
daily	daily	j	daily	daily	0
,	,	,	,	,	0
priuate	priuate	j	private	private	0
,	,	,	,	,	0
and	and	cc	and	and	0
publique	publique	j	public	public	0
praiers	praiers	n2	prayers	prayer	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
house	house	n1	house	house	0
,	,	,	,	,	0
that	that	cst	that	that	0
meales	meales	n2	meals	meal	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
frequent	frequent	j	frequent	frequent	0
then	then	cs	then	than	0
praiers	praiers	n2	prayers	prayer	0
,	,	,	,	,	0
such	such	d	such	such	0
care	care	n1	care	care	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
prouide	prouide	vvi	provide	provide	0
spirituall	spirituall	j	spiritual	spiritual	0
food	food	n1	food	food	0
,	,	,	,	,	0
the	the	dt	the	the	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
hungry	hungry	j	hungry	hungry	0
and	and	cc	and	and	0
thirsting	thirsting	j-vvg	thirsting	thirst	0
Christians	Christians	np1	Christians	Christians	0
(	(	(	(	(	0
that	that	cst	that	that	0
doe	doe	vdb	do	do	0
gape	gape	vvi	gape	gape	0
and	and	cc	and	and	0
long	long	av-j	long	long	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
drie	drie	j	dry	dry	0
ground	ground	n1	ground	ground	0
doth	doth	vdz	does	do	0
for	for	p-acp	for	for	0
raine	raine	vvi	rain	rain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
drought	drought	n1	drought	drought	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Parish	Parish	n1	Parish	parish	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
Market	Market	n1	Market	market	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Lhan	Lhan	np1	Lhan	Lhan	0
Rwste	Rwste	vvz	Rwste	rwste	0
,	,	,	,	,	0
euery	euery	d	every	every	0
se	se	fw-la	se	se	0
∣	∣	sy	∣	∣	0
cond	cond	zz	cond	cond	0
market	market	n1	market	market	0
day	day	n1	day	day	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
continuall	continuall	j	continual	continual	0
example	example	n1	example	example	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
comming	comming	vvg	coming	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
neuer	neuer	av-x	never	never	0
missing	missing	vvg	missing	miss	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
(	(	(	(	(	0
while	while	cs	while	while	0
your	your	po22	your	your	0
health	health	n1	health	health	0
permits	permits	vvz	permits	permit	0
you	you	pn22	you	you	0
)	)	)	)	)	0
and	and	cc	and	and	0
calling	calling	vvg	calling	call	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hearken	hearken	vvi	harken	hearken	0
vnto	vnto	p-acp	unto	unto	0
that	that	d	that	that	0
diuine	diuine	j-jn	divine	divine	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ercise	ercise	n1	ercise	ercise	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
then	then	av	then	then	0
such	such	d	such	such	0
kinde	kinde	n1	kind	kind	0
and	and	cc	and	and	0
louing	louing	j-vvg	loving	love	0
enter	enter	vvb	enter	enter	0
∣	∣	sy	∣	∣	0
tainment	tainment	n1	tainment	tainment	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
Prophets	Prophets	n2	Prophets	prophet	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
phets	phets	ng1	phets	phets	0
children	children	n2	children	child	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
table	table	n1	table	table	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
conuiuium	conuiuium	fw-la	conuiuium	conuiuium	0
theologicum	theologicum	fw-la	theologicum	theologicum	0
:	:	:	:	:	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
commonly	commonly	av-j	commonly	common	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
Iurie	Iurie	n1	Jury	jury	0
of	of	pp-f	of	of	0
Ministers	Ministers	n2	Ministers	minister	0
vpon	vpon	p-acp	upon	upon	0
any	any	d	any	any	0
controuersiall	controuersiall	j	controversial	controversial	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Diuinity	Diuinity	n1	Divinity	divinity	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
in	in	p-acp	in	in	0
Wales	Wales	n2	Wales	wale	0
none	none	pix	none	none	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
few	few	d	few	few	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
like	like	j	like	like	0
:	:	:	:	:	0
and	and	cc	and	and	0
such	such	d	such	such	0
a	a	dt	a	a	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
all	all	d	all	all	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
ignorant	ignorant	j	ignorant	ignorant	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
coun	coun	vvi	con	con	0
∣	∣	sy	∣	∣	0
trey	trey	n1	trey	trey	0
instructed	instructed	vvn	instructed	instruct	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Catechisme	Catechisme	n1	Catechism	catechism	0
and	and	cc	and	and	0
principles	principles	n2	principles	principle	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
more	more	dc	more	more	0
such	such	d	such	such	0
like	like	j	like	like	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
And	And	cc	And	and	0
likewise	likewise	av	likewise	likewise	0
the	the	dt	the	the	0
worthie	worthie	j	worthy	worthy	0
seruice	seruice	n1	service	service	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
great	great	j	great	great	0
good	good	j	good	good	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
recon	recon	n1	recon	recon	0
∣	∣	sy	∣	∣	0
ciling	ciling	n-vvg	ciling	cil	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
variances	variances	n2	variances	variance	0
,	,	,	,	,	0
the	the	dt	the	the	0
punishing	punishing	n-vvg	punishing	punish	0
of	of	pp-f	of	of	0
lewd	lewd	j	lewd	lewd	0
offendors	offendors	n2	offenders	offender	0
,	,	,	,	,	0
maintaining	maintaining	vvg	maintaining	maintain	0
the	the	dt	the	the	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lique	lique	n1	lique	lique	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
tranquillity	tranquillity	n1	tranquillity	tranquillity	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
the	the	dt	the	the	0
releeuing	releeuing	vvg	relieving	relieve	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
poore	poore	j	poor	poor	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
both	both	av-d	both	both	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
doores	doores	n2	doors	door	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
purse	purse	n1	purse	purse	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
so	so	av	so	so	0
many	many	d	many	many	0
praiers	praiers	n2	prayers	prayer	0
and	and	cc	and	and	0
intercessors	intercessors	n2	intercessors	intercessor	0
:	:	:	:	:	0
&	&	cc	&	and	0
impossibile	impossibile	fw-la	impossibile	impossibile	0
est	est	fw-la	est	est	0
multorum	multorum	fw-la	multorum	multorum	0
preces	preces	fw-la	preces	preces	0
non	non	fw-la	non	non	0
exaudiri	exaudiri	fw-la	exaudiri	exaudiri	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
S.	S.	np1	S.	S.	0
Chrysostome	Chrysostome	np1	Chrysostome	Chrysostome	0
speaketh	speaketh	vvz	speaks	speak	0
.	.	.	.	.	0
)	)	)	)	)	1
I	I	pns11	I	i	0
say	say	vvb	say	say	0
these	these	d	these	these	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
like	like	j	like	like	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
iustly	iustly	av-j	justly	just	0
speake	speake	vvi	speak	speak	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
would	would	vmd	would	will	0
proue	proue	vvi	prove	prove	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
thankfull	thankfull	j	thankful	thankful	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnworthy	vnworthy	j	unworthy	unworthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
vnmindfull	vnmindfull	j	unmindful	unmindful	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
