EMonge	EMonge	p-acp	Among	among	0
the	the	dt	the	the	0
sundrye	sundrye	j	sundry	sundry	0
and	and	cc	and	and	0
manifolde	manifolde	j	manifold	manifold	0
benifittes	benifittes	n2	benifittes	benifitte	0
,	,	,	,	,	0
whi	whi	q-crq	whi	why	0
∣	∣	sy	∣	∣	0
che	che	pns11	i	i	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
tender	tender	j	tender	tender	0
child	child	n1	child	child	0
∣	∣	sy	∣	∣	0
hod	hod	n1	hod	hod	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
foūde	foūde	vvn	found	find	0
in	in	p-acp	in	in	0
yow	yow	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
receaued	receaued	vvd	received	receive	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
han	han	n1	han	han	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
especiall	especiall	j	especial	especial	0
good	good	j	good	good	0
brother	brother	n1	brother	brother	0
)	)	)	)	)	0
thys	thys	d	this	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
leaste	leaste	n1	jest	jest	0
:	:	:	:	:	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
haue	haue	vhb	have	have	0
now	now	av	now	now	0
af	af	pp-f	of	of	0
la	la	uh	la	la	0
¦	¦	sy	¦	¦	0
te	te	fw-la	te	te	0
dayes	dayes	ng2	days	day	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
zeale	zeale	n1	zeal	zeal	0
ye	ye	pn22	you	you	0
beare	beare	vvb	bear	bear	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
worde	worde	n1	word	word	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
tymes	tymes	n2	times	time	0
hath	hath	vhz	hath	have	0
byn	byn	vbn	been	be	0
moste	moste	av-ds	most	most	0
feruent	feruent	j	fervent	fervent	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
)	)	)	)	)	0
caused	caused	vvd	caused	cause	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sent	sent	vvn	sent	send	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
in	in	p-acp	in	in	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
a	a	dt	a	a	0
regiō	regiō	n1	region	region	0
whe	whe	c-crq	when	when	0
∣	∣	sy	∣	∣	0
re	re	zz	re	re	0
as	as	p-acp	as	as	0
florissheth	florissheth	vvz	flourisheth	flourish	0
Gods	Gods	npg1	Gods	God	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
all	all	d	all	all	0
good	good	j	good	good	0
letters	letters	n2	letters	letter	0
bothe	bothe	d	both	both	0
holye	holye	j	holy	holy	0
and	and	cc	and	and	0
prophane	prophane	j	profane	profane	0
,	,	,	,	,	0
all	all	d	all	all	0
honestie	honestie	n1	honesty	honesty	0
,	,	,	,	,	0
&	&	cc	&	and	0
puritie	puritie	n1	purity	purity	0
of	of	pp-f	of	of	0
lyfe	lyfe	n1	life	life	0
,	,	,	,	,	0
&	&	cc	&	and	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
artes	artes	n2	arts	art	0
and	and	cc	and	and	0
sciences	sciences	n2	sciences	science	0
moste	moste	av-ds	most	most	0
cunning	cunning	j-jn	cunning	cunning	0
and	and	cc	and	and	0
experte	experte	j	expert	expert	0
:	:	:	:	:	0
