BRethren	BRethren	ng1	BRethren	brethren	0
and	and	cc	and	and	0
Beloved	Beloved	j-vvn	Beloved	belove	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
preached	preached	vvn	preached	preach	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
even	even	av	even	even	0
so	so	av	so	so	0
was	was	vbds	was	be	0
their	their	po32	their	their	0
Publication	Publication	n1	Publication	publication	0
earnestly	earnestly	av-j	earnestly	earnest	0
sollicited	sollicited	vvn	solicited	solicit	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
whose	whose	rg-crq	whose	who	0
request	request	n1	request	request	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
yeelded	yeelded	vvn	yielded	yield	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
signed	signed	vvn	signed	sign	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Preaching	Preaching	vvg	Preaching	preach	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
inten	inten	j	inten	inten	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
done	done	vdn	done	do	0
long	long	av-j	long	long	0
since	since	c-acp	since	since	0
that	that	d	that	that	0
task	task	n1	task	task	0
was	was	vbds	was	be	0
finished	finished	vvn	finished	finish	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
remembring	remembring	vvg	remembering	remember	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
a	a	dt	a	a	0
Debtor	Debtor	n1	Debtor	debtor	0
to	to	p-acp	to	to	0
Jew	Jew	np1	Jew	Jew	0
and	and	cc	and	and	0
Gentile	Gentile	j	Gentile	gentle	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
also	also	av	also	also	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
means	means	n2	means	mean	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
every	every	d	every	every	0
means	means	n2	means	mean	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
endeavour	endeavour	vvi	endeavour	endeavour	0
your	your	po22	your	your	0
furtherance	furtherance	n1	furtherance	furtherance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
I	I	pns11	I	i	0
judged	judged	vvd	judged	judge	0
my	my	po11	my	my	0
self	self	n1	self	self	0
obliged	obliged	vvn	obliged	oblige	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
Print	Print	n1	Print	print	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
gave	gave	vvd	gave	give	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
Preach	Preach	vvb	Preach	preach	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
:	:	:	:	:	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
safely	safely	av-j	safely	safe	0
say	say	vvi	say	say	0
,	,	,	,	,	0
so	so	av	so	so	0
near	near	av-j	near	near	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
,	,	,	,	,	0
your	your	po22	your	your	0
Eys	Eys	n2	Eyes	eye	0
now	now	av	now	now	0
have	have	vhb	have	have	0
only	only	j	only	only	0
what	what	q-crq	what	what	0
once	once	c-acp	once	once	0
your	your	po22	your	your	0
Ears	Ears	n2	Ears	ear	0
heard	heard	vvn	herd	hear	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
Belo	Belo	np1	Belo	Belo	0
∣	∣	sy	∣	∣	0
ved	ved	n-vvn	ved	ve	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
importunity	importunity	n1	importunity	importunity	0
prevailed	prevailed	vvd	prevailed	prevail	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
undertake	undertake	vvi	undertake	undertake	0
this	this	d	this	this	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
know	know	vvb	know	know	0
two	two	crd	two	two	0
Arguments	Arguments	n2	Arguments	argument	0
prevailed	prevailed	vvn	prevailed	prevail	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
Answer	Answer	vvi	Answer	answer	0
your	your	po22	your	your	0
Request	Request	n1	Request	request	0
;	;	;	;	;	0
The	The	dt	The	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
My	My	po11	My	my	0
Love	Love	n1	Love	love	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
;	;	;	;	;	0
the	the	dt	the	the	0
