MADAME	MADAME	n1	MADAME	madam	0
,	,	,	,	,	0
AFter	AFter	p-acp	AFter	after	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
writ	writ	vvn	writ	write	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
these	these	d	these	these	0
lines	lines	n2	lines	line	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
well	well	av	well	well	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
them	them	pno32	them	they	0
)	)	)	)	)	0
I	I	pns11	I	i	0
long	long	vvb	long	long	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
coursed	coursed	vvd	coursed	course	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
to	to	p-acp	to	to	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
present	present	vvi	present	present	0
them	them	pno32	them	they	0
:	:	:	:	:	0
At	At	p-acp	At	at	0
length	length	n1	length	length	0
I	I	pns11	I	i	0
bethought	bethought	vvd	bethought	bethink	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
deemed	deemed	vvd	deemed	deem	0
very	very	av	very	very	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
bold	bold	j	bold	bold	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
them	them	pno32	them	they	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
If	If	cs	If	if	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
further	further	av-j	further	further	0
your	your	po22	your	your	0
knowledge	knowledge	n1	knowledge	knowledge	0
or	or	cc	or	or	0
deuotion	deuotion	n1	devotion	devotion	0
in	in	p-acp	in	in	0
true	true	j	true	true	0
Christia	Christia	njp	Christian	christian	0
∣	∣	sy	∣	∣	0
nisme	nisme	n1	nisme	nisme	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shal	shal	vmb	shall	shall	0
reioice	reioice	vvi	rejoice	rejoice	0
.	.	.	.	.	1
I	I	pns11	I	i	0
