ONce	ONce	a-acp	ONce	once	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
exposed	exposed	vvd	exposed	expose	0
a	a	dt	a	a	0
former	former	j	former	former	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
relations	relations	n2	relations	relation	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
rather	rather	av-c	rather	rather	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
letten	letten	vvn	let	let	0
that	that	cst	that	that	0
go	go	vvb	go	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
gotten	gotten	vvn	got	get	0
out	out	av	out	out	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
light	light	n1	light	light	0
;	;	;	;	;	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
adding	adding	vvg	adding	add	0
more	more	av-dc	more	more	0
fuell	fuell	n1	fuel	fuel	0
to	to	pc-acp	to	to	0
warme	warme	vvi	warm	warm	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
any	any	d	any	any	0
longer	longer	av-jc	longer	long	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
censures	censures	n2	censures	censure	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
kindling	kindling	vvg	kindling	kindle	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
leisure	leisure	n1	leisure	leisure	0
and	and	cc	and	and	0
a	a	dt	a	a	0
long	long	j	long	long	0
winter	winter	n1	winter	winter	0
,	,	,	,	,	0
joyn'd	joyn'd	vvn	joined	join	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
incentives	incentives	n2-jn	incentives	incentive	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
light	light	vvi	light	light	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
this	this	d	this	this	0
end	end	n1	end	end	0
too	too	av	too	too	0
;	;	;	;	;	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
to	to	pc-acp	to	to	0
wast	wast	vvi	wast	waste	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
and	and	cc	and	and	0
burne	burne	vvi	burn	burn	0
day-light	day-light	n1	daylight	daylight	0
,	,	,	,	,	0
being	being	vbg	being	be	0
only	only	av-j	only	only	0
a	a	dt	a	a	0
divulger	divulger	n1	divulger	divulger	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
before	before	a-acp	before	before	0
publick	publick	j	public	public	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
languages	languages	n2	languages	language	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
,	,	,	,	,	0
my	my	po11	my	my	0
only	only	j	only	only	0
wis	wis	vvb	wis	wis	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
hid	hid	vvn	hid	hide	0
∣	∣	sy	∣	∣	0
den	den	zz	den	den	0
my	my	po11	my	my	0
head	head	n1	head	head	0
in	in	p-acp	in	in	0
obscurity	obscurity	n1	obscurity	obscurity	0
,	,	,	,	,	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
left	left	vvd	left	leave	0
my	my	po11	my	my	0
body	body	n1	body	body	0
so	so	av	so	so	0
obnoxious	obnoxious	j	obnoxious	obnoxious	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
love	love	vvb	love	love	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
complement	complement	vvi	compliment	compliment	0
so	so	av	so	so	0
far	far	av-j	far	far	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
furnish	furnish	vvi	furnish	furnish	0
any	any	d	any	any	0
one	one	crd	one	one	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
reall	reall	j	real	real	0
argument	argument	n1	argument	argument	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
myselfe	myselfe	px11	myself	myself	0
.	.	.	.	.	1
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
thought	thought	vvn	thought	think	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
meerely	meerely	av-j	merely	mere	0
a	a	dt	a	a	0
Collectour	Collectour	n1	Collector	collector	0
out	out	av	out	out	0
