HAuing	HAuing	vhg	Having	have	0
resolued	resolued	vvn	resolved	resolve	0
what	what	r-crq	what	what	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
long	long	av-j	long	long	0
doubtfull	doubtfull	j	doubtful	doubtful	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
:	:	:	:	:	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
an	an	dt	and	a	0
vnfriend	vnfriend	n1	unfriend	unfriend	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
absurdity	absurdity	n1	absurdity	absurdity	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
intitled	intitled	vvd	entitled	entitle	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
second	second	ord	second	second	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
vniustly	vniustly	av-j	unjustly	unjust	0
haue	haue	vhi	have	have	0
challenged	challenged	vvn	challenged	challenge	0
the	the	dt	the	the	0
pa	pa	n1	pa	pa	0
∣	∣	sy	∣	∣	0
tronage	tronage	n1	tronage	tronage	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
first	first	ord	first	first	0
Labour	Labour	n1	Labour	labour	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
vntill	vntill	p-acp	until	until	0
this	this	d	this	this	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
had	had	vhn	had	have	0
no	no	dx	no	no	0
reason	reason	n1	reason	reason	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
dedication	dedication	n1	dedication	dedication	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
same	same	d	same	same	0
most	most	av-ds	most	most	0
fruitfull	fruitfull	j	fruitful	fruitful	0
Colledge	Colledge	n1	College	college	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
many	many	d	many	many	0
years	years	n2	years	year	0
knowne	knowne	vvn	known	know	0
vs	vs	pno12	us	we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
and	and	cc	and	and	0
friendship	friendship	n1	friendship	friendship	0
,	,	,	,	,	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
offices	offices	n2	offices	office	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
still	still	av	still	still	0
found	found	vvn	found	find	0
you	you	pn22	you	you	0
most	most	av-ds	most	most	0
insepara	insepara	fw-la	insepara	insepara	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
one	one	crd	one	one	0
with	with	p-acp	with	with	0
mee	mee	pno11	me	i	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
Worke	Worke	n1	Work	work	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
offer	offer	vvi	offer	offer	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
so	so	av	so	so	0
iustly	iustly	av-j	justly	just	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
name	name	n1	name	name	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
what	what	q-crq	what	what	0
euer	euer	av	ever	ever	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
spent	spent	j-vvn	spent	spend	0
time	time	n1	time	time	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
preserued	preserued	vvn	preserved	preserve	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
name	name	n1	name	name	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
whateuer	whateuer	r-crq	whatever	whatever	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
former	former	j	former	former	0
time	time	n1	time	time	0
,	,	,	,	,	0
being	being	vbg	being	be	0
vnhappi	vnhappi	fw-la	vnhappi	vnhappi	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
a	a	dt	a	a	0
