NExt	NExt	ord	NExt	next	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
infinite	infinite	j	infinite	infinite	0
mercie	mercie	n1	mercy	mercy	0
of	of	pp-f	of	of	0
almightie	almightie	j-jn	almighty	almighty	0
God	God	np1	God	God	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Soue	Soue	av	Soon	soon	0
∣	∣	sy	∣	∣	0
raigne	raigne	vvi	reign	reign	0
)	)	)	)	)	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
thanke	thanke	vvi	thank	thank	0
your	your	po22	your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
iestie	iestie	n1	iestie	iestie	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
liue	liue	vvb	live	live	0
,	,	,	,	,	0
not	not	xx	not	not	0
onelie	onelie	av-j	only	only	0
this	this	d	this	this	0
short	short	j	short	short	0
and	and	cc	and	and	0
transitorie	transitorie	j	transitory	transitory	0
life	life	n1	life	life	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
passage	passage	n1	passage	passage	0
vnto	vnto	p-acp	unto	unto	0
death	death	n1	death	death	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
die	die	vvi	die	die	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
for	for	p-acp	for	for	0
euermore	euermore	av	evermore	evermore	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
what	what	r-crq	what	what	0
other	other	j-jn	other	other	0
assurance	assurance	n1	assurance	assurance	0
haue	haue	vhb	have	have	0
we	we	pns12	we	we	0
of	of	pp-f	of	of	0
eternall	eternall	j	eternal	eternal	0
life	life	n1	life	life	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
die	die	vvi	die	die	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
true	true	j	true	true	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
whosoeuer	whosoeuer	r-crq	whosoever	whosoever	0
maketh	maketh	vvz	makes	make	0
wracke	wracke	n1	wrack	wrack	0
,	,	,	,	,	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
bee	bee	vbi	be	be	0
but	but	p-acp	but	but	0
hee	hee	pns31	he	he	0
must	must	vmb	must	must	0
perrish	perrish	vvi	perish	perish	0
euerlastinglie	euerlastinglie	av-j	everlastingly	everlasting	0
.	.	.	.	.	1
Howe	Howe	np1	Howe	Howe	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
serablie	serablie	av-j	serablie	serablie	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
tossed	tossed	vvn	tossed	toss	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
sourges	sourges	zz	sourges	sourges	0
of	of	pp-f	of	of	0
schismes	schismes	n2	schisms	schism	0
&	&	cc	&	and	0
deuisions	deuisions	n2	divisions	division	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
sore	sore	av-j	soar	sore	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
ouerwhelmed	ouerwhelmed	vvn	overwhelmed	overwhelm	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
waues	waues	n2	waves	wave	0
of	of	pp-f	of	of	0
heresies	heresies	n2	heresies	heresy	0
,	,	,	,	,	0
and	and	cc	and	and	0
ouerflowen	ouerflowen	vvn	overflown	overflow	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
floods	floods	n2	floods	flood	0
of	of	pp-f	of	of	0
Ido	Ido	np1	Ido	Ido	0
∣	∣	sy	∣	∣	0
latrie	latrie	n1	latrie	latrie	0
and	and	cc	and	and	0
superstition	superstition	n1	superstition	superstition	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
vnnaturallie	vnnaturallie	av-j	unnaturally	unnatural	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
carried	carried	vvn	carried	carry	0
away	away	av	away	away	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
dutifull	dutifull	j	dutiful	dutiful	0
allegeance	allegeance	n1	allegiance	allegiance	0
,	,	,	,	,	0
and	and	cc	and	and	0
