Men	Men	np1	Men	Men	0
,	,	,	,	,	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
much	much	av-d	much	much	0
stran	stran	vvd	stran	stran	0
∣	∣	sy	∣	∣	0
gers	gers	zz	gers	gers	0
,	,	,	,	,	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
person	person	n1	person	person	0
and	and	cc	and	and	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
gratious	gratious	j	gracious	gracious	0
hand-maid	hand-maid	n1	handmaid	handmaid	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
(	(	(	(	(	0
the	the	dt	the	the	0
subject	subject	n-jn	subject	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
treatise	treatise	n1	treatise	treatise	0
,	,	,	,	,	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ring	ring	vvi	ring	ring	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
sore	sore	j	soar	sore	0
bondage	bondage	n1	bondage	bondage	0
,	,	,	,	,	0
and	and	cc	and	and	0
captivity	captivity	n1	captivity	captivity	0
of	of	pp-f	of	of	0
Spirit	Spirit	n1	Spirit	spirit	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
share	share	n1	share	share	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
solemn	solemn	j	solemn	solemn	0
manner	manner	n1	manner	manner	0
(	(	(	(	(	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
presly	presly	av-j	presly	pres	0
on	on	p-acp	on	on	0
her	her	po31	her	her	0
account	account	n1	account	account	0
)	)	)	)	)	0
sympathized	sympathized	vvd	sympathized	sympathize	0
,	,	,	,	,	0
sighed	sighed	vvd	sighed	sigh	0
,	,	,	,	,	0
and	and	cc	and	and	0
groaned	groaned	vvd	groaned	groan	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
behalf	behalf	n1	behalf	behalf	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
now	now	av	now	now	0
through	through	p-acp	through	through	0
grace	grace	n1	grace	grace	0
(	(	(	(	(	0
we	we	pns12	we	we	0
trust	trust	vvb	trust	trust	0
,	,	,	,	,	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
souls	souls	n2	souls	soul	0
,	,	,	,	,	0
heard	heard	vvd	herd	hear	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
own	own	d	own	own	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Congregation	Congregation	n1	Congregation	congregation	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
belong	belong	vvb	belong	belong	0
,	,	,	,	,	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
at	at	p-acp	at	at	0
Dalwood	Dalwood	np1	Dalwood	Dalwood	0
in	in	p-acp	in	in	0
Dorset	Dorset	np1	Dorset	Dorset	0
)	)	)	)	)	0
the	the	dt	the	the	0
wonderful	wonderful	j	wondered	wonderful	0
deliverance	deliverance	n1	deliverance	deliverance	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
wrought	wrought	vvn	wrought	wrought	0
fr	fr	av	fr	fr	0
her	her	po31	her	her	0
poor	poor	j	poor	poor	0
soul	soul	n1	soul	soul	0
:	:	:	:	:	0
We	We	pns12	We	we	0
cannot	cannot	vmbx	cannot	can	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
special	special	j	special	special	0
manner	manner	n1	manner	manner	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
,	,	,	,	,	0
and	and	cc	and	and	0
blesse	blesse	vvb	bless	bless	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
High	High	j	High	high	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
unspeakable	unspeakable	j	unspeakable	unspeakable	0
mercy	mercy	n1	mercy	mercy	0
.	.	.	.	.	1
That	That	cst	That	that	0
this	this	d	this	this	0
work	work	n1	work	work	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
soul-work	soul-work	n1	soul-work	soul-work	0
indeed	indeed	av	indeed	indeed	0
;	;	;	;	;	0
it	it	pn31	it	it	0
speaks	speaks	vvz	speaks	speak	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
in	in	p-acp	in	in	0
heart	heart	n1	heart	heart	0
.	.	.	.	.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
Relation	Relation	n1	Relation	relation	0
is	is	vbz	is	be	0
very	very	av	very	very	0
faithfully	faithfully	av-j	faithfully	faithful	0
made	made	vvn	made	make	0
,	,	,	,	,	0
We	We	pns12	We	we	0
do	do	vdb	do	do	0
hereby	hereby	av	hereby	hereby	0
testify	testify	vvi	testify	testify	0
,	,	,	,	,	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
said	said	vvd	said	say	0
before	before	a-acp	before	before	0
)	)	)	)	)	0
heard	heard	vvd	herd	hear	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
own	own	d	own	own	0
mouth	mouth	n1	mouth	mouth	0
the	the	dt	the	the	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
