HAuing	HAuing	vhg	Having	have	0
Preached	Preached	vvn	Preached	preach	0
this	this	d	this	this	0
Sermō	Sermō	n1	Sermon	sermon	0
amon	amon	n1	amon	amon	0
∣	∣	sy	∣	∣	0
gest	gest	vvb	gest	gest	0
you	you	pn22	you	you	0
(	(	(	(	(	0
woorship	woorship	n1	worship	worship	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
Sirs	Sirs	np1	Sirs	Sirs	0
)	)	)	)	)	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
General	General	n1	General	general	0
wel	wel	av	well	well	0
liking	liking	vvg	liking	like	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
withall	withall	av	withal	withal	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
the	the	dt	the	the	0
copy	copy	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
I	I	pns11	I	i	0
chose	chose	vvd	chosen	choose	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Printer	Printer	np1	Printer	Printer	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
copy	copy	vvi	copy	copy	0
it	it	pn31	it	it	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
that	that	d	that	that	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
labour	labour	n1	labour	labour	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
easier	easier	jc	easier	easy	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
greater	greater	jc	greater	great	0
vnto	vnto	p-acp	unto	unto	0
more	more	n1	more	moor	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
not	not	xx	not	not	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
absolute	absolute	j	absolute	absolute	0
well	well	av	well	well	0
ly	ly	vvb	lie	lie	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
ther	ther	zz	ther	ther	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
simple	simple	j	simple	simple	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
cōsideration	cōsideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
therof	therof	av	thereof	thereof	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
necessary	necessary	j	necessary	necessary	0
:	:	:	:	:	0
containing	containing	vvg	containing	contain	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
appeareth	appeareth	vvz	appears	appear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dis	dis	fw-ge	dis	dis	0
∣	∣	sy	∣	∣	0
course	course	j	course	coarse	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
the	the	dt	the	the	0
woonderfull	woonderfull	j-vvn	wondered	wonder	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
uauncement	uauncement	n1	uauncement	uauncement	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
gratious	gratious	j	gracious	gracious	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
ueraigne	ueraigne	n-jn	ueraigne	ueraigne	0
Q.	Q.	np1	Q.	Q.	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
crowne	crowne	n1	crown	crown	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
bene	bene	vbn	be	be	0
∣	∣	sy	∣	∣	0
fite	fite	n1	fite	fite	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
all	all	d	all	all	0
:	:	:	:	:	0
that	that	cst	that	that	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
conside	conside	n1-an	conside	conside	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
therof	therof	av	thereof	thereof	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
stirred	stirred	vvn	stirred	stir	0
vp	vp	a-acp	up	up	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
dutifull	dutifull	j	dutiful	dutiful	0
thankful	thankful	j	thankful	thankful	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
her	her	pno31	her	she	0
:	:	:	:	:	0
the	the	dt	the	the	0
one	one	pi	one	one	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
first	first	ord	first	first	0
aduaunced	aduaunced	vvd	advanced	advance	0
her	her	pno31	her	she	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
and	and	cc	and	and	0
