NOr	NOr	ccx	NOr	nor	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
man	man	n1	man	man	0
to	to	p-acp	to	to	0
vvhose	vvhose	rg-crq	whose	who	0
vevv	vevv	n1	view	view	0
this	this	d	this	this	0
present	present	j	present	present	0
booke	booke	n1	book	book	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
need	need	vvi	need	need	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
it	it	pn31	it	it	0
strange	strange	j	strange	strange	0
,	,	,	,	,	0
either	either	av-d	either	either	0
,	,	,	,	,	0
vvhy	vvhy	c-crq	why	why	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
borrovved	borrovved	vvn	borrowed	borrow	0
an	an	dt	and	a	0
English	English	jp	English	english	0
habitt	habitt	n1	habit	habit	0
,	,	,	,	,	0
or	or	cc	or	or	0
shrovvded	shrovvded	vvn	shrouded	shroud	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
vnder	vnder	p-acp	under	under	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
protection	protection	n1	protection	protection	0
:	:	:	:	:	0
since	since	c-acp	since	since	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
side	side	n1	side	side	0
it	it	pn31	it	it	0
represents	represents	vvz	represents	represent	0
vnto	vnto	p-acp	unto	unto	0
You	You	pn22	You	you	0
that	that	d	that	that	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
Armes	Armes	n2	Arms	arm	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
hath	hath	vhz	hath	have	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
bene	bene	vbn	be	be	0
practised	practised	vvn	practised	practise	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
schoole	schoole	n1	school	school	0
of	of	pp-f	of	of	0
vvarre	vvarre	n1	war	war	0
,	,	,	,	,	0
the	the	dt	the	the	0
Vnited	Vnited	vvn	United	unite	0
Provinces	Provinces	n2	Provinces	province	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Captayne	Captayne	n1	Captain	captain	0
vvhose	vvhose	rg-crq	whose	who	0
vvorth	vvorth	j	worth	worth	0
(	(	(	(	(	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
)	)	)	)	)	0
not	not	xx	not	not	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vvorld	vvorld	n1	world	world	0
is	is	vbz	is	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
vvhich	vvhich	r-crq	which	which	0
vvarre	vvarre	n1	war	war	0
the	the	dt	the	the	0
valure	valure	n1	valour	valour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
and	and	cc	and	and	0
Schottish	Schottish	jp	Schottish	schottish	0
nations	nations	n2	nations	nation	0
(	(	(	(	(	0
novv	novv	av	now	now	0
Brittaynes	Brittaynes	vvz	Brittaynes	brittayne	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
speciall	speciall	j	special	special	0
marke	marke	n1	mark	mark	0
and	and	cc	and	and	0
no	no	av-dx	no	no	0
∣	∣	sy	∣	∣	0
te	te	fw-la	te	te	0
,	,	,	,	,	0
that	that	cst	that	that	0
