AMongest	AMongest	p-acp	Amongst	amongst	0
the	the	dt	the	the	0
manifold	manifold	j	manifold	manifold	0
calamities	calamities	n2	calamities	calamity	0
and	and	cc	and	and	0
griefes	griefes	n2	griefs	grief	0
of	of	pp-f	of	of	0
hart	hart	n1	heart	hart	0
that	that	cst	that	that	0
fall	fall	vvb	fallen	fall	0
vppon	vppon	p-acp	upon	upon	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
old	old	j	old	old	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
and	and	cc	and	and	0
welbeloued	welbeloued	j	well-beloved	well-beloved	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
this	this	d	this	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
is	is	vbz	is	be	0
daily	daily	av-j	daily	daily	0
bro	bro	fw-ge	bro	bro	0
∣	∣	sy	∣	∣	0
ken	ken	vvb	ken	ken	0
in	in	p-acp	in	in	0
peeces	peeces	n2	pieces	piece	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
chalenge	chalenge	vvi	challenge	challenge	0
to	to	p-acp	to	to	0
themselues	themselues	px32	themselves	themselves	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churche	Churche	n1	Church	church	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
crie	crie	n1	cry	cry	0
as	as	a-acp	as	as	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
Ier.	Ier.	np1	Ier.	Ier.	1
7	7	crd	7	7	0
,	,	,	,	,	0
4.	4.	crd	4.	4.	1
The	The	dt	The	the	0
Temple	Temple	n1	Temple	temple	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
me	me	pno11	me	i	0
,	,	,	,	,	0
be	be	vbb	be	be	0
as	as	c-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
sayeth	sayeth	vvz	sayeth	say	0
,	,	,	,	,	0
The	The	dt	The	the	0
congregation	congregation	n1	congregation	congregation	0
of	of	pp-f	of	of	0
Sathan	Sathan	np1	Sathan	Satan	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
dispise	dispise	vvb	despise	despise	0
Rulers	Rulers	n2	Rulers	ruler	0
,	,	,	,	,	0
Reue.	Reue.	np1	Reue.	Reue.	1
2.9	2.9	crd	2.9	2.9	0
.	.	.	.	.	1
Iude.	Iude.	np1	Iude.	Jude	0
5.8	5.8	crd	5.8	5.8	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Tim.	Tim.	np1	Tim.	Tim.	0
1.4	1.4	crd	1.4	1.4	0
.	.	.	.	.	0
and	and	cc	and	and	0
speake	speake	vvb	speak	speak	0
euill	euill	j-jn	evil	evil	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
aucthority	aucthority	n1	authority	authority	0
.	.	.	.	.	1
They	They	pns32	They	they	0
de	de	fw-mi	de	de	0
∣	∣	sy	∣	∣	0
light	light	n1	light	light	0
in	in	p-acp	in	in	0
questions	questions	n2	questions	question	0
and	and	cc	and	and	0
endles	endles	j	endless	endless	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
alogies	alogies	n2	alogies	alogy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
gender	gender	n1	gender	gender	0
strife	strife	n1	strife	strife	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
Godly	Godly	j	Godly	godly	0
edyfying	edyfying	j-vvg	edifying	edify	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Faith	Faith	n1	Faith	faith	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
men	men	n2	men	man	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
trouble	trouble	vvb	trouble	trouble	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Schismes	Schismes	n2	Schisms	schism	0
:	:	:	:	:	0
so	so	av	so	so	0
doe	doe	vdb	do	do	0
they	they	pns32	they	they	0
also	also	av	also	also	0
disquiete	disquiete	vvi	disquiet	disquiet	0
,	,	,	,	,	0
the	the	dt	the	the	0
consciences	consciences	n2	consciences	conscience	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
good	good	j	good	good	0
Soules	Soules	n2	Souls	soul	0
by	by	p-acp	by	by	0
making	making	vvg	making	make	0
doubts	doubts	n2	doubts	doubt	0
and	and	cc	and	and	0
ambiguities	ambiguities	n2	ambiguities	ambiguity	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
most	most	av-ds	most	most	0
plaine	plaine	j	plain	plain	0
and	and	cc	and	and	0
easie	easie	j	easy	easy	0
.	.	.	.	.	1
They	They	pns32	They	they	0
draw	draw	vvb	draw	draw	0
so	so	av	so	so	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
frō	frō	p-acp	from	from	0
obedience	obedience	n1	obedience	obedience	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Godly	Godly	j	Godly	godly	0
Magistrate	Magistrate	n1	Magistrate	magistrate	0
,	,	,	,	,	0
denouncing	denouncing	vvg	denouncing	denounce	0
all	all	d	all	all	0
those	those	d	those	those	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
execrable	execrable	j	execrable	execrable	0
,	,	,	,	,	0
cursed	cursed	j-vvn	cursed	curse	0
and	and	cc	and	and	0
ab	ab	zz	ab	ab	0
∣	∣	sy	∣	∣	0
hominable	hominable	j	hominable	hominable	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
bee	bee	vbb	be	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
faction	faction	n1	faction	faction	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
growen	growen	vvn	grown	grow	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
grosnesse	grosnesse	n1	grossness	grossness	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
Puritie	Puritie	n1	Purity	purity	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
