WHat	WHat	q-crq	WHat	what	0
others	others	n2-jn	others	other	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
thority	thority	n1	thority	thority	0
,	,	,	,	,	0
Present	Present	j	Present	present	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
before	before	a-acp	before	before	0
yee	yee	pn22	ye	you	0
their	their	po32	their	their	0
advise	advise	n1	advice	advice	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
;	;	;	;	;	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
law	law	n1	law	law	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Iust	Iust	j	Just	just	0
authority	authority	n1	authority	authority	0
,	,	,	,	,	0
present	present	vvb	present	present	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
my	my	po11	my	my	0
advise	advise	n1	advice	advice	0
(	(	(	(	(	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
himself	himself	px31	himself	himself	0
advise	advise	vvi	advice	advise	0
and	and	cc	and	and	0
counsell	counsell	vvi	counsel	counsel	0
ye	ye	pn22	you	you	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
some	some	d	some	some	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
concern	concern	vvb	concern	concern	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
prosperity	prosperity	n1	prosperity	prosperity	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
dis	dis	fw-fr	dis	dis	0
∣	∣	sy	∣	∣	0
obedient	obedient	j	obedient	obedient	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
heavenly	heavenly	j	heavenly	heavenly	0
visi	visi	fw-la	visi	visi	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
.	.	.	.	.	1
Act.	Act.	n1	Act.	act	0
26.	26.	crd	26.	26.	0
19	19	crd	19	19	0
or	or	cc	or	or	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
revealed	revealed	vvd	revealed	reveal	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
