THis	THis	d	THis	this	0
Booke	Booke	n1	Book	book	0
faire	faire	av-j	fair	fair	0
written	written	vvn	written	write	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
gifte	gifte	n1	gift	gift	0
)	)	)	)	)	0
lately	lately	av-j	lately	late	0
sent	sent	vvd	sent	send	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
doo	doo	vdb	do	do	0
J	J	pns11	J	i	0
fayre	fayre	av-j	fair	fair	0
prin	prin	vvb	prin	prin	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
dedication	dedication	n1	dedication	dedication	0
)	)	)	)	)	0
now	now	av	now	now	0
sende	sende	vvi	send	send	0
and	and	cc	and	and	0
commend	commend	vvi	commend	commend	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
not	not	xx	not	not	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
place	place	n1	place	place	0
)	)	)	)	)	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
more	more	av-dc	more	more	0
fitly	fitly	av-j	fitly	fit	0
thus	thus	av	thus	thus	0
send	send	vvi	send	send	0
it	it	pn31	it	it	0
then	then	av	then	then	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
eyther	eyther	av-d	either	either	0
bred	bred	vvn	bred	breed	0
&	&	cc	&	and	0
wel	wel	av	well	well	0
brought	brought	vvd	brought	bring	0
vp	vp	a-acp	up	up	0
here	here	av	here	here	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
good	good	j	good	good	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
your	your	po22	your	your	0
own	own	d	own	own	0
good	good	j	good	good	0
proui	proui	fw-fr	proui	proui	0
∣	∣	sy	∣	∣	0
sion	sion	n1	sion	sion	0
,	,	,	,	,	0
are	are	vbr	are	be	0
well	well	av	well	well	0
setled	setled	vvn	settled	settle	0
here	here	av	here	here	0
:	:	:	:	:	0
and	and	cc	and	and	0
here	here	av	here	here	0
lawfullye	lawfullye	av-j	lawfully	lawful	0
possesse	possesse	vvi	possess	possess	0
,	,	,	,	,	0
or	or	cc	or	or	0
are	are	vbr	are	be	0
neere	neere	av-j	near	near	0
vnto	vnto	p-acp	unto	unto	0
sundrie	sundrie	j	sundry	sundry	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
things	things	n2	things	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
specially	specially	av-j	specially	special	0
speaketh	speaketh	vvz	speaks	speak	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
selfes	selfes	n2	selves	self	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
see	see	vvi	see	see	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
now	now	av	now	now	0
,	,	,	,	,	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
may	may	vmb	may	may	0
you	you	pn22	you	you	0
knowe	knowe	vvi	know	know	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
whome	whome	ro-crq	whom	who	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
long	long	av-j	long	long	0
agone	agone	av	ago	ago	0
.	.	.	.	.	1
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
not	not	xx	not	not	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
,	,	,	,	,	0
)	)	)	)	)	0
vnto	vnto	p-acp	unto	unto	0
whō	whō	ro-crq	whom	who	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
more	more	av-dc	more	more	0
fitly	fitly	av-j	fitly	fit	0
thus	thus	av	thus	thus	0
send	send	vvi	send	send	0
it	it	pn31	it	it	0
,	,	,	,	,	0
then	then	av	then	then	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
with	with	p-acp	with	with	0
whome	whome	ro-crq	whom	who	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
ben	ben	vbn	been	be	0
best	best	av-js	best	best	0
and	and	cc	and	and	0
longest	longest	js	longest	long	0
acquainted	acquainted	vvn	acquainted	acquaint	0
:	:	:	:	:	0
from	from	p-acp	from	from	0
whō	whō	ro-crq	whom	who	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
singular	singular	j	singular	singular	0
cour	cour	fw-fr	cour	cour	0
∣	∣	sy	∣	∣	0
tesie	tesie	np1-n	tesie	tesie	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
many	many	d	many	many	0
wayes	wayes	n2	ways	way	0
muche	muche	av-d	much	much	0
pleasured	pleasured	vvn	pleasured	pleasure	0
:	:	:	:	:	0
Toward	Toward	p-acp	Towards	towards	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
ge	ge	zz	ge	ge	0
∣	∣	sy	∣	∣	0
nerall	nerall	n1	nerall	nerall	0
coniunction	coniunction	n1	conjunction	conjunction	0
and	and	cc	and	and	0
association	association	n1	association	association	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
minds	minds	n2	minds	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
selfes	selfes	n2	selves	self	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mitie	mitie	n1	mitie	mitie	0
and	and	cc	and	and	0
familiaritie	familiaritie	n1	familiarity	familiarity	0
,	,	,	,	,	0
one	one	pi	one	one	0
toward	toward	p-acp	towards	towards	0
an	an	dt	and	a	0
other	other	n-jn	other	other	0
:	:	:	:	:	0
and	and	cc	and	and	0
all	all	d	all	all	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
zeale	zeale	n1	zeal	zeal	0
towarde	towarde	p-acp	toward	toward	0
the	the	dt	the	the	0
aduancement	aduancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
religiō	religiō	n1	religion	religion	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
indifferent	indifferent	j	indifferent	indifferent	0
and	and	cc	and	and	0
discrete	discrete	j	discrete	discrete	0
course	course	n1	course	course	0
ye	ye	pn22	you	you	0
keepe	keepe	vvb	keep	keep	0
in	in	p-acp	in	in	0
handling	handling	vvg	handling	handle	0
and	and	cc	and	and	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
pounding	pounding	vvg	pounding	pound	0
such	such	d	such	such	0
controuersies	controuersies	n2	controversies	controversy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
times	times	n2	times	time	0
fall	fall	vvi	fallen	fall	0
(	(	(	(	(	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
in	in	p-acp	in	in	0
nourishing	nourishing	j-vvg	nourishing	nourish	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
a	a	dt	a	a	0
Iewel	Iewel	n1	Jewel	jewel	0
most	most	av-ds	most	most	0
precious	precious	j	precious	precious	0
)	)	)	)	)	0
betwene	betwene	p-acp	between	between	0
your	your	po22	your	your	0
honest	honest	j	honest	honest	0
and	and	cc	and	and	0
tractable	tractable	j	tractable	tractable	0
neighbours	neighbours	n2	neighbours	neighbour	0
,	,	,	,	,	0
(	(	(	(	(	0
things	things	n2	things	thing	0
vnto	vnto	p-acp	unto	unto	0
almightie	almightie	j-jn	almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
very	very	av	very	very	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
ceptable	ceptable	j	ceptable	ceptable	0
:	:	:	:	:	0
vnto	vnto	p-acp	unto	unto	0
her	her	po31	her	her	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
very	very	av	very	very	0
