MAY	MAY	vmb	MAY	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Highness	Highness	n1	Highness	highness	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Loud	Loud	j	Loud	loud	0
Ac	Ac	fw-la	Ac	ac	0
∣	∣	sy	∣	∣	0
clamations	clamations	n2	clamations	clamation	0
,	,	,	,	,	0
and	and	cc	and	and	0
Applause	Applause	n1	Applause	applause	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
unlimited	unlimited	j	unlimited	unlimited	0
dness	dness	n1	dness	dness	0
,	,	,	,	,	0
and	and	cc	and	and	0
boundless	boundless	j	boundless	boundless	0
Charity	Charity	n1	Charity	charity	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
those	those	d	those	those	0
that	that	cst	that	that	0
y	y	p-acp	y	in	0
themselves	themselves	px32	themselves	themselves	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Bounty	Bounty	n1	Bounty	bounty	0
,	,	,	,	,	0
have	have	vhb	have	have	0
never	never	av-x	never	never	0
yet	yet	av	yet	yet	0
known	known	vvn	known	know	0
to	to	pc-acp	to	to	0
return	return	vvi	return	return	0
empty	empty	j	empty	empty	0
handed	handed	vvn	handed	hand	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
sioned	sioned	vvn	sioned	sion	0
this	this	d	this	this	0
present	present	j	present	present	0
boldness	boldness	n1	boldness	boldness	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
humbly	humbly	av-j	humbly	humble	0
to	to	pc-acp	to	to	0
ent	ent	vvi	ent	ent	0
this	this	d	this	this	0
small	small	j	small	small	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Royal	Royal	j	Royal	royal	0
Highness	Highness	n1	Highness	highness	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
presume	presume	vvi	presume	presume	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humility	humility	n1	humility	humility	0
to	to	pc-acp	to	to	0
crave	crave	vvi	crave	crave	0
rage	rage	n1	rage	rage	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
small	small	j	small	small	0
Epistle	Epistle	n1	Epistle	epistle	0
:	:	:	:	:	0
Neither	Neither	av-dx	Neither	neither	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
taken	taken	vvn	taken	take	0
Presumption	Presumption	n1	Presumption	presumption	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
very	very	av	very	very	0
well	well	av	well	well	0
ed	ed	wd	ed	ed	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
things	things	n2	things	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
is	is	vbz	is	be	0
,	,	,	,	,	0
That	That	cst	That	that	0
amongst	amongst	p-acp	among	among	0
hem	hem	pno32	hem	they	0
any	any	d	any	any	0
Books	Books	n2	Books	book	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
Writ	Writ	vvn	Writ	write	0
on	on	p-acp	on	on	0
most	most	ds	most	most	0
cts	cts	n2	cts	ct	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Age	Age	n1	Age	age	0
been	been	vbn	been	be	0
any	any	d	any	any	0
rth	rth	n1	rth	rth	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
;	;	;	;	;	0
the	the	dt	the	the	0
next	next	ord	next	next	0
is	is	vbz	is	be	0
,	,	,	,	,	0
That	That	cst	That	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
well	well	n1	well	well	0
assu	assu	fw-fr	assu	assu	0
∣	∣	sy	∣	∣	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
prove	prove	vvi	prove	prove	0
as	as	p-acp	as	as	0
general	general	j	general	general	0
an	an	dt	and	a	0
assistance	assistance	n1	assistance	assistance	0
and	and	cc	and	and	0
good	good	j	good	good	0
Worldly	Worldly	j	Worldly	worldly	0
Affairs	Affairs	n2	Affairs	affair	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
yet	yet	av	yet	yet	0
written	written	vvn	written	write	0
,	,	,	,	,	0
