Great	Great	j	Great	great	0
Caesar	Caesar	np1	Caesar	Caesar	0
,	,	,	,	,	0
and	and	cc	and	and	0
Senators	Senators	n2	Senators	senator	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
all	all	d	all	all	0
Humility	Humility	n1	Humility	humility	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
Humbly	Humbly	av-j	Humbly	humble	0
I	I	pns11	I	i	0
inform	inform	vvb	inform	inform	0
You	You	pn22	You	you	0
THere	THere	a-acp	THere	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
Certain	Certain	j	Certain	certain	0
and	and	cc	and	and	0
True	True	j	True	true	0
,	,	,	,	,	0
Than	Than	cs	Than	than	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
Rich	Rich	j	Rich	rich	0
Veyns	Veyns	n2	Veins	vein	0
,	,	,	,	,	0
Mines	Mines	n2	Mines	mine	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mi	Mi	fw-mi	Mi	mi	0
∣	∣	sy	∣	∣	0
neral	neral	zz	neral	neral	0
Countries	Countries	n2	Countries	country	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
Parts	Parts	n2	Parts	part	0
of	of	pp-f	of	of	0
America	America	np1	America	America	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
now	now	av	now	now	0
Annexed	Annexed	vvn	Annexed	annex	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
Dependant	Dependant	j-jn	Dependant	dependant	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
CROWN	CROWN	n1	CROWN	crown	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
;	;	;	;	;	0
(	(	(	(	(	0
the	the	dt	the	the	0
Experience	Experience	n1	Experience	experience	0
and	and	cc	and	and	0
Truth	Truth	n1	Truth	truth	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
Skill	Skill	n1	Skill	skill	0
in	in	p-acp	in	in	0
Mineral	Mineral	n1	Mineral	mineral	0
Af	Af	pp-f	Of	of	0
∣	∣	sy	∣	∣	0
fairs	fairs	n2	fairs	fair	0
,	,	,	,	,	0
and	and	cc	and	and	0
Incredulity	Incredulity	n1	Incredulity	incredulity	0
,	,	,	,	,	0
can	can	vmb	can	can	0
or	or	cc	or	or	0
will	will	vmb	will	will	0
deny	deny	vvi	deny	deny	0
)	)	)	)	)	0
;	;	;	;	;	0
which	which	q-crq	which	which	0
Veyns	Veyns	n2	Veins	vein	0
and	and	cc	and	and	0
Mines	Mines	n2	Mines	mine	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
was	was	vbds	was	be	0
Sought	Sought	vvn	Sought	seek	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
Set	Set	vvb	Set	set	0
to	to	pc-acp	to	to	0
Work	Work	vvi	Work	work	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
that	that	cst	that	that	0
understands	understands	vvz	understands	understand	0
them	them	pno32	them	they	0
,	,	,	,	,	0
would	would	vmd	would	will	0
undoubtedly	undoubtedly	av-j	undoubtedly	undoubted	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
little	little	j	little	little	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
prove	prove	vvb	prove	prove	0
as	as	p-acp	as	as	0
Rich	Rich	j	Rich	rich	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
the	the	dt	the	the	0
