DEARE	DEARE	n1	DEARE	deer	0
BRETHREN	BRETHREN	n2	BRETHREN	brethren	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sad	sad	j	sad	sad	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
uni	uni	fw-la	uni	uni	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
one	one	pi	one	one	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
6.	6.	crd	6.	6.	0
17.	17.	crd	17.	17.	0
by	by	p-acp	by	by	0
parta	parta	fw-la	parta	parta	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
2	2	crd	2	2	0
Pet.	Pet.	np1	Pet.	Pet.	0
1.	1.	crd	1.	1.	0
4.	4.	crd	4.	4.	0
or	or	cc	or	or	0
divine	divine	j-jn	divine	divine	0
na	na	fw-mi	na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
:	:	:	:	:	0
should	should	vmd	should	shall	0
yet	yet	av	yet	yet	0
be	be	vbi	be	be	0
so	so	av	so	so	0
disunited	disunited	vvn	disunited	disunit	0
,	,	,	,	,	0
and	and	cc	and	and	0
broken	broken	vvn	broken	break	0
off	off	a-acp	off	off	0
one	one	crd	one	one	0
from	from	p-acp	from	from	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
yielding	yielding	vvg	yielding	yield	0
to	to	p-acp	to	to	0
much	much	d	much	much	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
2.	2.	crd	2.	2.	0
12.	12.	crd	12.	12.	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
principle	principle	n1	principle	principle	0
of	of	pp-f	of	of	0
James	James	np1	James	James	0
3.	3.	crd	3.	3.	0
16.	16.	crd	16.	16.	1
&	&	cc	&	and	0
4.	4.	crd	4.	4.	0
5.	5.	crd	5.	5.	0
envy	envy	n1	envy	envy	0
,	,	,	,	,	0
and	and	cc	and	and	0
malice	malice	n1	malice	malice	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Sathan	Sathan	np1	Sathan	Satan	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
labours	labours	vvz	labours	labour	0
to	to	pc-acp	to	to	0
throw	throw	vvi	throw	throw	0
in	in	p-acp	in	in	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
;	;	;	;	;	0
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
sadness	sadness	n1	sadness	sadness	0
and	and	cc	and	and	0
grief	grief	n1	grief	grief	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
that	that	cst	that	that	0
a	a	dt	a	a	0
little	little	j	little	little	0
difference	difference	n1	difference	difference	0
in	in	p-acp	in	in	0
opinion	opinion	n1	opinion	opinion	0
produceth	produceth	vvz	produceth	produce	0
great	great	j	great	great	0
breaches	breaches	n2	breaches	breach	0
,	,	,	,	,	0
and	and	cc	and	and	0
much	much	av-d	much	much	0
estranged	estranged	vvn	estranged	estrange	0
∣	∣	sy	∣	∣	0
ness	ness	vvb	ness	ness	0
in	in	p-acp	in	in	0
affection	affection	n1	affection	affection	0
?	?	?	?	?	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
diffe	diffe	n1	diffe	diffe	0
∣	∣	sy	∣	∣	0
rence	rence	vvi	rence	rinse	0
being	being	vbg	being	be	0
weighed	weighed	vvn	weighed	weigh	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ballance	ballance	n1	balance	balance	0
of	of	pp-f	of	of	0
true	true	j	true	true	0
Judgement	Judgement	n1	Judgement	judgement	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
no	no	dx	no	no	0
difference	difference	n1	difference	difference	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
tru	tru	j	true	true	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
Saints	Saints	np1	Saints	Saints	0
.	.	.	.	.	1
Indeed	Indeed	np1	Indeed	Indeed	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	0
2.	2.	crd	2.	2.	0
9	9	crd	9	9	1
&	&	cc	&	and	0
3.	3.	crd	3.	3.	0
9	9	crd	9	9	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
some	some	d	some	some	0
who	who	r-crq	who	who	0
say	say	vvb	say	say	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
Jewes	Jewes	np2	Jewes	Jew	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
doe	doe	vdb	do	do	0
lie	lie	vvi	lie	lie	0
;	;	;	;	;	0
and	and	cc	and	and	0
these	these	d	these	these	0
are	are	vbr	are	be	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
high	high	j	high	high	0
in	in	p-acp	in	in	0
notion	notion	n1	notion	notion	0
