Worshipful	Worshipful	j	Worshipful	worshipful	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
and	and	cc	and	and	0
honoured	honoured	j-vvn	honoured	honour	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Do	Do	vdb	Do	do	0
not	not	xx	not	not	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Labours	Labours	n2	Labours	labour	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
to	to	pc-acp	to	to	0
beg	beg	vvi	beg	beg	0
protection	protection	n1	protection	protection	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
fearing	fearing	vvg	fearing	fear	0
either	either	d	either	either	0
its	its	po31	its	its	0
weak	weak	j	weak	weak	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
malevolent	malevolent	j	malevolent	malevolent	0
censures	censures	n2	censures	censure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ignorant	ignorant	j	ignorant	ignorant	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
very	very	av	very	very	0
well	well	av	well	well	0
know	know	vvi	know	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
experienced	experienced	vvn	experienced	experience	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
usual	usual	j	usual	usual	0
property	property	n1	property	property	0
of	of	pp-f	of	of	0
idle	idle	j	idle	idle	0
and	and	cc	and	and	0
pragmatical	pragmatical	j	pragmatical	pragmatical	0
persons	persons	n2	persons	person	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
their	their	po32	their	their	0
own	own	d	own	own	0
malignant	malignant	j	malignant	malignant	0
humors	humors	n2	humours	humour	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
condemning	condemning	vvg	condemning	condemn	0
and	and	cc	and	and	0
